Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	calls overlap	call cutoff @ end	Notes
1	Waveform 1	1	32.409	175.304	5802.DSG_RAWD_HMS_19_ 5_ 0__DMY_ 8_12_15.wav	4.4927	4.5013	2	2	2	2	
1	Spectrogram 1	1	32.409	175.304	5802.DSG_RAWD_HMS_19_ 5_ 0__DMY_ 8_12_15.wav	4.4927	4.5013	2	2	2	2	
2	Waveform 1	1	42.721	156.153	5803.DSG_RAWD_HMS_19_10_ 0__DMY_ 8_12_15.wav	2.1222	0.0033	1	2	2	1	
2	Spectrogram 1	1	42.721	156.153	5803.DSG_RAWD_HMS_19_10_ 0__DMY_ 8_12_15.wav	2.1222	0.0033	1	2	2	1	
3	Waveform 1	1	50.087	154.680	5803.DSG_RAWD_HMS_19_10_ 0__DMY_ 8_12_15.wav	4.5183	4.0697	1	3	1	2	
3	Spectrogram 1	1	50.087	154.680	5803.DSG_RAWD_HMS_19_10_ 0__DMY_ 8_12_15.wav	4.5183	4.0697	1	3	1	2	
4	Waveform 1	1	0.000	194.454	5803.DSG_RAWD_HMS_19_10_ 0__DMY_ 8_12_15.wav	0.1198	5.9780	3	2	1	2	
4	Spectrogram 1	1	0.000	194.454	5803.DSG_RAWD_HMS_19_10_ 0__DMY_ 8_12_15.wav	0.1198	5.9780	3	2	1	2	
5	Waveform 1	1	32.409	163.518	5804.DSG_RAWD_HMS_19_15_ 0__DMY_ 8_12_15.wav	3.9535	0.0312	1	2	2	1	
5	Spectrogram 1	1	32.409	163.518	5804.DSG_RAWD_HMS_19_15_ 0__DMY_ 8_12_15.wav	3.9535	0.0312	1	2	2	1	
6	Waveform 1	1	35.355	201.820	5805.DSG_RAWD_HMS_19_20_ 0__DMY_ 8_12_15.wav	4.0477	6.5814	5	2	1	1	
6	Spectrogram 1	1	35.355	201.820	5805.DSG_RAWD_HMS_19_20_ 0__DMY_ 8_12_15.wav	4.0477	6.5814	5	2	1	1	
7	Waveform 1	1	20.624	207.713	5806.DSG_RAWD_HMS_19_25_ 0__DMY_ 8_12_15.wav	7.0770	0.0233	2	2	2	1	
7	Spectrogram 1	1	20.624	207.713	5806.DSG_RAWD_HMS_19_25_ 0__DMY_ 8_12_15.wav	7.0770	0.0233	2	2	2	1	
8	Waveform 1	1	7.366	206.239	5806.DSG_RAWD_HMS_19_25_ 0__DMY_ 8_12_15.wav	3.4829	7.1538	2	1	2	1	
8	Spectrogram 1	1	7.366	206.239	5806.DSG_RAWD_HMS_19_25_ 0__DMY_ 8_12_15.wav	3.4829	7.1538	2	1	2	1	
9	Waveform 1	1	13.258	175.304	5807.DSG_RAWD_HMS_19_30_ 0__DMY_ 8_12_15.wav	3.7567	0.0137	2	3	2	1	
9	Spectrogram 1	1	13.258	175.304	5807.DSG_RAWD_HMS_19_30_ 0__DMY_ 8_12_15.wav	3.7567	0.0137	2	3	2	1	
11	Waveform 1	1	13.258	210.659	5808.DSG_RAWD_HMS_19_35_ 0__DMY_ 8_12_15.wav	10.5973	0.0384	6	2	1	1	
11	Spectrogram 1	1	13.258	210.659	5808.DSG_RAWD_HMS_19_35_ 0__DMY_ 8_12_15.wav	10.5973	0.0384	6	2	1	1	
12	Waveform 1	1	30.936	187.089	5809.DSG_RAWD_HMS_19_40_ 0__DMY_ 8_12_15.wav	10.5167	0.0707	6	2	1	1	
12	Spectrogram 1	1	30.936	187.089	5809.DSG_RAWD_HMS_19_40_ 0__DMY_ 8_12_15.wav	10.5167	0.0707	6	2	1	1	
13	Waveform 1	1	16.205	190.035	5810.DSG_RAWD_HMS_19_45_ 0__DMY_ 8_12_15.wav	10.6256	0.0142	2	1	1	1	
13	Spectrogram 1	1	16.205	190.035	5810.DSG_RAWD_HMS_19_45_ 0__DMY_ 8_12_15.wav	10.6256	0.0142	2	1	1	1	
14	Waveform 1	1	30.936	204.766	5811.DSG_RAWD_HMS_19_50_ 0__DMY_ 8_12_15.wav	10.6135	0.0547	6	1	1	1	
14	Spectrogram 1	1	30.936	204.766	5811.DSG_RAWD_HMS_19_50_ 0__DMY_ 8_12_15.wav	10.6135	0.0547	6	1	1	1	
15	Waveform 1	1	33.882	324.091	5812.DSG_RAWD_HMS_19_55_ 0__DMY_ 8_12_15.wav	10.5893	0.0713	6	1	1	1	
15	Spectrogram 1	1	33.882	324.091	5812.DSG_RAWD_HMS_19_55_ 0__DMY_ 8_12_15.wav	10.5893	0.0713	6	1	1	1	
16	Waveform 1	1	29.463	285.789	5813.DSG_RAWD_HMS_20_ 0_ 0__DMY_ 8_12_15.wav	10.6135	0.0150	6	1	1	1	
16	Spectrogram 1	1	29.463	285.789	5813.DSG_RAWD_HMS_20_ 0_ 0__DMY_ 8_12_15.wav	10.6135	0.0150	6	1	1	1	
