Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,Delta Time (s),File Offset (s),call variant,level,call cutoff @ end,calls overlap,Notes
1,Spectrogram 1,1,3.098739308,4.13806802,70.62,312.093,DSG 17_RG 7b-000.1110.YMD_2009_11_17_HMS_23_00_00.dsg_RAWD_HMS_23_ 0_ 0__DMY_17_11_ 9.wav,1.0393,3.0987,9,3,2,2,
2,Spectrogram 1,1,17.689900771,19.027555316,70.62,389.547,DSG 17_RG 7b-000.1118.YMD_2009_11_17_HMS_23_48_00.dsg_RAWD_HMS_23_48_ 0__DMY_17_11_ 9.wav,1.3377,0.0771,9,3,2,2,
3,Spectrogram 1,1,39.870919684,41.150833746,72.898,337.151,DSG 17_RG 7b-000.1125.YMD_2009_11_18_HMS_00_30_00.dsg_RAWD_HMS_ 0_30_ 0__DMY_18_11_ 9.wav,1.2799,4.6453,9,3,2,2,
4,Spectrogram 1,1,44.932835447,46.193502681,79.732,325.761,DSG 17_RG 7b-000.1126.YMD_2009_11_18_HMS_00_36_00.dsg_RAWD_HMS_ 0_36_ 0__DMY_18_11_ 9.wav,1.2607,0.9009,9,3,2,2,
5,Spectrogram 1,1,85.424223446,86.819618476,84.288,353.098,DSG 17_RG 7b-000.1137.YMD_2009_11_18_HMS_01_42_00.dsg_RAWD_HMS_ 1_42_ 0__DMY_18_11_ 9.wav,1.3954,6.1666,9,3,2,2,
6,Spectrogram 1,1,123.353239437,127.587541597,107.068,355.376,DSG 17_RG 7b-000.1168.YMD_2009_11_18_HMS_04_48_00.dsg_RAWD_HMS_ 4_48_ 0__DMY_18_11_ 9.wav,4.2343,0.0636,15,3,1,2,
7,Spectrogram 1,1,142.671022357,143.989430075,86.566,280.2,DSG 17_RG 7b-000.1179.YMD_2009_11_18_HMS_05_54_00.dsg_RAWD_HMS_ 5_54_ 0__DMY_18_11_ 9.wav,1.3184,1.7686,9,2,2,2,
8,Spectrogram 1,1,160.045900082,161.31619073,111.624,334.873,DSG 17_RG 7b-000.1181.YMD_2009_11_18_HMS_06_06_00.dsg_RAWD_HMS_ 6_ 6_ 0__DMY_18_11_ 9.wav,1.2703,1.5307,9,2,2,2,
9,Spectrogram 1,1,161.643386806,162.509494066,109.346,339.429,DSG 17_RG 7b-000.1181.YMD_2009_11_18_HMS_06_06_00.dsg_RAWD_HMS_ 6_ 6_ 0__DMY_18_11_ 9.wav,0.8661,3.1282,9,3,2,2,
10,Spectrogram 1,1,167.44430222,172.525464812,143.517,318.927,DSG 17_RG 7b-000.1182.YMD_2009_11_18_HMS_06_12_00.dsg_RAWD_HMS_ 6_12_ 0__DMY_18_11_ 9.wav,5.0812,0.1227,15,3,1,2,
11,Spectrogram 1,1,177.55244377,178.553278826,129.849,302.981,DSG 17_RG 7b-000.1183.YMD_2009_11_18_HMS_06_18_00.dsg_RAWD_HMS_ 6_18_ 0__DMY_18_11_ 9.wav,1.0008,1.4244,9,2,2,2,
12,Spectrogram 1,1,184.990881945,193.690448201,123.015,318.927,DSG 17_RG 7b-000.1184.YMD_2009_11_18_HMS_06_24_00.dsg_RAWD_HMS_ 6_24_ 0__DMY_18_11_ 9.wav,8.6996,0.0565,10,2,1,2,
13,Spectrogram 1,1,195.564999238,200.11687406,148.073,339.429,DSG 17_RG 7b-000.1185.YMD_2009_11_18_HMS_06_30_00.dsg_RAWD_HMS_ 6_30_ 0__DMY_18_11_ 9.wav,4.5519,1.8242,15,3,2,2,
14,Spectrogram 1,1,208.391536285,209.122915749,91.122,366.766,DSG 17_RG 7b-000.1187.YMD_2009_11_18_HMS_06_42_00.dsg_RAWD_HMS_ 6_42_ 0__DMY_18_11_ 9.wav,0.7314,5.8444,9,2,2,2,
15,Spectrogram 1,1,211.427458584,216.450880692,134.405,378.156,DSG 17_RG 7b-000.1190.YMD_2009_11_18_HMS_07_00_00.dsg_RAWD_HMS_ 7_ 0_ 0__DMY_18_11_ 9.wav,5.0234,0.0738,15,3,1,2,
16,Spectrogram 1,1,229.005946736,233.557821558,136.683,398.659,DSG 17_RG 7b-000.1192.YMD_2009_11_18_HMS_07_12_00.dsg_RAWD_HMS_ 7_12_ 0__DMY_18_11_ 9.wav,4.5519,0.0396,15,3,1,2,
17,Spectrogram 1,1,265.043191515,266.631054825,111.624,339.429,DSG 17_RG 7b-000.1203.YMD_2009_11_18_HMS_08_18_00.dsg_RAWD_HMS_ 8_18_ 0__DMY_18_11_ 9.wav,1.5879,0.8512,9,3,2,2,
18,Spectrogram 1,1,291.240759579,294.618577893,136.683,323.483,DSG 17_RG 7b-000.1218.YMD_2009_11_18_HMS_09_48_00.dsg_RAWD_HMS_ 9_48_ 0__DMY_18_11_ 9.wav,3.3778,0.6296,15,3,2,2,
19,Spectrogram 1,1,300.607898252,301.468928628,125.293,328.039,DSG 17_RG 7b-000.1222.YMD_2009_11_18_HMS_10_12_00.dsg_RAWD_HMS_10_12_ 0__DMY_18_11_ 9.wav,0.861,1.1903,9,3,2,2,
20,Spectrogram 1,1,295.594099558,296.48907706,109.346,328.039,DSG 17_RG 7b-000.1218.YMD_2009_11_18_HMS_09_48_00.dsg_RAWD_HMS_ 9_48_ 0__DMY_18_11_ 9.wav,0.895,4.9829,9,3,2,2,
21,Spectrogram 1,1,317.109554792,324.105776769,193.634,350.82,DSG 17_RG 7b-000.1230.YMD_2009_11_18_HMS_11_00_00.dsg_RAWD_HMS_11_ 0_ 0__DMY_18_11_ 9.wav,6.9962,0.0791,15,3,1,2,
22,Spectrogram 1,1,332.585051643,333.643627183,157.185,369.044,DSG 17_RG 7b-000.1231.YMD_2009_11_18_HMS_11_06_00.dsg_RAWD_HMS_11_ 6_ 0__DMY_18_11_ 9.wav,1.0586,6.7482,9,2,2,2,
23,Spectrogram 1,1,352.320221146,355.197621932,173.132,350.82,DSG 17_RG 7b-000.1236.YMD_2009_11_18_HMS_11_36_00.dsg_RAWD_HMS_11_36_ 0__DMY_18_11_ 9.wav,2.8774,0.0642,15,3,1,2,
24,Spectrogram 1,1,361.941125434,364.934007188,195.912,341.708,DSG 17_RG 7b-000.1238.YMD_2009_11_18_HMS_11_48_00.dsg_RAWD_HMS_11_48_ 0__DMY_18_11_ 9.wav,2.9929,0.8788,15,3,2,2,
