Selection,View,Channel,Low Freq (Hz),High Freq (Hz),Begin File,Delta Time (s),File Offset (s),Call Variant ,Level, Calls Overlap?,Call Cutoff @ End?,Notes
1,Waveform 1,1,8.7,270.3,9500.DSG_RAWD_HMS_11_30_ 0__DMY_ 8_ 9_15.wav,0.884,1.0608,1,1,2,2.0,
2,Waveform 1,1,0.0,264.5,9500.DSG_RAWD_HMS_11_30_ 0__DMY_ 8_ 9_15.wav,1.4465,2.0131,2,1,2,2.0,
3,Waveform 1,1,1.5,184.6,9500.DSG_RAWD_HMS_11_30_ 0__DMY_ 8_ 9_15.wav,0.1607,5.7058,3,1,2,2.0,
6,Waveform 1,1,0.0,830.4,9502.DSG_RAWD_HMS_11_40_ 0__DMY_ 8_ 9_15.wav,0.3375,8.7648,3,1,2,,
10,Waveform 1,1,0.0,213.7,9506.DSG_RAWD_HMS_12_ 0_ 0__DMY_ 8_ 9_15.wav,0.2009,2.537,3,1,2,2.0,
15,Waveform 1,1,0.0,152.6,9507.DSG_RAWD_HMS_12_ 5_ 0__DMY_ 8_ 9_15.wav,0.1762,8.2979,3,1,1,,
16,Waveform 1,1,0.0,178.8,9508.DSG_RAWD_HMS_12_10_ 0__DMY_ 8_ 9_15.wav,0.1705,5.2913,3,1,2,2.0,
37,Waveform 1,1,0.0,400.8,9521.DSG_RAWD_HMS_13_15_ 0__DMY_ 8_ 9_15.wav,0.1607,1.8265,3,1,2,,
38,Waveform 1,1,0.0,738.4,9521.DSG_RAWD_HMS_13_15_ 0__DMY_ 8_ 9_15.wav,0.229,10.341,3,1,2,,
39,Waveform 1,1,0.0,349.4,9523.DSG_RAWD_HMS_13_25_ 0__DMY_ 8_ 9_15.wav,0.1607,0.6463,3,1,2,,
40,Waveform 1,1,0.0,363.8,9523.DSG_RAWD_HMS_13_25_ 0__DMY_ 8_ 9_15.wav,0.1487,1.908,3,1,2,,
