Selection,View,Channel,Low Freq (Hz),High Freq (Hz),Begin File,Delta Time (s),File Offset (s),Call Variant,Level,Call Overlap,Call Cutoff at End?,Notes
1,Waveform 1,1,3.2,231.2,9551.DSG_RAWD_HMS_15_45_ 0__DMY_ 8_ 9_15.wav,0.1777,3.4077,3,1,2,2.0,
2,Waveform 1,1,0.0,180.2,9551.DSG_RAWD_HMS_15_45_ 0__DMY_ 8_ 9_15.wav,0.2009,6.4523,3,2,2,2.0,
3,Waveform 1,1,14.7,127.4,9553.DSG_RAWD_HMS_15_55_ 0__DMY_ 8_ 9_15.wav,1.9164,8.2692,1,2,2,2.0,
4,Waveform 1,1,7.9,179.3,9554.DSG_RAWD_HMS_16_ 0_ 0__DMY_ 8_ 9_15.wav,1.6923,3.6932,2,2,2,2.0,
5,Waveform 1,1,12.4,153.3,9553.DSG_RAWD_HMS_15_55_ 0__DMY_ 8_ 9_15.wav,3.3382,10.6453,1,2,2,2.0,
6,Waveform 1,1,0.0,197.3,9554.DSG_RAWD_HMS_16_ 0_ 0__DMY_ 8_ 9_15.wav,0.1468,6.6798,3,1,2,2.0,
7,Waveform 1,1,25.9,166.9,9555.DSG_RAWD_HMS_16_ 5_ 0__DMY_ 8_ 9_15.wav,3.7825,0.002,1,1,2,2.0,
8,Waveform 1,1,16.9,151.1,9556.DSG_RAWD_HMS_16_10_ 0__DMY_ 8_ 9_15.wav,3.033,0.0682,2,3,2,2.0,
9,Waveform 1,1,18.0,166.9,9556.DSG_RAWD_HMS_16_10_ 0__DMY_ 8_ 9_15.wav,2.1443,3.4238,1,3,2,2.0,
11,Waveform 1,1,12.4,187.1,9557.DSG_RAWD_HMS_16_15_ 0__DMY_ 8_ 9_15.wav,3.087,2.5801,1,2,2,2.0,
12,Waveform 1,1,12.4,155.6,9557.DSG_RAWD_HMS_16_15_ 0__DMY_ 8_ 9_15.wav,1.9666,6.1848,1,2,2,2.0,
13,Waveform 1,1,0.0,180.4,9558.DSG_RAWD_HMS_16_20_ 0__DMY_ 8_ 9_15.wav,3.2532,5.6271,2,1,2,2.0,
14,Waveform 1,1,11.3,169.1,9559.DSG_RAWD_HMS_16_25_ 0__DMY_ 8_ 9_15.wav,4.1225,3.149,2,2,2,2.0,
