Selection,View,Channel,Low Freq (Hz),High Freq (Hz),Begin File,Delta Time (s),File Offset (s),Call Variant,Level,Call Overlap,Call Cutoff At End?,Notes
1,Waveform 1,1,14.7,172.8,1441.DSG_RAWD_HMS_11_55_ 0__DMY_11_ 8_15.wav,4.2813,6.17,1,2,1,2.0,
2,Waveform 1,1,0.0,190.2,1443.DSG_RAWD_HMS_12_ 5_ 0__DMY_11_ 8_15.wav,0.163,0.4923,3,1,2,2.0,
3,Waveform 1,1,13.4,178.1,1445.DSG_RAWD_HMS_12_15_ 0__DMY_11_ 8_15.wav,3.8739,6.1917,2,2,2,2.0,
4,Waveform 1,1,12.1,183.5,1446.DSG_RAWD_HMS_12_20_ 0__DMY_11_ 8_15.wav,3.1332,2.327,2,2,1,2.0,
5,Waveform 1,1,0.0,533.2,1446.DSG_RAWD_HMS_12_20_ 0__DMY_11_ 8_15.wav,0.2518,5.949,3,1,2,2.0,
6,Waveform 1,1,0.0,830.3,1447.DSG_RAWD_HMS_12_25_ 0__DMY_11_ 8_15.wav,0.9333,6.5359,4,1,1,2.0,
7,Waveform 1,1,0.0,246.2,1447.DSG_RAWD_HMS_12_25_ 0__DMY_11_ 8_15.wav,0.2,3.6397,3,1,2,2.0,
8,Waveform 1,1,0.0,159.4,1448.DSG_RAWD_HMS_12_30_ 0__DMY_11_ 8_15.wav,3.9405,6.4117,2,2,2,2.0,
9,Waveform 1,1,0.0,179.5,1449.DSG_RAWD_HMS_12_35_ 0__DMY_11_ 8_15.wav,0.1704,6.0986,3,1,2,2.0,
10,Waveform 1,1,0.0,835.7,1452.DSG_RAWD_HMS_12_50_ 0__DMY_11_ 8_15.wav,0.2592,3.6446,3,1,2,2.0,
11,Waveform 1,1,2.7,156.7,1452.DSG_RAWD_HMS_12_50_ 0__DMY_11_ 8_15.wav,0.2,7.0296,3,1,2,2.0,
12,Waveform 1,1,0.0,294.6,1452.DSG_RAWD_HMS_12_50_ 0__DMY_11_ 8_15.wav,0.1926,8.8369,3,1,2,2.0,
13,Waveform 1,1,0.0,128.6,1452.DSG_RAWD_HMS_12_50_ 0__DMY_11_ 8_15.wav,0.1333,9.7183,3,2,2,2.0,
14,Waveform 1,1,5.4,190.2,1452.DSG_RAWD_HMS_12_50_ 0__DMY_11_ 8_15.wav,0.163,10.3479,3,2,2,2.0,
15,Waveform 1,1,0.0,211.6,1453.DSG_RAWD_HMS_12_55_ 0__DMY_11_ 8_15.wav,0.2667,5.2536,3,1,2,2.0,
16,Waveform 1,1,2.7,159.4,1456.DSG_RAWD_HMS_13_10_ 0__DMY_11_ 8_15.wav,2.9998,3.57,2,2,2,2.0,
17,Waveform 1,1,5.4,140.6,1456.DSG_RAWD_HMS_13_10_ 0__DMY_11_ 8_15.wav,2.9702,7.6364,1,2,2,1.0,
