Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	Peak Freq (Hz)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	2.023280209	2.203829547	57.723	145.749	LH1079338206.WAV	0.1805	2.0232	103.359	33	3	2	2	
2	Spectrogram 1	1	2.300122528	2.432525376	53.393	142.863	LH1079338206.WAV	0.1324	2.3001	103.359	33	3	2	2	
3	Spectrogram 1	1	2.661221204	2.805660674	63.495	145.749	LH1079338206.WAV	0.1444	2.6612	103.359	33	3	2	2	
4	Spectrogram 1	1	2.986210013	3.118612861	64.938	137.091	LH1079338206.WAV	0.1324	2.9862	103.359	33	3	2	2	
5	Spectrogram 1	1	5.092618957	5.285204918	49.064	194.813	LH1079338211.WAV	0.1926	0.0926	120.586	33	1	2	2	
6	Spectrogram 1	1	5.453717634	5.622230349	53.393	191.927	LH1079338211.WAV	0.1685	0.4537	86.133	33	2	2	2	
7	Spectrogram 1	1	5.682413462	5.850926177	46.178	167.395	LH1079338211.WAV	0.1685	0.6824	103.359	33	1	2	2	
8	Spectrogram 1	1	5.899072668	6.115731873	59.166	170.281	LH1079338211.WAV	0.2167	0.8991	103.359	33	1	2	2	
9	Spectrogram 1	1	6.199988231	6.344427702	50.507	170.281	LH1079338211.WAV	0.1444	1.2000	120.586	33	3	2	2	
10	Spectrogram 1	1	6.512940417	6.705526378	53.393	176.054	LH1079338211.WAV	0.1926	1.5129	103.359	33	1	2	2	
11	Spectrogram 1	1	6.777746113	6.934222206	54.836	152.965	LH1079338211.WAV	0.1565	1.7778	103.359	33	1	2	2	
12	Spectrogram 1	1	6.982368696	7.211064525	59.166	141.420	LH1079338211.WAV	0.2287	1.9823	103.359	33	2	2	2	
13	Spectrogram 1	1	7.608273068	7.836968897	53.393	164.509	LH1079338211.WAV	0.2287	2.6083	103.359	33	2	2	2	
14	Spectrogram 1	1	8.619349362	8.775825455	63.495	147.192	LH1079338211.WAV	0.1565	3.6194	103.359	33	3	2	2	
15	Spectrogram 1	1	9.004521283	9.136924131	59.166	150.079	LH1079338211.WAV	0.1324	4.0045	103.359	33	2	2	2	
16	Spectrogram 1	1	13.542322409	13.758981614	51.950	157.294	LH1079338806.WAV	0.2167	3.5423	103.359	33	2	2	2	
17	Spectrogram 1	1	14.059897178	14.252483139	38.963	158.737	LH1079338806.WAV	0.1926	4.0599	103.359	33	2	2	2	
18	Spectrogram 1	1	14.312666251	14.517288835	49.064	242.435	LH1079338806.WAV	0.2046	4.3127	103.359	33	1	2	2	
19	Spectrogram 1	1	14.577471947	14.854314266	41.849	245.321	LH1079338806.WAV	0.2768	4.5774	103.359	33	1	2	2	
20	Spectrogram 1	1	18.140310947	18.356970153	57.723	177.497	LH1079338811.WAV	0.2167	3.1404	103.359	33	2	2	2	
21	Spectrogram 1	1	18.633812471	18.874544922	51.950	148.635	LH1079338811.WAV	0.2407	3.6338	103.359	33	1	2	2	
22	Spectrogram 1	1	18.838435055	19.103240751	51.950	158.737	LH1079338811.WAV	0.2648	3.8384	103.359	33	1	2	2	
23	Spectrogram 1	1	19.440266182	19.632852142	49.064	151.522	LH1079338811.WAV	0.1926	4.4402	103.359	33	1	2	2	
24	Spectrogram 1	1	20.463379098	20.704111549	62.052	178.940	LH1079339406.WAV	0.2407	0.4634	120.586	33	3	2	2	
25	Spectrogram 1	1	20.860587642	21.017063735	67.824	141.420	LH1079339406.WAV	0.1565	0.8605	103.359	33	3	2	2	
26	Spectrogram 1	1	21.125393337	21.293906053	72.153	142.863	LH1079339406.WAV	0.1685	1.1254	103.359	33	3	2	2	
27	Spectrogram 1	1	21.450382146	21.606858239	62.052	154.408	LH1079339406.WAV	0.1565	1.4503	120.586	33	2	2	2	
28	Spectrogram 1	1	21.727224465	21.895737180	62.052	158.737	LH1079339406.WAV	0.1685	1.7272	103.359	33	2	2	2	
29	Spectrogram 1	1	22.605897910	22.882740228	50.507	176.054	LH1079339406.WAV	0.2768	2.6059	103.359	33	1	2	2	
30	Spectrogram 1	1	22.918850096	23.147545924	51.950	161.623	LH1079339406.WAV	0.2287	2.9188	103.359	33	1	2	2	
31	Spectrogram 1	1	23.195692415	23.412351620	51.950	150.079	LH1079339406.WAV	0.2167	3.1957	103.359	33	1	2	2	
32	Spectrogram 1	1	23.520681223	23.797523542	46.178	160.180	LH1079339406.WAV	0.2768	3.5206	103.359	33	1	2	2	
33	Spectrogram 1	1	23.797523542	23.978072880	49.064	148.635	LH1079339406.WAV	0.1805	3.7975	103.359	33	1	2	2	
34	Spectrogram 1	1	24.074365860	24.206768708	49.064	152.965	LH1079339406.WAV	0.1324	4.0744	103.359	33	1	2	2	
