Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.439512187	0.679999987	0.000	214.506	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2405	0.4395	2	3	2	2	
2	Spectrogram 1	1	1.277073146	1.500975581	0.000	211.420	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2239	1.2771	26	3	2	2	
3	Spectrogram 1	1	1.733170699	1.990243864	0.000	212.963	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2571	1.7332	26	3	2	2	
4	Spectrogram 1	1	2.172682885	2.438048734	0.000	215.037	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2654	2.1727	26	3	2	2	
5	Spectrogram 1	1	2.894146286	3.192682866	0.000	219.678	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2985	2.8941	26	3	2	2	
6	Spectrogram 1	1	4.602438936	4.851219419	0.000	215.037	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2488	4.6024	26	3	2	2	
7	Spectrogram 1	1	5.017073075	5.315609654	0.000	215.037	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2985	5.0171	26	3	2	2	
8	Spectrogram 1	1	5.697073062	6.020487690	0.000	211.943	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.3234	5.6971	26	3	2	2	
9	Spectrogram 1	1	6.343898472	6.650727734	0.000	216.584	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.3068	6.3439	26	3	2	2	
10	Spectrogram 1	1	6.758532610	7.057069190	0.000	215.037	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2985	6.7585	26	3	2	2	
11	Spectrogram 1	1	7.413654549	7.728776494	0.000	216.584	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.3151	7.4137	26	3	2	2	
12	Spectrogram 1	1	8.068776487	8.359020384	0.000	221.225	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2902	8.0688	26	3	2	2	
13	Spectrogram 1	1	8.450239895	8.690727695	0.000	215.037	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2405	8.4502	26	3	2	2	
14	Spectrogram 1	1	9.022435006	9.287800854	0.000	222.772	0251.DSG_DECD_HMS_ 7_50_ 0__DMY_12_ 7_16.wav	0.2654	9.0224	26	3	2	2	
