Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	702.215228539	702.417881886	0.000	242.284	6226.DSG_DECD_HMS_ 1_45_ 0__DMY_ 2_ 8_16.wav	0.2027	12.8584	25	1	2	2	
2	Spectrogram 1	1	807.324980515	807.473592970	0.000	219.136	6231.DSG_DECD_HMS_ 2_10_ 0__DMY_ 2_ 8_16.wav	0.1486	13.5202	25	1	2	2	
3	Spectrogram 1	1	818.579018233	818.835712474	0.000	219.136	6232.DSG_DECD_HMS_ 2_15_ 0__DMY_ 2_ 8_16.wav	0.2567	3.8846	25	1	2	2	
4	Spectrogram 1	1	826.786498507	827.009417189	0.000	211.420	6232.DSG_DECD_HMS_ 2_15_ 0__DMY_ 2_ 8_16.wav	0.2229	12.0921	25	1	2	2	
5	Spectrogram 1	1	833.534866495	833.737519842	1.543	194.444	6232.DSG_DECD_HMS_ 2_15_ 0__DMY_ 2_ 8_16.wav	0.2027	18.8405	25	1	2	2	
6	Spectrogram 1	1	870.661042495	870.863695842	1.543	216.049	6234.DSG_DECD_HMS_ 2_25_ 0__DMY_ 2_ 8_16.wav	0.2027	14.1874	25	1	2	2	
7	Spectrogram 1	1	926.107118386	926.275996176	0.000	246.914	6237.DSG_DECD_HMS_ 2_40_ 0__DMY_ 2_ 8_16.wav	0.1689	6.9647	25	1	2	2	
8	Spectrogram 1	1	989.767436028	990.003864933	0.000	257.716	6240.DSG_DECD_HMS_ 2_55_ 0__DMY_ 2_ 8_16.wav	0.2364	7.9562	25	1	2	2	
9	Spectrogram 1	1	997.941141956	998.231611754	0.000	248.457	6240.DSG_DECD_HMS_ 2_55_ 0__DMY_ 2_ 8_16.wav	0.2905	16.1299	25	1	2	2	
10	Spectrogram 1	1	1003.135830946	1003.385770074	0.000	192.901	6241.DSG_DECD_HMS_ 3_ 0_ 0__DMY_ 2_ 8_16.wav	0.2499	0.4350	25	1	2	2	
