Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	138.689363012	138.851485689	0.000	228.737	6487.DSG_DECD_HMS_23_30_ 0__DMY_ 2_ 8_16.wav	0.1621	13.3518	25	1	2	2	
2	Spectrogram 1	1	501.628545580	501.858219374	0.000	212.629	6505.DSG_DECD_HMS_ 1_ 0_ 0__DMY_ 3_ 8_16.wav	0.2297	0.2781	25	1	2	2	
3	Spectrogram 1	1	729.424871506	729.519443068	0.000	149.807	6515.DSG_DECD_HMS_ 1_50_ 0__DMY_ 3_ 8_16.wav	0.0946	19.1785	25	3	2	2	
4	Spectrogram 1	1	775.366475787	775.528598464	0.000	148.196	6518.DSG_DECD_HMS_ 2_ 5_ 0__DMY_ 3_ 8_16.wav	0.1621	2.4513	25	3	2	2	
5	Spectrogram 1	1	786.194937232	786.323284352	0.000	101.482	6518.DSG_DECD_HMS_ 2_ 5_ 0__DMY_ 3_ 8_16.wav	0.1283	13.2797	25	3	2	2	
6	Spectrogram 1	1	807.135834057	807.284446511	0.000	207.796	6519.DSG_DECD_HMS_ 2_10_ 0__DMY_ 3_ 8_16.wav	0.1486	13.3310	25	1	2	2	
7	Spectrogram 1	1	834.318460348	834.473827914	0.000	175.580	6520.DSG_DECD_HMS_ 2_15_ 0__DMY_ 3_ 8_16.wav	0.1554	19.6241	25	1	2	2	
8	Spectrogram 1	1	846.484448435	846.693856894	0.000	244.845	6521.DSG_DECD_HMS_ 2_20_ 0__DMY_ 3_ 8_16.wav	0.2094	10.9004	25	1	2	2	
9	Spectrogram 1	1	850.773944290	850.929311856	0.000	193.299	6521.DSG_DECD_HMS_ 2_20_ 0__DMY_ 3_ 8_16.wav	0.1554	15.1899	25	1	2	2	
10	Spectrogram 1	1	861.291682120	861.548376360	0.000	231.959	6522.DSG_DECD_HMS_ 2_25_ 0__DMY_ 3_ 8_16.wav	0.2567	4.8181	25	1	2	2	
11	Spectrogram 1	1	892.405800932	892.635474726	0.000	259.343	6523.DSG_DECD_HMS_ 2_30_ 0__DMY_ 3_ 8_16.wav	0.2297	15.0426	25	1	2	2	
12	Spectrogram 1	1	901.349588671	901.484690903	0.000	135.309	6524.DSG_DECD_HMS_ 2_35_ 0__DMY_ 3_ 8_16.wav	0.1351	3.0968	25	3	2	2	
13	Spectrogram 1	1	949.858149206	950.033782108	0.000	230.348	6526.DSG_DECD_HMS_ 2_45_ 0__DMY_ 3_ 8_16.wav	0.1756	9.8261	25	1	2	2	
14	Spectrogram 1	1	965.503029122	965.712437581	0.000	186.856	6527.DSG_DECD_HMS_ 2_50_ 0__DMY_ 3_ 8_16.wav	0.2094	4.5814	25	1	2	2	
15	Spectrogram 1	1	975.372265935	975.588429506	0.000	136.920	6527.DSG_DECD_HMS_ 2_50_ 0__DMY_ 3_ 8_16.wav	0.2162	14.4507	25	3	2	2	
16	Spectrogram 1	1	995.124255544	995.374194672	0.000	219.072	6528.DSG_DECD_HMS_ 2_55_ 0__DMY_ 3_ 8_16.wav	0.2499	13.3131	25	1	2	2	
17	Spectrogram 1	1	1007.911709653	1008.067077220	0.000	212.629	6529.DSG_DECD_HMS_ 3_ 0_ 0__DMY_ 3_ 8_16.wav	0.1554	5.2109	25	1	2	2	
18	Spectrogram 1	1	1023.434995471	1023.556587480	0.000	206.186	6529.DSG_DECD_HMS_ 3_ 0_ 0__DMY_ 3_ 8_16.wav	0.1216	20.7342	25	1	2	2	
19	Spectrogram 1	1	1024.063220849	1024.218588415	0.000	165.915	6530.DSG_DECD_HMS_ 3_ 5_ 0__DMY_ 3_ 8_16.wav	0.1554	0.4728	25	1	2	2	
20	Spectrogram 1	1	1031.385772966	1031.527630309	0.000	136.920	6530.DSG_DECD_HMS_ 3_ 5_ 0__DMY_ 3_ 8_16.wav	0.1419	7.7954	25	3	2	2	
21	Spectrogram 1	1	1037.370809656	1037.539687446	0.000	130.477	6530.DSG_DECD_HMS_ 3_ 5_ 0__DMY_ 3_ 8_16.wav	0.1689	13.7804	25	3	2	2	
22	Spectrogram 1	1	1042.389857562	1042.545225128	0.000	127.255	6530.DSG_DECD_HMS_ 3_ 5_ 0__DMY_ 3_ 8_16.wav	0.1554	18.7995	25	3	2	2	
23	Spectrogram 1	1	1047.773694696	1047.969592932	0.000	186.856	6531.DSG_DECD_HMS_ 3_10_ 0__DMY_ 3_ 8_16.wav	0.1959	3.2937	25	1	2	2	
24	Spectrogram 1	1	1060.426034235	1060.635442694	0.000	146.585	6531.DSG_DECD_HMS_ 3_10_ 0__DMY_ 3_ 8_16.wav	0.2094	15.9460	25	3	2	2	
25	Spectrogram 1	1	1079.955083294	1080.090185525	0.000	182.023	6532.DSG_DECD_HMS_ 3_15_ 0__DMY_ 3_ 8_16.wav	0.1351	14.5855	25	1	2	2	
26	Spectrogram 1	1	1097.680518137	1097.889926596	0.000	128.866	6533.DSG_DECD_HMS_ 3_20_ 0__DMY_ 3_ 8_16.wav	0.2094	11.4213	25	3	2	2	
27	Spectrogram 1	1	1109.900530121	1110.055897687	0.000	191.688	6534.DSG_DECD_HMS_ 3_25_ 0__DMY_ 3_ 8_16.wav	0.1554	2.7517	25	1	2	2	
28	Spectrogram 1	1	1131.827648944	1131.962751175	0.000	162.693	6535.DSG_DECD_HMS_ 3_30_ 0__DMY_ 3_ 8_16.wav	0.1351	3.7892	25	1	2	2	
29	Spectrogram 1	1	1142.075165618	1142.210267850	0.000	206.186	6535.DSG_DECD_HMS_ 3_30_ 0__DMY_ 3_ 8_16.wav	0.1351	14.0368	25	1	2	2	
30	Spectrogram 1	1	1149.154528485	1149.282875605	0.000	127.255	6536.DSG_DECD_HMS_ 3_35_ 0__DMY_ 3_ 8_16.wav	0.1283	0.2265	25	3	2	2	
31	Spectrogram 1	1	1156.963445605	1157.118813172	0.000	220.683	6536.DSG_DECD_HMS_ 3_35_ 0__DMY_ 3_ 8_16.wav	0.1554	8.0354	25	1	2	2	
32	Spectrogram 1	1	1164.522426739	1164.677794305	0.000	138.531	6536.DSG_DECD_HMS_ 3_35_ 0__DMY_ 3_ 8_16.wav	0.1554	15.5944	25	3	2	2	
33	Spectrogram 1	1	1175.209024535	1175.418432994	0.000	154.639	6537.DSG_DECD_HMS_ 3_40_ 0__DMY_ 3_ 8_16.wav	0.2094	5.3914	25	1	2	2	
34	Spectrogram 1	1	1182.906485494	1183.102383730	0.000	154.639	6537.DSG_DECD_HMS_ 3_40_ 0__DMY_ 3_ 8_16.wav	0.1959	13.0889	25	1	2	2	
35	Spectrogram 1	1	1196.078970444	1196.308644238	0.000	188.466	6538.DSG_DECD_HMS_ 3_45_ 0__DMY_ 3_ 8_16.wav	0.2297	5.3718	25	1	2	2	
36	Spectrogram 1	1	1203.556886380	1203.752784616	0.000	159.472	6538.DSG_DECD_HMS_ 3_45_ 0__DMY_ 3_ 8_16.wav	0.1959	12.8497	25	1	2	2	
37	Spectrogram 1	1	1210.629496752	1210.825394988	0.000	182.023	6538.DSG_DECD_HMS_ 3_45_ 0__DMY_ 3_ 8_16.wav	0.1959	19.9223	25	1	2	2	
38	Spectrogram 1	1	1213.385582278	1213.466643616	0.000	161.082	6539.DSG_DECD_HMS_ 3_50_ 0__DMY_ 3_ 8_16.wav	0.0811	1.7888	25	1	2	2	
39	Spectrogram 1	1	1221.870016345	1221.957835937	0.000	143.363	6539.DSG_DECD_HMS_ 3_50_ 0__DMY_ 3_ 8_16.wav	0.0878	10.2732	25	3	2	2	
40	Spectrogram 1	1	1232.948415795	1233.029477134	0.000	128.866	6540.DSG_DECD_HMS_ 3_55_ 0__DMY_ 3_ 8_16.wav	0.0811	0.4620	25	3	2	2	
41	Spectrogram 1	1	1245.512936954	1245.641284074	0.000	206.186	6540.DSG_DECD_HMS_ 3_55_ 0__DMY_ 3_ 8_16.wav	0.1283	13.0265	25	1	2	2	
