Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	14.942479678	17.081001673	29.836	494.420	LH1201745407.WAV	2.1385	4.9425	17	3	2	2	
2	Spectrogram 1	1	160.955623643	163.084489172	51.147	481.633	LH1201754407.WAV	2.1289	0.9557	23	3	2	2	
3	Spectrogram 1	1	163.313544324	166.358630461	65.354	420.541	LH1201754407.WAV	3.0451	3.3135	17	3	2	2	
4	Spectrogram 1	1	197.104509747	198.761791140	52.568	385.023	LH1201756207.WAV	1.6573	7.1045	17	3	2	2	
5	Spectrogram 1	1	240.064123247	242.287305604	61.092	448.956	LH1201759207.WAV	2.2232	0.0642	23	3	2	2	
6	Spectrogram 1	1	276.054759805	277.698567365	46.885	318.247	LH1201761007.WAV	1.6438	6.0548	17	3	2	2	
7	Spectrogram 1	1	316.360028310	317.788254551	55.409	400.651	LH1201763407.WAV	1.4282	6.3600	23	3	2	2	
8	Spectrogram 1	1	318.354155514	319.876698583	51.147	383.602	LH1201763407.WAV	1.5225	8.3542	23	3	2	2	
9	Spectrogram 1	1	333.912405740	335.960428274	68.196	518.573	LH1201764607.WAV	2.0480	3.9124	23	3	2	2	
10	Spectrogram 1	1	381.378925428	383.184418978	49.726	439.011	LH1201767607.WAV	1.8055	1.3789	23	3	2	2	
11	Spectrogram 1	1	392.389961339	394.808514266	28.415	511.469	LH1201768207.WAV	2.4186	2.3899	17	2	2	2	
12	Spectrogram 1	1	401.070069431	402.808193819	63.934	497.262	LH1201768807.WAV	1.7381	1.0701	23	3	2	2	
13	Spectrogram 1	1	416.776690758	418.919030120	52.568	463.164	LH1201769407.WAV	2.1423	6.7766	23	3	2	2	
14	Spectrogram 1	1	560.088852444	562.999200256	48.305	464.584	LH1201778407.WAV	2.9103	0.0889	23	3	2	2	
15	Spectrogram 1	1	574.555744838	576.495976713	48.305	440.432	LH1201779007.WAV	1.9402	4.5558	23	3	2	2	
16	Spectrogram 1	1	578.169919041	579.934991094	46.885	443.273	LH1201779007.WAV	1.7651	8.1700	23	3	2	2	
17	Spectrogram 1	1	581.652813962	583.916417816	45.464	480.213	LH1201779607.WAV	2.2636	1.6528	23	3	2	2	
18	Spectrogram 1	1	600.249345234	601.704519141	49.726	460.322	LH1201780807.WAV	1.4552	0.2493	23	3	2	2	
19	Spectrogram 1	1	602.041364952	604.318442639	46.885	456.060	LH1201780807.WAV	2.2771	2.0414	23	3	2	2	
20	Spectrogram 1	1	611.263704217	613.567729569	42.622	439.011	LH1201781407.WAV	2.3040	1.2637	23	3	2	2	
21	Spectrogram 1	1	651.970159539	653.964286743	29.836	497.262	LH1201783807.WAV	1.9941	1.9702	23	3	2	2	
22	Spectrogram 1	1	727.383392605	729.970368438	28.415	494.420	LH1201788007.WAV	2.5870	7.3834	23	3	2	2	
23	Spectrogram 1	1	753.915829656	756.300698002	48.305	410.596	LH1201789807.WAV	2.3849	3.9159	17	3	2	2	
24	Spectrogram 1	1	806.296725405	808.978018065	48.305	519.994	LH1201792807.WAV	2.6813	6.2967	23	3	2	2	
25	Spectrogram 1	1	815.172068475	818.271049942	62.513	444.694	LH1201793407.WAV	3.0990	5.1721	23	3	2	2	
26	Spectrogram 1	1	823.538955348	826.637936815	42.622	505.786	LH1201794007.WAV	3.0990	3.5390	23	3	2	2	
27	Spectrogram 1	1	835.385459644	838.012856974	71.037	439.011	LH1201794607.WAV	2.6274	5.3855	23	3	2	2	
28	Spectrogram 1	1	891.201910732	893.047825780	49.726	377.919	LH1201798207.WAV	1.8459	1.2019	18	3	2	2	
29	Spectrogram 1	1	1032.180093842	1033.675689246	48.305	404.913	LH1201806607.WAV	1.4956	2.1800	19	3	2	2	
30	Spectrogram 1	1	1100.543506971	1101.661835065	26.994	376.498	LH1201810807.WAV	1.1183	0.5435	19	3	2	2	
31	Spectrogram 1	1	1103.265221129	1104.329653893	26.994	382.181	LH1201810807.WAV	1.0644	3.2652	19	3	2	2	
32	Spectrogram 1	1	1367.173389140	1369.585205151	64.644	296.226	LH1201826407.WAV	2.4118	7.1734	17	3	2	2	
33	Spectrogram 1	1	13.595096432	14.888584348	52.568	494.420	LH1201745407.WAV	1.2935	3.5951	19	2	2	2	
34	Spectrogram 1	1	390.813522940	392.349539841	26.994	477.371	LH1201768207.WAV	1.5360	0.8135	19	2	2	2	
35	Spectrogram 1	1	751.854333289	753.875408159	46.885	373.657	LH1201789807.WAV	2.0211	1.8543	19	3	2	2	
