Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	22.321678231	24.306822685	46.885	329.613	LH1201296007.WAV	1.9851	2.3217	17	3	2	2	
2	Spectrogram 1	1	122.659124084	123.499891147	17.049	311.144	LH1201302007.WAV	0.8408	2.6591	19	1	2	2	
3	Spectrogram 1	1	124.072079842	126.699476913	24.153	311.144	LH1201302007.WAV	2.6274	4.0721	17	1	2	2	
4	Spectrogram 1	1	232.720022326	233.934463639	17.049	397.809	LH1201308607.WAV	1.2144	2.7201	19	1	2	2	
5	Spectrogram 1	1	275.486359706	278.125434097	38.360	315.406	LH1201311007.WAV	2.6391	5.4864	17	3	2	2	
6	Spectrogram 1	1	312.012638377	313.133661128	17.049	321.089	LH1201313408.WAV	1.1210	2.0126	19	1	2	2	
7	Spectrogram 1	1	315.327642326	318.025103318	46.885	308.302	LH1201313408.WAV	2.6975	5.3277	17	3	2	2	
8	Spectrogram 1	1	328.613514644	329.687828113	19.890	370.815	LH1201314008.WAV	1.0743	8.6135	19	1	2	2	
9	Spectrogram 1	1	331.491840324	333.360211574	34.098	352.345	LH1201314607.WAV	1.8684	1.4918	19	3	2	2	
10	Spectrogram 1	1	356.512924046	358.614841703	34.098	309.723	LH1201315807.WAV	2.1019	6.5129	17	3	2	2	
11	Spectrogram 1	1	360.034629407	362.346738830	34.098	301.198	LH1201316407.WAV	2.3121	0.0346	17	3	1	2	
12	Spectrogram 1	1	381.703234734	384.821079258	39.781	319.668	LH1201317607.WAV	3.1178	1.7033	17	2	2	2	
13	Spectrogram 1	1	385.148044227	387.390089728	22.732	288.412	LH1201317607.WAV	2.2420	5.1481	17	3	2	2	
14	Spectrogram 1	1	402.271957422	404.817613250	49.726	284.149	LH1201318807.WAV	2.5457	2.2720	17	3	2	2	
15	Spectrogram 1	1	418.424478100	419.965884381	31.256	311.144	LH1201319407.WAV	1.5414	8.4245	18	2	1	2	
16	Spectrogram 1	1	477.414487545	479.516405201	32.677	306.881	LH1201323007.WAV	2.1019	7.4145	17	3	2	2	
17	Spectrogram 1	1	494.275814610	496.062444618	28.415	315.406	LH1201324207.WAV	1.7866	4.2759	19	2	2	2	
18	Spectrogram 1	1	525.451705646	526.619437678	31.256	286.991	LH1201326007.WAV	1.1677	5.4517	19	3	2	2	
19	Spectrogram 1	1	527.250012975	528.195875920	49.726	311.144	LH1201326007.WAV	0.9459	7.2500	19	3	2	2	
20	Spectrogram 1	1	528.417745006	529.351930631	36.939	264.259	LH1201326007.WAV	0.9342	8.4178	19	3	2	2	
21	Spectrogram 1	1	530.082756437	532.581702985	36.939	323.930	LH1201326607.WAV	2.4989	0.0828	17	3	2	2	
22	Spectrogram 1	1	544.226738422	545.289374571	38.360	282.729	LH1201327207.WAV	1.0626	4.2268	19	3	2	2	
23	Spectrogram 1	1	545.324406532	547.157745821	35.519	295.515	LH1201327207.WAV	1.8333	5.3244	17	3	2	2	
24	Spectrogram 1	1	556.412787500	558.105998946	34.098	335.296	LH1201327807.WAV	1.6932	6.4128	17	3	2	2	
