Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,Delta Time (s),File Offset (s),call variant,level,call cutoff @ end,calls overlap,Notes
1,Spectrogram 1,1,1.244284788,5.030087443,113.903,332.595,DSG 6_RG 3-001.1006.YMD_2009_05_22_HMS_14_12_00.dsg_RAWD_HMS_14_12_ 0__DMY_22_ 5_ 9.wav,3.7858,1.2443,15,3,2,2,
2,Spectrogram 1,1,8.087166836,10.805178998,118.459,325.761,DSG 6_RG 3-001.1006.YMD_2009_05_22_HMS_14_12_00.dsg_RAWD_HMS_14_12_ 0__DMY_22_ 5_ 9.wav,2.718,8.0871,15,3,1,2,
3,Spectrogram 1,1,12.495360434,16.307637233,157.185,325.761,DSG 6_RG 3-001.1022.YMD_2009_05_22_HMS_15_48_00.dsg_RAWD_HMS_15_48_ 0__DMY_22_ 5_ 9.wav,3.8123,1.6409,15,3,2,2,
4,Spectrogram 1,1,18.209144091,21.686081727,123.015,316.649,DSG 6_RG 3-001.1022.YMD_2009_05_22_HMS_15_48_00.dsg_RAWD_HMS_15_48_ 0__DMY_22_ 5_ 9.wav,3.4769,7.3548,15,3,1,2,
5,Spectrogram 1,1,26.059909961,27.427740757,79.732,298.425,DSG 6_RG 3-001.1024.YMD_2009_05_22_HMS_16_00_00.dsg_RAWD_HMS_16_ 0_ 0__DMY_22_ 5_ 9.wav,1.3678,4.3511,9,2,2,2,
6,Spectrogram 1,1,106.437954065,107.885207294,179.966,346.264,DSG 6_RG 3-001.1087.YMD_2009_05_22_HMS_22_18_00.dsg_RAWD_HMS_22_18_ 0__DMY_22_ 5_ 9.wav,1.4473,8.7484,15,3,2,2,
7,Spectrogram 1,1,115.720181526,118.517616122,177.688,346.264,DSG 6_RG 3-001.1088.YMD_2009_05_22_HMS_22_24_00.dsg_RAWD_HMS_22_24_ 0__DMY_22_ 5_ 9.wav,2.7974,7.1762,15,3,2,2,
8,Spectrogram 1,1,124.701439788,126.325187314,198.19,414.605,DSG 6_RG 3-001.1091.YMD_2009_05_22_HMS_22_42_00.dsg_RAWD_HMS_22_42_ 0__DMY_22_ 5_ 9.wav,1.6237,5.303,15,3,2,2,
9,Spectrogram 1,1,142.082454031,144.24450916,177.688,359.932,DSG 6_RG 3-001.1096.YMD_2009_05_22_HMS_23_12_00.dsg_RAWD_HMS_23_12_ 0__DMY_22_ 5_ 9.wav,2.1621,0.9752,15,3,2,2,
10,Spectrogram 1,1,148.864975474,149.597426803,116.181,293.868,DSG 6_RG 3-001.1096.YMD_2009_05_22_HMS_23_12_00.dsg_RAWD_HMS_23_12_ 0__DMY_22_ 5_ 9.wav,0.7325,7.7578,9,2,2,2,
11,Spectrogram 1,1,196.291904908,198.012724296,86.566,282.478,DSG 6_RG 3-001.1207.YMD_2009_05_23_HMS_10_18_00.dsg_RAWD_HMS_10_18_ 0__DMY_23_ 5_ 9.wav,1.7208,0.9127,15,3,2,2,
12,Spectrogram 1,1,198.736350911,200.501293873,97.956,252.864,DSG 6_RG 3-001.1207.YMD_2009_05_23_HMS_10_18_00.dsg_RAWD_HMS_10_18_ 0__DMY_23_ 5_ 9.wav,1.7649,3.3571,15,3,2,2,
13,Spectrogram 1,1,210.448161633,217.040223598,100.234,293.868,DSG 6_RG 3-001.1213.YMD_2009_05_23_HMS_10_54_00.dsg_RAWD_HMS_10_54_ 0__DMY_23_ 5_ 9.wav,6.5921,4.2146,15,3,1,2,
14,Spectrogram 1,1,217.169385034,221.431722288,109.346,291.59,DSG 6_RG 3-001.1223.YMD_2009_05_23_HMS_11_54_00.dsg_RAWD_HMS_11_54_ 0__DMY_23_ 5_ 9.wav,4.2623,0.0814,15,3,1,2,
15,Spectrogram 1,1,222.247311635,223.526895283,77.454,291.59,DSG 6_RG 3-001.1223.YMD_2009_05_23_HMS_11_54_00.dsg_RAWD_HMS_11_54_ 0__DMY_23_ 5_ 9.wav,1.2796,5.1593,9,3,2,2,
16,Spectrogram 1,1,226.698229549,227.889566049,70.62,332.595,DSG 6_RG 3-001.1223.YMD_2009_05_23_HMS_11_54_00.dsg_RAWD_HMS_11_54_ 0__DMY_23_ 5_ 9.wav,1.1913,9.6103,15,3,1,2,
17,Spectrogram 1,1,228.004287341,230.281063763,120.737,318.927,DSG 6_RG 3-001.1224.YMD_2009_05_23_HMS_12_00_00.dsg_RAWD_HMS_12_ 0_ 0__DMY_23_ 5_ 9.wav,2.2768,0.0619,15,3,1,2,
18,Spectrogram 1,1,231.132447957,232.314959741,79.732,266.532,DSG 6_RG 3-001.1224.YMD_2009_05_23_HMS_12_00_00.dsg_RAWD_HMS_12_ 0_ 0__DMY_23_ 5_ 9.wav,1.1825,3.19,9,3,2,2,
19,Spectrogram 1,1,232.456155178,233.868109548,75.176,264.254,DSG 6_RG 3-001.1224.YMD_2009_05_23_HMS_12_00_00.dsg_RAWD_HMS_12_ 0_ 0__DMY_23_ 5_ 9.wav,1.412,4.5137,15,3,2,2,
20,Spectrogram 1,1,239.699852492,242.223720928,107.068,328.039,DSG 6_RG 3-001.1225.YMD_2009_05_23_HMS_12_06_00.dsg_RAWD_HMS_12_ 6_ 0__DMY_23_ 5_ 9.wav,2.5239,0.9031,15,3,2,2,
21,Spectrogram 1,1,250.642551222,253.501758821,107.068,291.59,DSG 6_RG 3-001.1226.YMD_2009_05_23_HMS_12_12_00.dsg_RAWD_HMS_12_12_ 0__DMY_23_ 5_ 9.wav,2.8592,0.9913,15,3,2,2,
22,Spectrogram 1,1,258.986076238,260.142113878,109.346,293.868,DSG 6_RG 3-001.1226.YMD_2009_05_23_HMS_12_12_00.dsg_RAWD_HMS_12_12_ 0__DMY_23_ 5_ 9.wav,1.156,9.3349,9,3,2,2,
23,Spectrogram 1,1,263.137449836,265.961358576,109.346,325.761,DSG 6_RG 3-001.1232.YMD_2009_05_23_HMS_12_48_00.dsg_RAWD_HMS_12_48_ 0__DMY_23_ 5_ 9.wav,2.8239,2.6319,15,3,2,2,
24,Spectrogram 1,1,266.626927771,271.304026621,109.346,346.264,DSG 6_RG 3-001.1232.YMD_2009_05_23_HMS_12_48_00.dsg_RAWD_HMS_12_48_ 0__DMY_23_ 5_ 9.wav,4.6771,6.1213,15,3,1,2,
25,Spectrogram 1,1,274.291899669,277.777662019,95.678,314.371,DSG 6_RG 3-001.1240.YMD_2009_05_23_HMS_13_36_00.dsg_RAWD_HMS_13_36_ 0__DMY_23_ 5_ 9.wav,3.4858,2.9319,15,3,2,2,
26,Spectrogram 1,1,280.482690258,281.709325617,93.4,284.756,DSG 6_RG 3-001.1240.YMD_2009_05_23_HMS_13_36_00.dsg_RAWD_HMS_13_36_ 0__DMY_23_ 5_ 9.wav,1.2266,9.1227,9,3,2,2,
27,Spectrogram 1,1,282.25089487,284.015383897,102.512,302.981,DSG 6_RG 3-001.1244.YMD_2009_05_23_HMS_14_00_00.dsg_RAWD_HMS_14_ 0_ 0__DMY_23_ 5_ 9.wav,1.7645,0.0365,15,3,1,2,
28,Spectrogram 1,1,291.415614351,293.012887732,66.063,337.151,DSG 6_RG 3-001.1244.YMD_2009_05_23_HMS_14_00_00.dsg_RAWD_HMS_14_ 0_ 0__DMY_23_ 5_ 9.wav,1.5973,9.2012,9,2,2,2,
29,Spectrogram 1,1,293.112767309,296.166118634,104.79,387.269,DSG 6_RG 3-001.1254.YMD_2009_05_23_HMS_15_00_00.dsg_RAWD_HMS_15_ 0_ 0__DMY_23_ 5_ 9.wav,3.0534,0.044,15,3,1,2,
30,Spectrogram 1,1,296.355153229,298.949619384,107.068,357.654,DSG 6_RG 3-001.1254.YMD_2009_05_23_HMS_15_00_00.dsg_RAWD_HMS_15_ 0_ 0__DMY_23_ 5_ 9.wav,2.5945,3.2864,15,3,2,2,
31,Spectrogram 1,1,307.235129033,310.314954502,97.956,328.039,DSG 6_RG 3-001.1255.YMD_2009_05_23_HMS_15_06_00.dsg_RAWD_HMS_15_ 6_ 0__DMY_23_ 5_ 9.wav,3.0798,3.3119,15,3,2,2,
32,Spectrogram 1,1,315.713832485,317.399353014,113.903,316.649,DSG 6_RG 3-001.1263.YMD_2009_05_23_HMS_15_54_00.dsg_RAWD_HMS_15_54_ 0__DMY_23_ 5_ 9.wav,1.6855,0.9363,15,3,2,2,
33,Spectrogram 1,1,317.478775448,318.564215369,75.176,309.815,DSG 6_RG 3-001.1263.YMD_2009_05_23_HMS_15_54_00.dsg_RAWD_HMS_15_54_ 0__DMY_23_ 5_ 9.wav,1.0854,2.7012,9,3,2,2,
34,Spectrogram 1,1,319.519142361,321.875341216,77.454,330.317,DSG 6_RG 3-001.1263.YMD_2009_05_23_HMS_15_54_00.dsg_RAWD_HMS_15_54_ 0__DMY_23_ 5_ 9.wav,2.3562,4.7416,15,3,2,2,
35,Spectrogram 1,1,323.396453813,325.593807801,107.068,332.595,DSG 6_RG 3-001.1263.YMD_2009_05_23_HMS_15_54_00.dsg_RAWD_HMS_15_54_ 0__DMY_23_ 5_ 9.wav,2.1974,8.6189,15,3,1,2,
36,Spectrogram 1,1,329.250047447,334.130114738,129.849,355.376,DSG 6_RG 3-001.1272.YMD_2009_05_23_HMS_16_48_00.dsg_RAWD_HMS_16_48_ 0__DMY_23_ 5_ 9.wav,4.8801,3.6181,15,3,2,2,
37,Spectrogram 1,1,337.624754167,339.054357967,82.01,318.927,DSG 6_RG 3-001.1279.YMD_2009_05_23_HMS_17_30_00.dsg_RAWD_HMS_17_30_ 0__DMY_23_ 5_ 9.wav,1.4296,1.1383,9,3,2,2,
38,Spectrogram 1,1,341.154640092,347.314291031,118.459,298.425,DSG 6_RG 3-001.1279.YMD_2009_05_23_HMS_17_30_00.dsg_RAWD_HMS_17_30_ 0__DMY_23_ 5_ 9.wav,6.1597,4.6682,15,3,1,2,
39,Spectrogram 1,1,347.409969347,353.481373137,120.737,293.868,DSG 6_RG 3-001.1283.YMD_2009_05_23_HMS_17_54_00.dsg_RAWD_HMS_17_54_ 0__DMY_23_ 5_ 9.wav,6.0714,0.0692,15,3,1,2,
40,Spectrogram 1,1,353.657867433,355.016873514,82.01,314.371,DSG 6_RG 3-001.1283.YMD_2009_05_23_HMS_17_54_00.dsg_RAWD_HMS_17_54_ 0__DMY_23_ 5_ 9.wav,1.359,6.3171,9,2,2,2,
41,Spectrogram 1,1,363.85230217,365.105411673,104.79,302.981,DSG 6_RG 3-001.1284.YMD_2009_05_23_HMS_18_00_00.dsg_RAWD_HMS_18_ 0_ 0__DMY_23_ 5_ 9.wav,1.2531,5.6571,9,3,2,2,
42,Spectrogram 1,1,369.10905582,372.056510567,161.742,323.483,DSG 6_RG 3-001.1292.YMD_2009_05_23_HMS_18_48_00.dsg_RAWD_HMS_18_48_ 0__DMY_23_ 5_ 9.wav,2.9475,0.0595,15,3,1,2,
43,Spectrogram 1,1,375.113577476,378.42284553,129.849,293.868,DSG 6_RG 3-001.1292.YMD_2009_05_23_HMS_18_48_00.dsg_RAWD_HMS_18_48_ 0__DMY_23_ 5_ 9.wav,3.3093,6.064,15,3,2,2,
44,Spectrogram 1,1,379.946311907,383.970381861,120.737,300.703,DSG 6_RG 3-001.1310.YMD_2009_05_23_HMS_20_36_00.dsg_RAWD_HMS_20_36_ 0__DMY_23_ 5_ 9.wav,4.0241,0.0423,15,3,1,2,
45,Spectrogram 1,1,384.093927868,385.355862087,93.4,273.366,DSG 6_RG 3-001.1310.YMD_2009_05_23_HMS_20_36_00.dsg_RAWD_HMS_20_36_ 0__DMY_23_ 5_ 9.wav,1.2619,4.1899,9,2,2,2,
46,Spectrogram 1,1,393.386383902,394.683616979,123.015,296.147,DSG 6_RG 3-001.1320.YMD_2009_05_23_HMS_21_36_00.dsg_RAWD_HMS_21_36_ 0__DMY_23_ 5_ 9.wav,1.2972,2.628,15,3,2,2,
47,Spectrogram 1,1,394.780688842,396.04262306,84.288,289.312,DSG 6_RG 3-001.1320.YMD_2009_05_23_HMS_21_36_00.dsg_RAWD_HMS_21_36_ 0__DMY_23_ 5_ 9.wav,1.2619,4.0223,9,3,2,2,
48,Spectrogram 1,1,397.290665486,401.544178025,154.907,300.703,DSG 6_RG 3-001.1320.YMD_2009_05_23_HMS_21_36_00.dsg_RAWD_HMS_21_36_ 0__DMY_23_ 5_ 9.wav,4.2535,6.5323,15,3,1,2,
49,Spectrogram 1,1,405.372710707,411.258795486,113.903,300.703,DSG 6_RG 3-001.1322.YMD_2009_05_23_HMS_21_48_00.dsg_RAWD_HMS_21_48_ 0__DMY_23_ 5_ 9.wav,5.8861,3.7599,15,3,2,2,
50,Spectrogram 1,1,414.477947884,418.749109853,102.512,321.205,DSG 6_RG 3-001.1324.YMD_2009_05_23_HMS_22_00_00.dsg_RAWD_HMS_22_ 0_ 0__DMY_23_ 5_ 9.wav,4.2712,2.0107,15,3,2,2,
51,Spectrogram 1,1,423.371950974,425.251615229,116.181,282.478,DSG 6_RG 3-001.1325.YMD_2009_05_23_HMS_22_06_00.dsg_RAWD_HMS_22_ 6_ 0__DMY_23_ 5_ 9.wav,1.8797,0.0503,15,3,1,2,
52,Spectrogram 1,1,427.325423209,428.71972815,107.068,293.868,DSG 6_RG 3-001.1325.YMD_2009_05_23_HMS_22_06_00.dsg_RAWD_HMS_22_ 6_ 0__DMY_23_ 5_ 9.wav,1.3943,4.0038,9,3,2,2,
53,Spectrogram 1,1,428.8822886,434.106519769,148.073,332.595,DSG 6_RG 3-001.1325.YMD_2009_05_23_HMS_22_06_00.dsg_RAWD_HMS_22_ 6_ 0__DMY_23_ 5_ 9.wav,5.2242,5.5607,15,3,1,2,
54,Spectrogram 1,1,437.500825686,438.815708193,104.79,314.371,DSG 6_RG 3-001.1326.YMD_2009_05_23_HMS_22_12_00.dsg_RAWD_HMS_22_12_ 0__DMY_23_ 5_ 9.wav,1.3149,3.3249,9,3,2,2,
55,Spectrogram 1,1,438.931812316,441.261537026,123.015,307.537,DSG 6_RG 3-001.1326.YMD_2009_05_23_HMS_22_12_00.dsg_RAWD_HMS_22_12_ 0__DMY_23_ 5_ 9.wav,2.3297,4.7558,15,3,2,2,
56,Spectrogram 1,1,451.36629973,452.619409234,104.79,300.703,DSG 6_RG 3-001.1327.YMD_2009_05_23_HMS_22_18_00.dsg_RAWD_HMS_22_18_ 0__DMY_23_ 5_ 9.wav,1.2531,6.3359,9,3,2,2,
57,Spectrogram 1,1,452.972397826,455.14327767,148.073,273.366,DSG 6_RG 3-001.1327.YMD_2009_05_23_HMS_22_18_00.dsg_RAWD_HMS_22_18_ 0__DMY_23_ 5_ 9.wav,2.1709,7.942,15,3,2,2,
58,Spectrogram 1,1,455.951942147,460.823184723,157.185,323.483,DSG 6_RG 3-001.1328.YMD_2009_05_23_HMS_22_24_00.dsg_RAWD_HMS_22_24_ 0__DMY_23_ 5_ 9.wav,4.8712,0.0672,15,3,1,2,
59,Spectrogram 1,1,470.221495281,473.354269039,150.351,314.371,DSG 6_RG 3-001.1329.YMD_2009_05_23_HMS_22_30_00.dsg_RAWD_HMS_22_30_ 0__DMY_23_ 5_ 9.wav,3.1328,3.4823,15,3,2,2,
60,Spectrogram 1,1,486.464617301,488.432528704,123.015,298.425,DSG 6_RG 3-001.1330.YMD_2009_05_23_HMS_22_36_00.dsg_RAWD_HMS_22_36_ 0__DMY_23_ 5_ 9.wav,1.9679,8.871,15,3,1,2,
61,Spectrogram 1,1,491.44503913,493.068786656,161.742,332.595,DSG 6_RG 3-001.1331.YMD_2009_05_23_HMS_22_42_00.dsg_RAWD_HMS_22_42_ 0__DMY_23_ 5_ 9.wav,1.6237,2.9971,15,3,2,2,
62,Spectrogram 1,1,495.058063072,496.57591402,134.405,328.039,DSG 6_RG 3-001.1331.YMD_2009_05_23_HMS_22_42_00.dsg_RAWD_HMS_22_42_ 0__DMY_23_ 5_ 9.wav,1.5179,6.6101,15,3,2,2,
63,Spectrogram 1,1,516.164077915,517.103333643,93.4,289.312,DSG 6_RG 3-001.1334.YMD_2009_05_23_HMS_23_00_00.dsg_RAWD_HMS_23_ 0_ 0__DMY_23_ 5_ 9.wav,0.9393,6.0073,9,3,2,2,
64,Spectrogram 1,1,521.940972724,524.658984886,118.459,271.088,DSG 6_RG 3-001.1335.YMD_2009_05_23_HMS_23_06_00.dsg_RAWD_HMS_23_ 6_ 0__DMY_23_ 5_ 9.wav,2.718,0.9297,15,3,2,2,
65,Spectrogram 1,1,534.068062057,535.197625553,82.01,259.698,DSG 6_RG 3-001.1338.YMD_2009_05_23_HMS_23_24_00.dsg_RAWD_HMS_23_24_ 0__DMY_23_ 5_ 9.wav,1.1296,2.2024,9,3,2,2,
66,Spectrogram 1,1,586.174877029,588.036891855,97.956,287.034,DSG 6_RG 3-001.1462.YMD_2009_05_24_HMS_11_48_00.dsg_RAWD_HMS_11_48_ 0__DMY_24_ 5_ 9.wav,1.862,0.0373,15,3,1,2,
67,Spectrogram 1,1,588.26633444,589.325300217,91.122,259.698,DSG 6_RG 3-001.1462.YMD_2009_05_24_HMS_11_48_00.dsg_RAWD_HMS_11_48_ 0__DMY_24_ 5_ 9.wav,1.059,2.1288,9,3,2,2,
68,Spectrogram 1,1,589.44002151,596.932204385,109.346,252.864,DSG 6_RG 3-001.1462.YMD_2009_05_24_HMS_11_48_00.dsg_RAWD_HMS_11_48_ 0__DMY_24_ 5_ 9.wav,7.4922,3.3024,15,3,1,2,
69,Spectrogram 1,1,597.911304105,602.694299533,127.571,309.815,DSG 6_RG 3-001.1465.YMD_2009_05_24_HMS_12_06_00.dsg_RAWD_HMS_12_ 6_ 0__DMY_24_ 5_ 9.wav,4.783,0.9193,15,3,2,2,
70,Spectrogram 1,1,602.874984374,604.913493496,68.342,314.371,DSG 6_RG 3-001.1465.YMD_2009_05_24_HMS_12_06_00.dsg_RAWD_HMS_12_ 6_ 0__DMY_24_ 5_ 9.wav,2.0385,5.883,9,2,2,2,
71,Spectrogram 1,1,605.187059655,607.790350524,63.785,305.259,DSG 6_RG 3-001.1465.YMD_2009_05_24_HMS_12_06_00.dsg_RAWD_HMS_12_ 6_ 0__DMY_24_ 5_ 9.wav,2.6033,8.1951,10,3,1,2,
72,Spectrogram 1,1,612.500013909,617.150638615,97.956,246.029,DSG 6_RG 3-001.1466.YMD_2009_05_24_HMS_12_12_00.dsg_RAWD_HMS_12_12_ 0__DMY_24_ 5_ 9.wav,4.6506,4.6536,10,3,2,2,
73,Spectrogram 1,1,621.844510363,624.615470813,100.234,261.976,DSG 6_RG 3-001.1468.YMD_2009_05_24_HMS_12_24_00.dsg_RAWD_HMS_12_24_ 0__DMY_24_ 5_ 9.wav,2.771,3.1437,15,3,2,2,
74,Spectrogram 1,1,624.873678243,629.533127664,100.234,266.532,DSG 6_RG 3-001.1468.YMD_2009_05_24_HMS_12_24_00.dsg_RAWD_HMS_12_24_ 0__DMY_24_ 5_ 9.wav,4.6594,6.1729,15,3,1,2,
75,Spectrogram 1,1,631.798777954,637.684862733,95.678,273.366,DSG 6_RG 3-001.1473.YMD_2009_05_24_HMS_12_54_00.dsg_RAWD_HMS_12_54_ 0__DMY_24_ 5_ 9.wav,5.8861,2.2436,15,3,2,2,
76,Spectrogram 1,1,638.624515102,639.939397609,88.844,264.254,DSG 6_RG 3-001.1473.YMD_2009_05_24_HMS_12_54_00.dsg_RAWD_HMS_12_54_ 0__DMY_24_ 5_ 9.wav,1.3149,9.0693,9,3,2,2,
77,Spectrogram 1,1,640.460055783,642.110277453,97.956,287.034,DSG 6_RG 3-001.1477.YMD_2009_05_24_HMS_13_18_00.dsg_RAWD_HMS_13_18_ 0__DMY_24_ 5_ 9.wav,1.6502,0.0505,15,3,1,2,
78,Spectrogram 1,1,645.51289107,646.863072436,86.566,261.976,DSG 6_RG 3-001.1477.YMD_2009_05_24_HMS_13_18_00.dsg_RAWD_HMS_13_18_ 0__DMY_24_ 5_ 9.wav,1.3502,5.1033,9,3,2,2,
79,Spectrogram 1,1,649.832842119,650.962405615,82.01,300.703,DSG 6_RG 3-001.1477.YMD_2009_05_24_HMS_13_18_00.dsg_RAWD_HMS_13_18_ 0__DMY_24_ 5_ 9.wav,1.1296,9.4232,9,3,2,2,
80,Spectrogram 1,1,653.620935473,654.812271973,97.956,300.703,DSG 6_RG 3-001.1483.YMD_2009_05_24_HMS_13_54_00.dsg_RAWD_HMS_13_54_ 0__DMY_24_ 5_ 9.wav,1.1913,2.3569,9,3,2,2,
81,Spectrogram 1,1,655.39470315,660.645408464,95.678,293.868,DSG 6_RG 3-001.1483.YMD_2009_05_24_HMS_13_54_00.dsg_RAWD_HMS_13_54_ 0__DMY_24_ 5_ 9.wav,5.2507,4.1307,15,3,2,2,
82,Spectrogram 1,1,668.378264782,669.693147289,86.566,275.644,DSG 6_RG 3-001.1484.YMD_2009_05_24_HMS_14_00_00.dsg_RAWD_HMS_14_ 0_ 0__DMY_24_ 5_ 9.wav,1.3149,6.2599,9,3,2,2,
83,Spectrogram 1,1,674.544871927,678.313025152,88.844,296.147,DSG 6_RG 3-001.1485.YMD_2009_05_24_HMS_14_06_00.dsg_RAWD_HMS_14_ 6_ 0__DMY_24_ 5_ 9.wav,3.7682,1.572,15,3,2,2,
84,Spectrogram 1,1,681.216356325,682.85775328,77.454,330.317,DSG 6_RG 3-001.1485.YMD_2009_05_24_HMS_14_06_00.dsg_RAWD_HMS_14_ 6_ 0__DMY_24_ 5_ 9.wav,1.6414,8.2436,9,1,2,2,
85,Spectrogram 1,1,685.485216877,686.800099384,86.566,309.815,DSG 6_RG 3-001.1490.YMD_2009_05_24_HMS_14_36_00.dsg_RAWD_HMS_14_36_ 0__DMY_24_ 5_ 9.wav,1.3149,1.658,9,3,2,2,
86,Spectrogram 1,1,690.314235724,693.870595794,127.571,346.264,DSG 6_RG 3-001.1490.YMD_2009_05_24_HMS_14_36_00.dsg_RAWD_HMS_14_36_ 0__DMY_24_ 5_ 9.wav,3.5564,6.487,15,3,2,2,
