Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	4386.363909576	4386.558835296	21.429	304.286	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	0.1949	4386.3639	3	3	2	2	
2	Spectrogram 1	1	5101.930765362	5104.659725442	25.714	162.857	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	2.7290	5101.9308	2	3	2	2	
3	Spectrogram 1	1	6289.496252725	6292.726450371	25.714	141.429	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	3.2302	6289.4963	2	3	2	2	
4	Spectrogram 1	1	6375.085380217	6376.236370183	40.714	126.429	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	1.1510	6375.0854	1	3	2	2	
5	Spectrogram 1	1	6387.310005954	6390.168916514	23.571	128.571	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	2.8589	6387.3100	2	3	2	2	
6	Spectrogram 1	1	6541.215949731	6545.337236383	25.714	130.714	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	4.1213	6541.2159	2	3	2	2	
7	Spectrogram 1	1	6879.863223591	6883.195525186	23.571	139.286	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	3.3323	6879.8632	2	3	2	2	
8	Spectrogram 1	1	6907.273489108	6909.352696788	25.714	139.286	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	2.0792	6907.2735	2	3	2	2	
9	Spectrogram 1	1	6947.864441229	6950.064317212	32.143	150.000	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	2.1999	6947.8644	2	3	2	2	
10	Spectrogram 1	1	6973.490716955	6974.539602972	55.714	122.143	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	1.0489	6973.4907	1	3	2	2	
11	Spectrogram 1	1	7109.855161818	7111.730161601	49.286	135.000	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	1.8750	7109.8552	1	3	2	2	
12	Spectrogram 1	1	7298.532134977	7298.986961657	47.143	105.000	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	0.4548	7298.5321	1	3	2	2	
13	Spectrogram 1	1	7370.179435585	7372.360747214	30.000	122.143	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	2.1813	7370.1794	2	3	2	2	
14	Spectrogram 1	1	7541.610126316	7543.745027059	23.571	141.429	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	2.1349	7541.6101	2	3	2	2	
15	Spectrogram 1	1	7770.497485357	7773.235727614	36.429	107.143	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	2.7382	7770.4975	1	3	2	2	
16	Spectrogram 1	1	7788.987579104	7792.236341104	27.857	126.429	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	3.2488	7788.9876	2	3	2	2	
17	Spectrogram 1	1	7810.919545964	7812.905931873	21.429	156.429	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	1.9864	7810.9195	2	3	2	2	
18	Spectrogram 1	1	17919.755544283	17921.203563918	40.714	162.857	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	1.4480	17919.7555	1	3	2	2	
19	Spectrogram 1	1	18638.864479172	18640.061880024	45.000	150.000	sanctsound_fk01_01_audio_SanctSound_FK01_01_671359016_20190202T213323Z.flac	1.1974	18638.8645	1	3	2	2	
