Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	15.659033190	17.069924116	17.143	259.286	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.4109	15.6590	9	3	2	2	
2	Spectrogram 1	1	118.748875885	121.728454748	17.143	162.857	SanctSound_FK3_01_671354921_20181226T215145Z.flac	2.9796	118.7489	2	3	2	2	
3	Spectrogram 1	1	153.417805873	158.959265628	45.000	165.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	5.5415	153.4178	1	3	2	2	
4	Spectrogram 1	1	184.035882241	185.400362281	21.429	240.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3645	184.0359	9	3	2	2	
5	Spectrogram 1	1	198.998747527	204.391692447	19.286	175.714	SanctSound_FK3_01_671354921_20181226T215145Z.flac	5.3929	198.9987	2	3	2	2	
6	Spectrogram 1	1	331.752421371	334.564921046	21.429	180.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	2.8125	331.7524	2	3	2	2	
7	Spectrogram 1	1	357.100233826	358.520406929	19.286	280.714	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.4202	357.1002	9	3	2	2	
8	Spectrogram 1	1	481.555632077	482.929394294	12.857	285.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3738	481.5556	9	3	2	2	
9	Spectrogram 1	1	653.766017051	655.204754509	17.143	310.714	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.4387	653.7660	9	3	2	2	
10	Spectrogram 1	1	726.341549905	731.307514677	55.714	171.429	SanctSound_FK3_01_671354921_20181226T215145Z.flac	4.9660	726.3415	1	3	2	2	
11	Spectrogram 1	1	756.666412208	758.086585310	19.286	263.571	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.4202	756.6664	9	3	2	2	
12	Spectrogram 1	1	945.575435326	947.144123263	23.571	274.286	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.5687	945.5754	9	3	2	2	
13	Spectrogram 1	1	1010.753077624	1012.154686372	21.429	291.429	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.4016	1010.7531	9	3	2	2	
14	Spectrogram 1	1	1052.318657904	1053.683137944	19.286	291.429	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3645	1052.3187	9	3	2	2	
15	Spectrogram 1	1	1075.162092395	1076.777191218	15.000	315.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.6151	1075.1621	9	3	2	2	
16	Spectrogram 1	1	1093.884241491	1095.536469022	19.286	300.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.6522	1093.8842	9	3	2	2	
17	Spectrogram 1	1	1146.969006013	1148.370614762	15.000	323.571	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.4016	1146.9690	9	3	2	2	
18	Spectrogram 1	1	1250.379920948	1251.725836634	17.143	276.429	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3459	1250.3799	9	3	2	2	
19	Spectrogram 1	1	1319.678830859	1321.099003962	21.429	267.857	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.4202	1319.6788	9	3	2	2	
20	Spectrogram 1	1	1451.884861702	1453.202930856	17.143	287.143	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3181	1451.8849	9	3	2	2	
21	Spectrogram 1	1	1475.719674340	1477.566827592	19.286	291.429	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.8472	1475.7197	9	3	2	2	
22	Spectrogram 1	1	1502.805063512	1504.364469272	15.000	272.143	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.5594	1502.8051	9	3	2	2	
23	Spectrogram 1	1	1548.538342126	1549.912104343	19.286	276.429	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3738	1548.5383	9	3	2	2	
24	Spectrogram 1	1	1555.267919773	1556.855172065	19.286	330.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.5873	1555.2679	9	3	2	2	
25	Spectrogram 1	1	1613.058746077	1621.292037203	21.429	156.429	SanctSound_FK3_01_671354921_20181226T215145Z.flac	8.2333	1613.0587	2	3	2	2	
26	Spectrogram 1	1	1653.452962088	1654.826724306	21.429	282.857	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3738	1653.4530	9	3	2	2	
27	Spectrogram 1	1	1832.383650550	1833.646026641	21.429	300.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.2624	1832.3837	9	3	2	2	
28	Spectrogram 1	1	1963.706059645	1965.024128800	17.143	300.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3181	1963.7061	9	3	2	2	
29	Spectrogram 1	1	1985.973999612	1990.280929806	23.571	173.571	SanctSound_FK3_01_671354921_20181226T215145Z.flac	4.3069	1985.9740	2	3	2	2	
30	Spectrogram 1	1	2098.204787539	2103.133623602	23.571	165.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	4.9288	2098.2048	2	3	2	2	
31	Spectrogram 1	1	2153.014220454	2154.601472745	19.286	297.857	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.5873	2153.0142	9	3	2	2	
32	Spectrogram 1	1	2154.935631123	2156.262982454	19.286	304.286	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3274	2154.9356	9	3	2	2	
33	Spectrogram 1	1	2183.181291930	2184.490078907	19.286	265.714	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3088	2183.1813	9	3	2	2	
34	Spectrogram 1	1	2226.315562903	2227.577938994	19.286	304.286	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.2624	2226.3156	9	3	2	2	
35	Spectrogram 1	1	2352.588468501	2353.990077250	19.286	265.714	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.4016	2352.5885	9	3	2	2	
36	Spectrogram 1	1	4145.922005161	4147.277203024	21.429	244.286	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.3552	4145.9220	9	3	2	2	
37	Spectrogram 1	1	4224.001853598	4225.217818804	19.286	265.714	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.2160	4224.0019	9	3	2	2	
38	Spectrogram 1	1	5122.674478957	5129.032770301	19.286	310.714	SanctSound_FK3_01_671354921_20181226T215145Z.flac	6.3583	5122.6745	10	3	2	2	
39	Spectrogram 1	1	5192.160845862	5193.775944685	19.286	274.286	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.6151	5192.1608	9	3	2	2	
40	Spectrogram 1	1	5916.904062003	5922.259878214	15.000	182.143	SanctSound_FK3_01_671354921_20181226T215145Z.flac	5.3558	5916.9041	2	3	2	2	
41	Spectrogram 1	1	14309.261125255	14311.043303267	17.143	285.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.7822	14309.2611	9	3	2	2	
42	Spectrogram 1	1	20823.011116667	20824.542675895	17.143	285.000	SanctSound_FK3_01_671354921_20181226T215145Z.flac	1.5316	20823.0111	9	3	2	2	
