Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	10.658288945	10.727423826	0.000	125.000	3252.DSG_RAWD_HMS_18_50_ 0__DMY_17_ 8_15.wav	0.0691	0.0087	3	2	1	2		1
2	Spectrogram 1	1	10.750468787	10.819603668	0.000	127.232	3252.DSG_RAWD_HMS_18_50_ 0__DMY_17_ 8_15.wav	0.0691	0.1009	3	3	2	2		2
3	Spectrogram 1	1	25.337879885	25.453104687	0.000	158.482	3253.DSG_RAWD_HMS_18_55_ 0__DMY_17_ 8_15.wav	0.1152	4.0387	3	2	2	2		2
4	Spectrogram 1	1	26.132931018	26.213588380	0.000	171.875	3253.DSG_RAWD_HMS_18_55_ 0__DMY_17_ 8_15.wav	0.0807	4.8337	3	3	2	2		2
5	Spectrogram 1	1	27.527151121	27.642375923	0.000	180.804	3253.DSG_RAWD_HMS_18_55_ 0__DMY_17_ 8_15.wav	0.1152	6.2280	3	2	2	2		2
6	Spectrogram 1	1	28.103275130	28.253067373	0.000	243.304	3253.DSG_RAWD_HMS_18_55_ 0__DMY_17_ 8_15.wav	0.1498	6.8041	3	1	2	2		2
7	Spectrogram 1	1	29.612720035	29.693377396	0.000	158.482	3253.DSG_RAWD_HMS_18_55_ 0__DMY_17_ 8_15.wav	0.0807	8.3135	3	2	2	2		2
8	Spectrogram 1	1	47.149890079	47.242069921	2.232	149.554	3255.DSG_RAWD_HMS_19_ 5_ 0__DMY_17_ 8_15.wav	0.0922	4.5515	3	2	2	2		2
9	Spectrogram 1	1	50.410751972	50.583589175	0.000	253.521	3255.DSG_RAWD_HMS_19_ 5_ 0__DMY_17_ 8_15.wav	0.1728	7.8124	3	1	2	2		2
10	Spectrogram 1	1	51.344072868	51.459297670	0.000	142.857	3255.DSG_RAWD_HMS_19_ 5_ 0__DMY_17_ 8_15.wav	0.1152	8.7457	3	2	2	2		2
11	Spectrogram 1	1	54.754717589	54.881464871	0.000	178.571	3256.DSG_RAWD_HMS_19_10_ 0__DMY_17_ 8_15.wav	0.1267	1.5067	3	2	2	2		2
12	Spectrogram 1	1	66.288698285	66.473057968	0.000	257.838	3257.DSG_RAWD_HMS_19_15_ 0__DMY_17_ 8_15.wav	0.1844	2.3911	3	2	2	2		2
13	Spectrogram 1	1	69.607168331	69.733915613	0.000	142.327	3257.DSG_RAWD_HMS_19_15_ 0__DMY_17_ 8_15.wav	0.1267	5.7096	3	2	2	2		1
14	Spectrogram 1	1	97.364767316	97.468469637	0.000	134.076	3260.DSG_RAWD_HMS_19_30_ 0__DMY_17_ 8_15.wav	0.1037	1.5184	3	2	2	2		2
15	Spectrogram 1	1	102.423129689	103.932574593	47.442	165.017	3260.DSG_RAWD_HMS_19_30_ 0__DMY_17_ 8_15.wav	1.5094	6.5767	1	2	2	2		2
16	Spectrogram 1	1	116.883824211	116.976004053	0.000	245.462	3261.DSG_RAWD_HMS_19_35_ 0__DMY_17_ 8_15.wav	0.0922	10.3878	3	2	2	2		2
17	Spectrogram 1	1	117.033616454	117.114273815	0.000	222.772	3261.DSG_RAWD_HMS_19_35_ 0__DMY_17_ 8_15.wav	0.0807	10.5376	3	2	2	2		2
18	Spectrogram 1	1	120.697755086	120.939727169	0.000	171.205	3262.DSG_RAWD_HMS_19_40_ 0__DMY_17_ 8_15.wav	0.2420	3.5522	3	1	2	2		2
19	Spectrogram 1	1	126.055698040	126.170922842	0.000	142.327	3262.DSG_RAWD_HMS_19_40_ 0__DMY_17_ 8_15.wav	0.1152	8.9101	3	2	2	2		2
20	Spectrogram 1	1	128.083654553	128.152789434	0.000	134.076	3263.DSG_RAWD_HMS_19_45_ 0__DMY_17_ 8_15.wav	0.0691	0.2885	3	2	2	2		2
21	Spectrogram 1	1	129.431784735	129.570054497	0.000	167.079	3263.DSG_RAWD_HMS_19_45_ 0__DMY_17_ 8_15.wav	0.1383	1.6366	3	2	2	2		2
22	Spectrogram 1	1	144.457068026	144.583815308	0.000	171.205	3264.DSG_RAWD_HMS_19_50_ 0__DMY_17_ 8_15.wav	0.1267	6.0123	3	2	2	2		2
23	Spectrogram 1	1	150.690705468	150.852020191	0.000	212.459	3265.DSG_RAWD_HMS_19_55_ 0__DMY_17_ 8_15.wav	0.1613	1.5963	3	1	2	2		2
24	Spectrogram 1	1	155.599273391	155.795155554	0.000	193.894	3265.DSG_RAWD_HMS_19_55_ 0__DMY_17_ 8_15.wav	0.1959	6.5049	3	1	2	2		2
25	Spectrogram 1	1	156.728476450	157.051105895	0.000	327.970	3265.DSG_RAWD_HMS_19_55_ 0__DMY_17_ 8_15.wav	0.3226	7.6341	3	1	2	2		2
26	Spectrogram 1	1	159.781921468	163.538109491	43.317	165.017	3266.DSG_RAWD_HMS_20_ 0_ 0__DMY_17_ 8_15.wav	3.7562	0.0379	1	2	1	2		2
27	Spectrogram 1	1	166.753009485	166.891279247	0.000	160.891	3266.DSG_RAWD_HMS_20_ 0_ 0__DMY_17_ 8_15.wav	0.1383	7.0090	3	2	2	2		2
28	Spectrogram 1	1	171.120014101	171.246761383	0.000	156.766	3267.DSG_RAWD_HMS_20_ 5_ 0__DMY_17_ 8_15.wav	0.1267	0.7264	3	1	2	2		2
29	Spectrogram 1	1	177.641729392	177.756954193	0.000	121.700	3267.DSG_RAWD_HMS_20_ 5_ 0__DMY_17_ 8_15.wav	0.1152	7.2481	3	1	2	2		2
30	Spectrogram 1	1	189.210280937	191.687614177	37.129	146.452	3268.DSG_RAWD_HMS_20_10_ 0__DMY_17_ 8_15.wav	2.4773	8.1671	1	2	1	1		2
