Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	21.329561613	21.742067593	48.981	146.944	5253.DSG_RAWD_HMS_17_35_ 0__DMY_24_ 8_15.wav	0.4125	0.0304	1	2	1	2		1
2	Spectrogram 1	1	38.111493801	38.282532867	25.470	160.658	5254.DSG_RAWD_HMS_17_40_ 0__DMY_24_ 8_15.wav	0.1710	6.1627	3	1	2	2		2
3	Spectrogram 1	1	41.361224859	41.471897196	31.348	156.740	5254.DSG_RAWD_HMS_17_40_ 0__DMY_24_ 8_15.wav	0.1107	9.4124	3	3	2	2		1
4	Spectrogram 1	1	112.956052341	113.147213649	29.389	223.354	5261.DSG_RAWD_HMS_18_15_ 0__DMY_24_ 8_15.wav	0.1912	6.4601	3	2	2	2		2
5	Spectrogram 1	1	129.888905919	130.090128349	27.429	219.436	5263.DSG_RAWD_HMS_18_25_ 0__DMY_24_ 8_15.wav	0.2012	2.0937	3	2	2	2		2
6	Spectrogram 1	1	147.324794728	147.475711550	25.470	156.740	5264.DSG_RAWD_HMS_18_30_ 0__DMY_24_ 8_15.wav	0.1509	8.8800	3	2	2	2		1
7	Spectrogram 1	1	186.965531573	191.664075304	41.144	274.295	5268.DSG_RAWD_HMS_18_50_ 0__DMY_24_ 8_15.wav	4.6985	5.9223	1	2	1	2		2
8	Spectrogram 1	1	234.313148119	234.423820455	0.000	156.740	5273.DSG_RAWD_HMS_19_15_ 0__DMY_24_ 8_15.wav	0.1107	0.0219	3	2	1	2		2
9	Spectrogram 1	1	236.949156618	237.090012319	25.470	211.599	5273.DSG_RAWD_HMS_19_15_ 0__DMY_24_ 8_15.wav	0.1409	2.6580	3	2	2	2		2
10	Spectrogram 1	1	254.495738445	254.616471903	0.000	215.517	5274.DSG_RAWD_HMS_19_20_ 0__DMY_24_ 8_15.wav	0.1207	9.5549	3	2	2	2		2
11	Spectrogram 1	1	260.099777141	260.300999570	0.000	192.006	5275.DSG_RAWD_HMS_19_25_ 0__DMY_24_ 8_15.wav	0.2012	4.5094	3	3	2	2		2
12	Spectrogram 1	1	261.488211905	261.699495456	0.000	172.414	5275.DSG_RAWD_HMS_19_25_ 0__DMY_24_ 8_15.wav	0.2113	5.8978	3	3	2	2		2
13	Spectrogram 1	1	269.295618729	269.436474430	0.000	192.006	5276.DSG_RAWD_HMS_19_30_ 0__DMY_24_ 8_15.wav	0.1409	3.0556	3	3	2	2		2
14	Spectrogram 1	1	274.738672218	274.849344554	0.000	178.292	5276.DSG_RAWD_HMS_19_30_ 0__DMY_24_ 8_15.wav	0.1107	8.4987	3	2	2	2		2
15	Spectrogram 1	1	278.109147914	278.229881371	0.000	162.618	5277.DSG_RAWD_HMS_19_35_ 0__DMY_24_ 8_15.wav	0.1207	1.2195	3	2	2	2		2
16	Spectrogram 1	1	313.856215736	316.592840778	37.226	148.903	5280.DSG_RAWD_HMS_19_50_ 0__DMY_24_ 8_15.wav	2.7366	5.0178	1	3	2	2		2
17	Spectrogram 1	1	317.790105428	318.695606361	45.063	144.984	5280.DSG_RAWD_HMS_19_50_ 0__DMY_24_ 8_15.wav	0.9055	8.9517	1	2	2	2		1
18	Spectrogram 1	1	331.000306109	331.161284053	0.000	170.455	5282.DSG_RAWD_HMS_20_ 0_ 0__DMY_24_ 8_15.wav	0.1610	0.8627	3	2	2	1		2
19	Spectrogram 1	1	330.768900315	340.749532822	41.144	168.495	5282.DSG_RAWD_HMS_20_ 0_ 0__DMY_24_ 8_15.wav	9.9806	0.6313	1	3	1	1		2
20	Spectrogram 1	1	362.159571919	362.310488741	0.000	176.332	5285.DSG_RAWD_HMS_20_15_ 0__DMY_24_ 8_15.wav	0.1509	0.0732	3	3	1	2		1
21	Spectrogram 1	1	362.471466685	362.692811358	0.000	172.414	5285.DSG_RAWD_HMS_20_15_ 0__DMY_24_ 8_15.wav	0.2213	0.3851	3	2	2	2		1
22	Spectrogram 1	1	363.105317338	363.236111917	0.000	143.025	5285.DSG_RAWD_HMS_20_15_ 0__DMY_24_ 8_15.wav	0.1308	1.0189	3	2	2	2		1
23	Spectrogram 1	1	363.719045748	363.849840328	0.000	137.147	5285.DSG_RAWD_HMS_20_15_ 0__DMY_24_ 8_15.wav	0.1308	1.6326	3	2	2	2		1
24	Spectrogram 1	1	366.737382192	366.837993407	0.000	152.821	5285.DSG_RAWD_HMS_20_15_ 0__DMY_24_ 8_15.wav	0.1006	4.6510	3	2	2	2		2
25	Spectrogram 1	1	368.588624834	368.729480535	0.000	141.066	5285.DSG_RAWD_HMS_20_15_ 0__DMY_24_ 8_15.wav	0.1409	6.5022	3	2	2	2		2
26	Spectrogram 1	1	392.644745967	393.922508395	54.859	154.781	5287.DSG_RAWD_HMS_20_25_ 0__DMY_24_ 8_15.wav	1.2778	9.2591	1	1	1	2		1
27	Spectrogram 1	1	395.653021290	396.377422036	39.185	121.473	5288.DSG_RAWD_HMS_20_30_ 0__DMY_24_ 8_15.wav	0.7244	1.6178	1	2	2	2		1
28	Spectrogram 1	1	425.403732986	425.534527565	0.000	174.373	5290.DSG_RAWD_HMS_20_40_ 0__DMY_24_ 8_15.wav	0.1308	10.0693	3	2	2	2		2
29	Spectrogram 1	1	433.573358466	433.684030802	47.022	166.536	5291.DSG_RAWD_HMS_20_45_ 0__DMY_24_ 8_15.wav	0.1107	7.5894	3	2	2	2		1
30	Spectrogram 1	1	441.612186946	441.732920404	41.144	168.495	5292.DSG_RAWD_HMS_20_50_ 0__DMY_24_ 8_15.wav	0.1207	4.9786	3	3	2	2		1
31	Spectrogram 1	1	448.524171434	448.644904892	39.185	182.210	5293.DSG_RAWD_HMS_20_55_ 0__DMY_24_ 8_15.wav	0.1207	1.2410	3	3	2	2		1
32	Spectrogram 1	1	466.885702649	467.026558350	19.592	160.658	5294.DSG_RAWD_HMS_21_ 0_ 0__DMY_24_ 8_15.wav	0.1409	8.9529	3	2	2	2		2
33	Spectrogram 1	1	516.386380486	516.527236186	0.000	141.066	5299.DSG_RAWD_HMS_21_25_ 0__DMY_24_ 8_15.wav	0.1409	5.2056	3	3	2	2		2
34	Spectrogram 1	1	543.752583357	543.873316814	0.000	156.740	5302.DSG_RAWD_HMS_21_40_ 0__DMY_24_ 8_15.wav	0.1207	0.6230	3	1	2	2		2
35	Spectrogram 1	1	591.281219294	591.401952752	0.000	158.699	5306.DSG_RAWD_HMS_22_ 0_ 0__DMY_24_ 8_15.wav	0.1207	5.5532	3	2	2	2		2
36	Spectrogram 1	1	593.152587890	593.303504712	0.000	150.862	5306.DSG_RAWD_HMS_22_ 0_ 0__DMY_24_ 8_15.wav	0.1509	7.4246	3	1	2	2		2
37	Spectrogram 1	1	594.108394430	594.188883402	0.000	186.129	5306.DSG_RAWD_HMS_22_ 0_ 0__DMY_24_ 8_15.wav	0.0805	8.3804	3	2	2	2		2
38	Spectrogram 1	1	601.020362365	601.120973580	0.000	181.860	5307.DSG_RAWD_HMS_22_ 5_ 0__DMY_24_ 8_15.wav	0.1006	4.6428	3	2	2	2		2
39	Spectrogram 1	1	634.775359396	634.906153975	0.000	178.292	5310.DSG_RAWD_HMS_22_20_ 0__DMY_24_ 8_15.wav	0.1308	6.4490	3	2	2	2		2
40	Spectrogram 1	1	702.899109534	705.484817754	39.185	141.066	5317.DSG_RAWD_HMS_22_55_ 0__DMY_24_ 8_15.wav	2.5857	0.0255	1	2	1	2		2
41	Spectrogram 1	1	731.935481122	732.036092337	0.000	141.066	5319.DSG_RAWD_HMS_23_ 5_ 0__DMY_24_ 8_15.wav	0.1006	7.7627	3	3	2	2		2
42	Spectrogram 1	1	733.967827661	734.058377754	0.000	146.944	5319.DSG_RAWD_HMS_23_ 5_ 0__DMY_24_ 8_15.wav	0.0906	9.7950	3	3	2	2		2
43	Spectrogram 1	1	737.519399510	737.640132968	27.429	121.473	5320.DSG_RAWD_HMS_23_10_ 0__DMY_24_ 8_15.wav	0.1207	2.6970	3	2	2	2		1
44	Spectrogram 1	1	751.916853056	752.087892121	0.000	233.656	5321.DSG_RAWD_HMS_23_15_ 0__DMY_24_ 8_15.wav	0.1710	6.4449	3	1	2	2		2
45	Spectrogram 1	1	780.580966213	780.721821914	0.000	176.332	5324.DSG_RAWD_HMS_23_30_ 0__DMY_24_ 8_15.wav	0.1409	3.1602	3	3	2	2		2
46	Spectrogram 1	1	809.567032677	809.738071742	33.307	121.473	5327.DSG_RAWD_HMS_23_45_ 0__DMY_24_ 8_15.wav	0.1710	0.1974	3	3	2	2		1
47	Spectrogram 1	1	814.336000549	816.589691760	37.226	190.047	5327.DSG_RAWD_HMS_23_45_ 0__DMY_24_ 8_15.wav	2.2537	4.9664	1	1	2	2		1
48	Spectrogram 1	1	817.927820917	818.038493253	0.000	172.414	5327.DSG_RAWD_HMS_23_45_ 0__DMY_24_ 8_15.wav	0.1107	8.5582	3	2	2	2		2
49	Spectrogram 1	1	818.058615496	818.149165589	0.000	129.310	5327.DSG_RAWD_HMS_23_45_ 0__DMY_24_ 8_15.wav	0.0906	8.6890	3	2	2	2		2
50	Spectrogram 1	1	857.548483429	857.689339129	0.000	186.129	5331.DSG_RAWD_HMS_ 0_ 5_ 0__DMY_25_ 8_15.wav	0.1409	5.5805	3	1	2	2		2
51	Spectrogram 1	1	877.962483587	878.109757158	0.000	154.781	5333.DSG_RAWD_HMS_ 0_15_ 0__DMY_25_ 8_15.wav	0.1473	4.6953	3	3	2	2		2
52	Spectrogram 1	1	896.263647588	896.444747775	33.307	129.310	5335.DSG_RAWD_HMS_ 0_25_ 0__DMY_25_ 8_15.wav	0.1811	1.6972	3	3	2	2		1
53	Spectrogram 1	1	913.790108140	913.930963841	0.000	162.618	5336.DSG_RAWD_HMS_ 0_30_ 0__DMY_25_ 8_15.wav	0.1409	8.5741	3	3	2	2		2
54	Spectrogram 1	1	964.679218966	964.820074667	0.000	139.107	5341.DSG_RAWD_HMS_ 0_55_ 0__DMY_25_ 8_15.wav	0.1409	6.2152	3	3	2	2		1
55	Spectrogram 1	1	992.588746239	992.779907547	0.000	199.843	5344.DSG_RAWD_HMS_ 1_10_ 0__DMY_25_ 8_15.wav	0.1912	2.1759	3	3	2	2		1
56	Spectrogram 1	1	1025.891034140	1026.041950962	0.000	205.721	5347.DSG_RAWD_HMS_ 1_25_ 0__DMY_25_ 8_15.wav	0.1509	3.5294	3	2	2	2		2
57	Spectrogram 1	1	1070.823920863	1070.944654320	0.000	166.536	5351.DSG_RAWD_HMS_ 1_45_ 0__DMY_25_ 8_15.wav	0.1207	5.8639	3	2	2	2		2
58	Spectrogram 1	1	1073.952929643	1074.083724222	0.000	148.903	5351.DSG_RAWD_HMS_ 1_45_ 0__DMY_25_ 8_15.wav	0.1308	8.9929	3	1	2	2		2
59	Spectrogram 1	1	1078.641398491	1078.782254192	0.000	246.317	5352.DSG_RAWD_HMS_ 1_50_ 0__DMY_25_ 8_15.wav	0.1409	3.0318	3	1	2	2		2
60	Spectrogram 1	1	1106.651512769	1106.802429591	0.000	178.292	5354.DSG_RAWD_HMS_ 2_ 0_ 0__DMY_25_ 8_15.wav	0.1509	9.7427	3	3	2	2		2
62	Spectrogram 1	1	1171.636179885	1171.756913343	0.000	223.354	5361.DSG_RAWD_HMS_ 2_35_ 0__DMY_25_ 8_15.wav	0.1207	0.1802	3	2	2	2		2
63	Spectrogram 1	1	1256.813479064	1256.994579251	0.000	203.762	5369.DSG_RAWD_HMS_ 3_15_ 0__DMY_25_ 8_15.wav	0.1811	0.1607	3	3	2	2		1
64	Spectrogram 1	1	1294.331336244	1294.462130823	33.307	148.903	5372.DSG_RAWD_HMS_ 3_30_ 0__DMY_25_ 8_15.wav	0.1308	5.7297	3	2	2	2		1
65	Spectrogram 1	1	1337.815432054	1337.926104390	17.633	150.862	5376.DSG_RAWD_HMS_ 3_50_ 0__DMY_25_ 8_15.wav	0.1107	6.6154	3	2	2	1		2
66	Spectrogram 1	1	1335.541618115	1338.036776242	37.226	135.188	5376.DSG_RAWD_HMS_ 3_50_ 0__DMY_25_ 8_15.wav	2.4952	4.3416	1	3	2	1		2
67	Spectrogram 1	1	1345.421625209	1345.562480910	0.000	172.414	5377.DSG_RAWD_HMS_ 3_55_ 0__DMY_25_ 8_15.wav	0.1409	3.5720	3	3	2	2		2
68	Spectrogram 1	1	1447.159604311	1447.350765619	31.348	133.229	5386.DSG_RAWD_HMS_ 4_40_ 0__DMY_25_ 8_15.wav	0.1912	9.0540	3	3	2	2		1
69	Spectrogram 1	1	1614.475919664	1614.646958729	0.000	188.088	5402.DSG_RAWD_HMS_ 6_ 0_ 0__DMY_25_ 8_15.wav	0.1710	5.9767	3	2	2	2		2
70	Spectrogram 1	1	1767.294172675	1767.445089497	0.000	217.476	5416.DSG_RAWD_HMS_ 7_10_ 0__DMY_25_ 8_15.wav	0.1509	9.7006	3	1	2	2		2
71	Spectrogram 1	1	1872.845311656	1872.996228478	0.000	193.966	5426.DSG_RAWD_HMS_ 8_ 0_ 0__DMY_25_ 8_15.wav	0.1509	8.7557	3	2	2	2		2
72	Spectrogram 1	1	1874.203563056	1874.394724364	0.000	166.536	5426.DSG_RAWD_HMS_ 8_ 0_ 0__DMY_25_ 8_15.wav	0.1912	10.1140	3	2	2	2		2
73	Spectrogram 1	1	1930.183595705	1930.384818135	0.000	164.577	5432.DSG_RAWD_HMS_ 8_30_ 0__DMY_25_ 8_15.wav	0.2012	2.1964	3	2	2	2		2
74	Spectrogram 1	1	1952.277802828	1952.519269743	0.000	215.517	5434.DSG_RAWD_HMS_ 8_40_ 0__DMY_25_ 8_15.wav	0.2415	2.9914	3	1	2	2		2
75	Spectrogram 1	1	1976.796736355	1977.088508878	33.307	152.821	5436.DSG_RAWD_HMS_ 8_50_ 0__DMY_25_ 8_15.wav	0.2918	6.2111	3	2	2	2		1
76	Spectrogram 1	1	1989.564287899	1991.727429017	37.226	162.618	5437.DSG_RAWD_HMS_ 8_55_ 0__DMY_25_ 8_15.wav	2.1631	8.3291	1	2	1	2		1
77	Spectrogram 1	1	2006.809037049	2006.990137235	0.000	209.639	5439.DSG_RAWD_HMS_ 9_ 5_ 0__DMY_25_ 8_15.wav	0.1811	4.2746	3	1	2	2		2
78	Spectrogram 1	1	2092.026603975	2092.177520797	0.000	139.107	5447.DSG_RAWD_HMS_ 9_45_ 0__DMY_25_ 8_15.wav	0.1509	4.2954	3	2	2	2		2
79	Spectrogram 1	1	2098.687047008	2098.848024952	0.000	152.821	5448.DSG_RAWD_HMS_ 9_50_ 0__DMY_25_ 8_15.wav	0.1610	0.3062	3	2	2	2		2
80	Spectrogram 1	1	2100.667250691	2102.767275457	41.144	101.289	5448.DSG_RAWD_HMS_ 9_50_ 0__DMY_25_ 8_15.wav	2.1000	2.2865	1	2	2	2		2
81	Spectrogram 1	1	2202.386791573	2203.252048021	35.266	99.922	5457.DSG_RAWD_HMS_10_35_ 0__DMY_25_ 8_15.wav	0.8653	8.1596	1	2	2	2		1
82	Spectrogram 1	1	2203.493514936	2203.594126151	0.000	173.393	5457.DSG_RAWD_HMS_10_35_ 0__DMY_25_ 8_15.wav	0.1006	9.2663	3	2	2	2		2
83	Spectrogram 1	1	2279.937746855	2280.048419191	0.000	152.821	5465.DSG_RAWD_HMS_11_15_ 0__DMY_25_ 8_15.wav	0.1107	0.1041	3	3	2	2		2
84	Spectrogram 1	1	2397.079113157	2398.055041940	47.022	133.229	5476.DSG_RAWD_HMS_12_10_ 0__DMY_25_ 8_15.wav	0.9759	0.0999	1	2	1	2		1
85	Spectrogram 1	1	2564.717149046	2565.914422502	41.144	127.351	5491.DSG_RAWD_HMS_13_25_ 0__DMY_25_ 8_15.wav	1.1973	7.9939	1	3	2	2		1
86	Spectrogram 1	1	2570.572710244	2570.733688188	0.000	221.395	5492.DSG_RAWD_HMS_13_30_ 0__DMY_25_ 8_15.wav	0.1610	3.1999	3	2	2	2		2
87	Spectrogram 1	1	2601.792297399	2602.023703193	0.000	248.824	5495.DSG_RAWD_HMS_13_45_ 0__DMY_25_ 8_15.wav	0.2314	2.4707	3	1	2	2		2
88	Spectrogram 1	1	2617.854837481	2618.005754303	0.000	160.658	5496.DSG_RAWD_HMS_13_50_ 0__DMY_25_ 8_15.wav	0.1509	7.8836	3	2	2	2		2
89	Spectrogram 1	1	2622.664043774	2622.825021718	0.000	225.313	5497.DSG_RAWD_HMS_13_55_ 0__DMY_25_ 8_15.wav	0.1610	2.0432	3	2	2	2		2
90	Spectrogram 1	1	2636.155981331	2636.316959274	0.000	182.210	5498.DSG_RAWD_HMS_14_ 0_ 0__DMY_25_ 8_15.wav	0.1610	4.8856	3	3	2	2		
