Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes	false positive
1	Spectrogram 1	1	187.447631150	190.899530518	0.000	152.055	7518.DSG_RAWD_HMS_ 7_35_ 0__DMY_ 6_10_15.wav	3.4519	6.4044	2	2	2	2		2
2	Spectrogram 1	1	244.952878203	248.104043914	0.000	144.715	7524.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 6_10_15.wav	3.1512	0.0121	2	2	1	2		2
3	Spectrogram 1	1	415.585669122	415.690272133	0.000	155.201	7540.DSG_RAWD_HMS_ 9_25_ 0__DMY_ 6_10_15.wav	0.1046	0.2513	3	1	2	2		2
4	Spectrogram 1	1	479.242830845	488.742091795	29.362	170.931	7546.DSG_RAWD_HMS_ 9_55_ 0__DMY_ 6_10_15.wav	9.4993	0.0108	1	2	1	2		2
5	Spectrogram 1	1	495.443157760	500.516403801	0.000	148.909	7547.DSG_RAWD_HMS_10_ 0_ 0__DMY_ 6_10_15.wav	5.0732	5.5616	2	2	1	2		2
6	Spectrogram 1	1	521.842215575	523.077838644	36.703	187.710	7550.DSG_RAWD_HMS_10_15_ 0__DMY_ 6_10_15.wav	1.2356	0.0118	1	2	1	2		2
7	Spectrogram 1	1	582.027862474	583.119656403	38.800	141.569	7555.DSG_RAWD_HMS_10_40_ 0__DMY_ 6_10_15.wav	1.0918	6.5399	1	2	2	2		2
8	Spectrogram 1	1	631.184464639	637.676389018	0.000	190.856	7560.DSG_RAWD_HMS_11_ 5_ 0__DMY_ 6_10_15.wav	6.4919	2.4485	2	2	2	2		2
9	Spectrogram 1	1	644.828560017	644.965851470	0.000	179.320	7561.DSG_RAWD_HMS_11_10_ 0__DMY_ 6_10_15.wav	0.1373	5.4430	3	1	2	2		2
10	Spectrogram 1	1	706.870917608	709.492530575	32.508	163.591	7567.DSG_RAWD_HMS_11_40_ 0__DMY_ 6_10_15.wav	2.6216	3.5877	1	2	2	2		2
11	Spectrogram 1	1	735.231267942	739.127730107	28.314	192.953	7569.DSG_RAWD_HMS_11_50_ 0__DMY_ 6_10_15.wav	3.8965	10.6489	1	2	1	2		2
12	Spectrogram 1	1	763.951209703	766.017119174	36.703	124.790	7572.DSG_RAWD_HMS_12_ 5_ 0__DMY_ 6_10_15.wav	2.0659	7.4200	1	2	2	2		2
13	Spectrogram 1	1	778.687092141	782.746996511	1.049	181.418	7574.DSG_RAWD_HMS_12_15_ 0__DMY_ 6_10_15.wav	4.0599	0.8567	2	2	2	2		2
14	Spectrogram 1	1	790.631399714	790.781766542	0.000	190.856	7575.DSG_RAWD_HMS_12_20_ 0__DMY_ 6_10_15.wav	0.1504	2.1514	3	1	2	2		2
15	Spectrogram 1	1	794.567066529	798.117031220	42.995	192.953	7575.DSG_RAWD_HMS_12_20_ 0__DMY_ 6_10_15.wav	3.5500	6.0871	1	2	2	2		2
16	Spectrogram 1	1	804.909642816	805.040396580	0.000	142.617	7576.DSG_RAWD_HMS_12_25_ 0__DMY_ 6_10_15.wav	0.1308	5.7800	3	2	2	2		2
17	Spectrogram 1	1	816.121726408	820.416987554	0.000	184.564	7577.DSG_RAWD_HMS_12_30_ 0__DMY_ 6_10_15.wav	4.2953	6.3425	2	2	1	2		2
18	Spectrogram 1	1	831.073359522	833.126193616	0.000	178.272	7578.DSG_RAWD_HMS_12_35_ 0__DMY_ 6_10_15.wav	2.0528	10.6446	2	2	1	2		1
19	Spectrogram 1	1	888.356319371	892.193942343	0.000	159.396	7584.DSG_RAWD_HMS_13_ 5_ 0__DMY_ 6_10_15.wav	3.8376	4.0299	2	2	2	2		2
20	Spectrogram 1	1	902.588809686	905.504618622	32.508	159.396	7585.DSG_RAWD_HMS_13_10_ 0__DMY_ 6_10_15.wav	2.9158	7.6128	1	3	2	2		2
21	Spectrogram 1	1	905.628834698	906.766392444	33.557	186.661	7586.DSG_RAWD_HMS_13_15_ 0__DMY_ 6_10_15.wav	1.1376	0.0032	1	2	1	2		2
22	Spectrogram 1	1	954.203627538	959.270335891	32.508	171.980	7590.DSG_RAWD_HMS_13_35_ 0__DMY_ 6_10_15.wav	5.0667	5.5700	1	2	1	2		2
23	Spectrogram 1	1	968.678005931	969.926704376	32.508	152.055	7591.DSG_RAWD_HMS_13_40_ 0__DMY_ 6_10_15.wav	1.2487	9.3948	1	2	1	2		2
24	Spectrogram 1	1	969.926704376	974.424633856	0.000	166.737	7591.DSG_RAWD_HMS_13_40_ 0__DMY_ 6_10_15.wav	4.4979	10.6435	2	2	1	2		2
25	Spectrogram 1	1	989.219327042	991.232935006	27.265	152.055	7593.DSG_RAWD_HMS_13_50_ 0__DMY_ 6_10_15.wav	2.0136	8.6369	1	2	1	2		2
26	Spectrogram 1	1	1052.078904376	1054.514193230	0.000	158.347	7599.DSG_RAWD_HMS_14_20_ 0__DMY_ 6_10_15.wav	2.4353	7.5989	2	2	2	2		2
27	Spectrogram 1	1	1065.788357722	1069.933252039	0.000	155.201	7601.DSG_RAWD_HMS_14_30_ 0__DMY_ 6_10_15.wav	4.1449	0.0092	2	2	1	2		2
28	Spectrogram 1	1	1123.950587392	1129.674333408	0.000	164.639	7606.DSG_RAWD_HMS_14_55_ 0__DMY_ 6_10_15.wav	5.7237	4.9234	2	2	1	2		2
29	Spectrogram 1	1	1202.229178790	1204.216636001	0.000	146.812	7613.DSG_RAWD_HMS_15_30_ 0__DMY_ 6_10_15.wav	1.9875	8.6548	2	2	1	2		2
30	Spectrogram 1	1	1214.886078026	1219.436309011	0.000	147.861	7615.DSG_RAWD_HMS_15_40_ 0__DMY_ 6_10_15.wav	4.5502	0.0125	2	2	1	2		2
31	Spectrogram 1	1	1233.753741563	1236.166148508	32.508	126.888	7616.DSG_RAWD_HMS_15_45_ 0__DMY_ 6_10_15.wav	2.4124	8.2305	1	2	1	2		2
