Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	46.700	181.105	2001.DSG_RAWD_HMS_ 0_50_ 0__DMY_ 3_ 2_16.wav	5.5902	0.0718	7	3	2	2	
2	Spectrogram 1	1	33.032	184.522	2003.DSG_RAWD_HMS_ 1_ 0_ 0__DMY_ 3_ 2_16.wav	3.6630	1.1454	7	3	2	2	
3	Spectrogram 1	1	35.310	179.966	2003.DSG_RAWD_HMS_ 1_ 0_ 0__DMY_ 3_ 2_16.wav	3.6510	4.9999	7	3	2	2	
4	Spectrogram 1	1	39.866	186.800	2004.DSG_RAWD_HMS_ 1_ 5_ 0__DMY_ 3_ 2_16.wav	2.5976	1.9515	7	3	2	2	
5	Spectrogram 1	1	46.700	179.966	2004.DSG_RAWD_HMS_ 1_ 5_ 0__DMY_ 3_ 2_16.wav	1.8075	6.7995	7	3	2	2	
6	Spectrogram 1	1	36.449	168.576	2005.DSG_RAWD_HMS_ 1_10_ 0__DMY_ 3_ 2_16.wav	3.1602	4.5292	7	3	2	2	
7	Spectrogram 1	1	27.337	153.768	2006.DSG_RAWD_HMS_ 1_15_ 0__DMY_ 3_ 2_16.wav	7.6731	0.4514	7	3	2	2	
8	Spectrogram 1	1	33.032	148.073	2006.DSG_RAWD_HMS_ 1_15_ 0__DMY_ 3_ 2_16.wav	2.3223	8.2681	7	3	1	2	
9	Spectrogram 1	1	37.588	146.934	2007.DSG_RAWD_HMS_ 1_20_ 0__DMY_ 3_ 2_16.wav	6.2725	0.3238	7	3	2	2	
10	Spectrogram 1	1	42.144	146.934	2007.DSG_RAWD_HMS_ 1_20_ 0__DMY_ 3_ 2_16.wav	1.7716	6.8836	7	3	2	2	
11	Spectrogram 1	1	39.866	141.239	2007.DSG_RAWD_HMS_ 1_20_ 0__DMY_ 3_ 2_16.wav	1.7597	8.8348	7	3	1	2	
12	Spectrogram 1	1	31.893	173.132	2008.DSG_RAWD_HMS_ 1_25_ 0__DMY_ 3_ 2_16.wav	6.7035	1.4890	7	3	2	2	
13	Spectrogram 1	1	35.310	168.576	2008.DSG_RAWD_HMS_ 1_25_ 0__DMY_ 3_ 2_16.wav	2.2504	8.3481	7	3	1	2	
14	Spectrogram 1	1	38.727	166.298	2009.DSG_RAWD_HMS_ 1_30_ 0__DMY_ 3_ 2_16.wav	1.3168	0.1165	7	3	1	2	
15	Spectrogram 1	1	38.727	173.132	2009.DSG_RAWD_HMS_ 1_30_ 0__DMY_ 3_ 2_16.wav	7.0506	3.5520	7	3	1	2	
16	Spectrogram 1	1	41.005	169.715	2010.DSG_RAWD_HMS_ 1_35_ 0__DMY_ 3_ 2_16.wav	1.5322	0.0967	7	3	1	2	
