Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	calls overlap	call cutoff @ end	Notes
1	Waveform 1	1	32.679	152.501	0751.DSG_RAWD_HMS_21_25_ 0__DMY_13_ 5_16.wav	0.9733	9.6470	1	2	2	1	
1	Spectrogram 1	1	32.679	152.501	0751.DSG_RAWD_HMS_21_25_ 0__DMY_13_ 5_16.wav	0.9733	9.6470	1	2	2	1	
3	Waveform 1	1	28.010	194.517	0755.DSG_RAWD_HMS_21_45_ 0__DMY_13_ 5_16.wav	3.4652	5.5299	1	2	2	2	
3	Spectrogram 1	1	28.010	194.517	0755.DSG_RAWD_HMS_21_45_ 0__DMY_13_ 5_16.wav	3.4652	5.5299	1	2	2	2	
4	Waveform 1	1	37.347	188.292	0756.DSG_RAWD_HMS_21_50_ 0__DMY_13_ 5_16.wav	4.5027	0.3134	1	2	2	2	
4	Spectrogram 1	1	37.347	188.292	0756.DSG_RAWD_HMS_21_50_ 0__DMY_13_ 5_16.wav	4.5027	0.3134	1	2	2	2	
5	Waveform 1	1	28.010	161.838	0762.DSG_RAWD_HMS_22_20_ 0__DMY_13_ 5_16.wav	1.9251	4.6510	1	2	1	2	
5	Spectrogram 1	1	28.010	161.838	0762.DSG_RAWD_HMS_22_20_ 0__DMY_13_ 5_16.wav	1.9251	4.6510	1	2	1	2	
6	Waveform 1	1	54.465	133.827	0762.DSG_RAWD_HMS_22_20_ 0__DMY_13_ 5_16.wav	2.7914	6.2232	1	3	1	2	
6	Spectrogram 1	1	54.465	133.827	0762.DSG_RAWD_HMS_22_20_ 0__DMY_13_ 5_16.wav	2.7914	6.2232	1	3	1	2	
7	Waveform 1	1	18.674	157.169	0763.DSG_RAWD_HMS_22_25_ 0__DMY_13_ 5_16.wav	2.5775	2.7501	1	2	2	2	
7	Spectrogram 1	1	18.674	157.169	0763.DSG_RAWD_HMS_22_25_ 0__DMY_13_ 5_16.wav	2.5775	2.7501	1	2	2	2	
8	Waveform 1	1	32.679	157.169	0766.DSG_RAWD_HMS_22_40_ 0__DMY_13_ 5_16.wav	1.9786	6.9509	1	3	2	2	
8	Spectrogram 1	1	32.679	157.169	0766.DSG_RAWD_HMS_22_40_ 0__DMY_13_ 5_16.wav	1.9786	6.9509	1	3	2	2	
9	Waveform 1	1	30.810	180.458	0778.DSG_RAWD_HMS_23_40_ 0__DMY_13_ 5_16.wav	5.0374	0.0276	1	3	2	1	
9	Spectrogram 1	1	30.810	180.458	0778.DSG_RAWD_HMS_23_40_ 0__DMY_13_ 5_16.wav	5.0374	0.0276	1	3	2	1	
10	Waveform 1	1	0.000	145.246	0778.DSG_RAWD_HMS_23_40_ 0__DMY_13_ 5_16.wav	0.1390	8.5568	3	3	2	2	
10	Spectrogram 1	1	0.000	145.246	0778.DSG_RAWD_HMS_23_40_ 0__DMY_13_ 5_16.wav	0.1390	8.5568	3	3	2	2	
11	Waveform 1	1	35.211	160.651	0784.DSG_RAWD_HMS_ 0_10_ 0__DMY_14_ 5_16.wav	2.6738	3.0335	1	2	2	2	
11	Spectrogram 1	1	35.211	160.651	0784.DSG_RAWD_HMS_ 0_10_ 0__DMY_14_ 5_16.wav	2.6738	3.0335	1	2	2	2	
12	Waveform 1	1	0.000	237.676	0803.DSG_RAWD_HMS_ 1_45_ 0__DMY_14_ 5_16.wav	0.1176	0.8994	3	3	2	2	
12	Spectrogram 1	1	0.000	237.676	0803.DSG_RAWD_HMS_ 1_45_ 0__DMY_14_ 5_16.wav	0.1176	0.8994	3	3	2	2	
13	Waveform 1	1	0.000	204.665	0864.DSG_RAWD_HMS_ 6_50_ 0__DMY_14_ 5_16.wav	0.1604	2.8851	3	3	2	2	
13	Spectrogram 1	1	0.000	204.665	0864.DSG_RAWD_HMS_ 6_50_ 0__DMY_14_ 5_16.wav	0.1604	2.8851	3	3	2	2	
