Selection	View	Channel	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	calls overlap	call cutoff @ end	Notes
1	Waveform 1	1	115.0801775	26.454	188.292	0260.DSG_RAWD_HMS_15_ 0_ 0__DMY_20_ 7_16.wav	8.5869	10.6469	1	1	2	1	
1	Spectrogram 1	1	115.0801775	26.454	188.292	0260.DSG_RAWD_HMS_15_ 0_ 0__DMY_20_ 7_16.wav	8.5869	10.6469	1	1	2	1	
2	Waveform 1	1	125.4529126	0	208.522	0262.DSG_RAWD_HMS_15_10_ 0__DMY_20_ 7_16.wav	0.2994	8.0079	3	1	2	2	
2	Spectrogram 1	1	125.4529126	0	208.522	0262.DSG_RAWD_HMS_15_10_ 0__DMY_20_ 7_16.wav	0.2994	8.0079	3	1	2	2	
3	Waveform 1	1	132.9490724	20.23	199.185	0263.DSG_RAWD_HMS_15_15_ 0__DMY_20_ 7_16.wav	2.2777	2.8762	1	2	2	2	
3	Spectrogram 1	1	132.9490724	20.23	199.185	0263.DSG_RAWD_HMS_15_15_ 0__DMY_20_ 7_16.wav	2.2777	2.8762	1	2	2	2	
4	Waveform 1	1	135.0663903	1.556	186.736	0263.DSG_RAWD_HMS_15_15_ 0__DMY_20_ 7_16.wav	0.1818	7.0894	3	1	2	2	
4	Spectrogram 1	1	135.0663903	1.556	186.736	0263.DSG_RAWD_HMS_15_15_ 0__DMY_20_ 7_16.wav	0.1818	7.0894	3	1	2	2	
5	Waveform 1	1	140.5735568	0	203.853	0264.DSG_RAWD_HMS_15_20_ 0__DMY_20_ 7_16.wav	0.2032	1.9256	3	2	2	2	
5	Spectrogram 1	1	140.5735568	0	203.853	0264.DSG_RAWD_HMS_15_20_ 0__DMY_20_ 7_16.wav	0.2032	1.9256	3	2	2	2	
6	Waveform 1	1	146.1876595	0	222.527	0264.DSG_RAWD_HMS_15_20_ 0__DMY_20_ 7_16.wav	0.2139	7.529	3	1	2	2	
6	Spectrogram 1	1	146.1876595	0	222.527	0264.DSG_RAWD_HMS_15_20_ 0__DMY_20_ 7_16.wav	0.2139	7.529	3	1	2	2	
7	Waveform 1	1	165.5398572	28.01	161.838	0266.DSG_RAWD_HMS_15_30_ 0__DMY_20_ 7_16.wav	5.443	0.3529	1	2	2	2	
7	Spectrogram 1	1	165.5398572	28.01	161.838	0266.DSG_RAWD_HMS_15_30_ 0__DMY_20_ 7_16.wav	5.443	0.3529	1	2	2	2	
8	Waveform 1	1	176.7466753	0	160.282	0267.DSG_RAWD_HMS_15_35_ 0__DMY_20_ 7_16.wav	0.1925	6.1606	3	2	2	2	
8	Spectrogram 1	1	176.7466753	0	160.282	0267.DSG_RAWD_HMS_15_35_ 0__DMY_20_ 7_16.wav	0.1925	6.1606	3	2	2	2	
9	Waveform 1	1	175.8484192	12.449	297.221	0267.DSG_RAWD_HMS_15_35_ 0__DMY_20_ 7_16.wav	3.2401	2.2147	2	2	2	2	
9	Spectrogram 1	1	175.8484192	12.449	297.221	0267.DSG_RAWD_HMS_15_35_ 0__DMY_20_ 7_16.wav	3.2401	2.2147	2	2	2	2	
10	Waveform 1	1	201.9833943	0	177.399	0269.DSG_RAWD_HMS_15_45_ 0__DMY_20_ 7_16.wav	0.2139	10.0767	3	2	2	2	
10	Spectrogram 1	1	201.9833943	0	177.399	0269.DSG_RAWD_HMS_15_45_ 0__DMY_20_ 7_16.wav	0.2139	10.0767	3	2	2	2	
11	Waveform 1	1	244.3297533	32.679	158.726	0273.DSG_RAWD_HMS_16_ 5_ 0__DMY_20_ 7_16.wav	3.9994	6.0392	1	2	2	2	
11	Spectrogram 1	1	244.3297533	32.679	158.726	0273.DSG_RAWD_HMS_16_ 5_ 0__DMY_20_ 7_16.wav	3.9994	6.0392	1	2	2	2	
12	Waveform 1	1	287.0680603	0	185.18	0277.DSG_RAWD_HMS_16_25_ 0__DMY_20_ 7_16.wav	0.139	10.0394	3	3	2	2	
12	Spectrogram 1	1	287.0680603	0	185.18	0277.DSG_RAWD_HMS_16_25_ 0__DMY_20_ 7_16.wav	0.139	10.0394	3	3	2	2	
13	Waveform 1	1	300.7449716	40.459	182.068	0279.DSG_RAWD_HMS_16_35_ 0__DMY_20_ 7_16.wav	2.3953	0.1608	1	3	2	2	
13	Spectrogram 1	1	300.7449716	40.459	182.068	0279.DSG_RAWD_HMS_16_35_ 0__DMY_20_ 7_16.wav	2.3953	0.1608	1	3	2	2	
14	Waveform 1	1	383.3838828	37.347	135.384	0286.DSG_RAWD_HMS_17_10_ 0__DMY_20_ 7_16.wav	3.6572	6.9907	1	2	2	1	
