Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
3	Waveform 1	1	42.0	141.6	0511.DSG_RAWD_HMS_11_55_ 0__DMY_21_ 7_16.wav	3.5278	7.1029	1	2	1	2	
3	Spectrogram 1	1	42.0	141.6	0511.DSG_RAWD_HMS_11_55_ 0__DMY_21_ 7_16.wav	3.5278	7.1029	1	2	1	2	
4	Waveform 1	1	38.9	175.8	0514.DSG_RAWD_HMS_12_10_ 0__DMY_21_ 7_16.wav	2.9077	10.6457	1	2	1	2	
4	Spectrogram 1	1	38.9	175.8	0514.DSG_RAWD_HMS_12_10_ 0__DMY_21_ 7_16.wav	2.9077	10.6457	1	2	1	2	
6	Waveform 1	1	34.2	126.0	0525.DSG_RAWD_HMS_13_ 5_ 0__DMY_21_ 7_16.wav	2.8222	7.7882	1	3	1	2	
6	Spectrogram 1	1	34.2	126.0	0525.DSG_RAWD_HMS_13_ 5_ 0__DMY_21_ 7_16.wav	2.8222	7.7882	1	3	1	2	
14	Waveform 1	1	28.0	127.6	0573.DSG_RAWD_HMS_17_ 5_ 0__DMY_21_ 7_16.wav	2.2770	8.3450	1	2	1	2	
14	Spectrogram 1	1	28.0	127.6	0573.DSG_RAWD_HMS_17_ 5_ 0__DMY_21_ 7_16.wav	2.2770	8.3450	1	2	1	2	
21	Waveform 1	1	20.2	295.7	0605.DSG_RAWD_HMS_19_45_ 0__DMY_21_ 7_16.wav	5.9652	0.0027	1	1	1	2	Best cutoff type 1
21	Spectrogram 1	1	20.2	295.7	0605.DSG_RAWD_HMS_19_45_ 0__DMY_21_ 7_16.wav	5.9652	0.0027	1	1	1	2	Best cutoff type 1
22	Waveform 1	1	38.9	165.0	0612.DSG_RAWD_HMS_20_20_ 0__DMY_21_ 7_16.wav	2.7902	0.0140	1	3	1	2	
22	Spectrogram 1	1	38.9	165.0	0612.DSG_RAWD_HMS_20_20_ 0__DMY_21_ 7_16.wav	2.7902	0.0140	1	3	1	2	
25	Waveform 1	1	35.8	161.8	0624.DSG_RAWD_HMS_21_20_ 0__DMY_21_ 7_16.wav	4.2975	6.3293	1	3	1	2	
25	Spectrogram 1	1	35.8	161.8	0624.DSG_RAWD_HMS_21_20_ 0__DMY_21_ 7_16.wav	4.2975	6.3293	1	3	1	2	
26	Waveform 1	1	43.6	133.8	0626.DSG_RAWD_HMS_21_30_ 0__DMY_21_ 7_16.wav	5.5696	0.0364	1	3	1	2	
26	Spectrogram 1	1	43.6	133.8	0626.DSG_RAWD_HMS_21_30_ 0__DMY_21_ 7_16.wav	5.5696	0.0364	1	3	1	2	
32	Waveform 1	1	23.3	182.1	0631.DSG_RAWD_HMS_21_55_ 0__DMY_21_ 7_16.wav	4.1692	0.0173	2	2	1	2	
32	Spectrogram 1	1	23.3	182.1	0631.DSG_RAWD_HMS_21_55_ 0__DMY_21_ 7_16.wav	4.1692	0.0173	2	2	1	2	
34	Waveform 1	1	40.5	135.4	0643.DSG_RAWD_HMS_22_55_ 0__DMY_21_ 7_16.wav	6.9700	0.0469	2	3	1	2	
34	Spectrogram 1	1	40.5	135.4	0643.DSG_RAWD_HMS_22_55_ 0__DMY_21_ 7_16.wav	6.9700	0.0469	2	3	1	2	
