Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.190326112	0.397954599	0.000	187.258	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2076	0.1903	26	3	2	2	
2	Spectrogram 1	1	0.527722403	0.718048515	0.000	177.191	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.1903	0.5277	26	3	2	2	
3	Spectrogram 1	1	0.951630562	1.159259048	0.000	175.177	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2076	0.9516	26	3	2	2	
4	Spectrogram 1	1	1.289026852	1.462050591	0.000	173.164	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.1730	1.2890	26	3	2	2	
5	Spectrogram 1	1	1.591818395	1.782144507	0.000	177.191	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.1903	1.5918	26	3	2	2	
6	Spectrogram 1	1	1.885958750	2.058982489	0.000	169.137	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.1730	1.8860	26	3	2	2	
7	Spectrogram 1	1	2.171447919	2.344471658	0.000	169.137	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.1730	2.1714	26	3	2	2	
8	Spectrogram 1	1	2.482890648	2.690519135	0.000	165.110	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2076	2.4829	26	3	2	2	
9	Spectrogram 1	1	2.802984565	3.036566612	0.000	171.150	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2336	2.8030	26	3	2	2	
10	Spectrogram 1	1	3.226892724	3.399916463	0.000	169.137	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.1730	3.2269	26	3	2	2	
11	Spectrogram 1	1	3.581591388	3.797871062	0.000	167.123	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2163	3.5816	26	3	2	2	
12	Spectrogram 1	1	3.953592426	4.204476847	0.000	181.218	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2509	3.9536	26	3	2	2	
13	Spectrogram 1	1	4.394802960	4.611082633	0.000	177.191	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2163	4.3948	26	3	2	2	
14	Spectrogram 1	1	4.818711119	5.052293166	0.000	179.204	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2336	4.8187	26	3	2	2	
15	Spectrogram 1	1	5.424294204	5.666527438	0.000	193.299	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2422	5.4243	26	3	2	2	
16	Spectrogram 1	1	5.891458298	6.125040345	0.000	193.299	0251.DSG_DECD_HMS_22_ 0_ 0__DMY_18_ 9_19.wav	0.2336	5.8915	26	3	2	2	
