Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	399.355019353	399.559378775	0.000	282.430	2831.DSG_DECD_HMS_21_ 0_ 0__DMY_27_ 9_19.wav	0.2044	7.1221	25	1	2	2	
2	Spectrogram 1	1	411.729325502	411.947778677	0.000	266.974	2832.DSG_DECD_HMS_21_ 5_ 0__DMY_27_ 9_19.wav	0.2185	8.6010	25	1	2	2	
3	Spectrogram 1	1	411.968919307	412.109856840	0.000	268.379	2832.DSG_DECD_HMS_21_ 5_ 0__DMY_27_ 9_19.wav	0.1409	8.8406	25	1	2	2	
4	Spectrogram 1	1	463.065781038	463.171484187	0.000	288.639	2837.DSG_DECD_HMS_21_30_ 0__DMY_27_ 9_19.wav	0.1057	5.4607	25	1	2	2	
5	Spectrogram 1	1	470.028088763	470.105604406	0.000	334.821	2838.DSG_DECD_HMS_21_35_ 0__DMY_27_ 9_19.wav	0.0775	1.5276	25	1	2	2	
6	Spectrogram 1	1	491.309639439	491.450576971	1.924	519.550	2840.DSG_DECD_HMS_21_45_ 0__DMY_27_ 9_19.wav	0.1409	1.0184	25	1	2	2	
7	Spectrogram 1	1	588.753740218	588.845349614	0.000	309.806	2849.DSG_DECD_HMS_22_30_ 0__DMY_27_ 9_19.wav	0.0916	0.4043	25	1	2	2	
8	Spectrogram 1	1	617.455631115	617.617709277	0.000	450.277	2851.DSG_DECD_HMS_22_40_ 0__DMY_27_ 9_19.wav	0.1621	7.3155	25	1	2	2	
9	Spectrogram 1	1	631.940463179	632.067306959	0.000	388.701	2853.DSG_DECD_HMS_22_50_ 0__DMY_27_ 9_19.wav	0.1268	0.0096	25	1	2	2	
10	Spectrogram 1	1	634.843776348	634.977667003	0.000	381.004	2853.DSG_DECD_HMS_22_50_ 0__DMY_27_ 9_19.wav	0.1339	2.9129	25	1	2	2	
