Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	23.488988388	24.615651658	0.000	377.088	3085.DSG_DECD_HMS_18_10_ 0__DMY_28_ 9_19.wav	1.1267	1.6983	27	1	2	2	
2	Spectrogram 1	1	78.007590466	78.197029423	0.000	390.625	3090.DSG_DECD_HMS_18_35_ 0__DMY_28_ 9_19.wav	0.1894	1.7401	25	1	2	2	
3	Spectrogram 1	1	91.657185125	91.836653610	0.000	477.645	3091.DSG_DECD_HMS_18_40_ 0__DMY_28_ 9_19.wav	0.1795	4.4943	25	1	2	2	
4	Spectrogram 1	1	262.062753673	262.232251687	0.000	467.976	3107.DSG_DECD_HMS_20_ 0_ 0__DMY_28_ 9_19.wav	0.1695	0.5741	25	1	2	2	
5	Spectrogram 1	1	360.371704710	360.620966496	0.000	322.942	3116.DSG_DECD_HMS_20_45_ 0__DMY_28_ 9_19.wav	0.2493	0.8248	25	1	2	2	
6	Spectrogram 1	1	361.239135724	361.428574681	0.000	309.406	3116.DSG_DECD_HMS_20_45_ 0__DMY_28_ 9_19.wav	0.1894	1.6923	25	1	2	2	
7	Spectrogram 1	1	394.211521502	394.440842345	0.000	471.844	3119.DSG_DECD_HMS_21_ 0_ 0__DMY_28_ 9_19.wav	0.2293	1.9786	25	1	2	2	
8	Spectrogram 1	1	496.767967163	496.937465178	0.000	363.552	3128.DSG_DECD_HMS_21_45_ 0__DMY_28_ 9_19.wav	0.1695	6.4768	25	1	2	2	
9	Spectrogram 1	1	547.248541013	547.408068556	0.000	379.022	3133.DSG_DECD_HMS_22_10_ 0__DMY_28_ 9_19.wav	0.1595	2.4805	25	1	2	2	
10	Spectrogram 1	1	685.977885198	686.137412741	0.000	357.751	3145.DSG_DECD_HMS_23_10_ 0__DMY_28_ 9_19.wav	0.1595	10.4656	25	1	2	2	
11	Spectrogram 1	1	693.828951871	693.998449885	0.000	295.869	3146.DSG_DECD_HMS_23_15_ 0__DMY_28_ 9_19.wav	0.1695	7.4213	25	1	2	2	
12	Spectrogram 1	1	752.505258515	752.734579358	0.000	346.148	3152.DSG_DECD_HMS_23_45_ 0__DMY_28_ 9_19.wav	0.2293	0.7254	25	1	2	2	
13	Spectrogram 1	1	752.824313601	752.963900201	0.000	293.936	3152.DSG_DECD_HMS_23_45_ 0__DMY_28_ 9_19.wav	0.1396	1.0445	25	1	2	2	
14	Spectrogram 1	1	753.671803671	753.861242628	0.000	297.803	3152.DSG_DECD_HMS_23_45_ 0__DMY_28_ 9_19.wav	0.1894	1.8920	25	1	2	2	
15	Spectrogram 1	1	754.050681585	754.349795728	0.000	297.803	3152.DSG_DECD_HMS_23_45_ 0__DMY_28_ 9_19.wav	0.2991	2.2708	25	1	2	2	
16	Spectrogram 1	1	759.713920749	759.993093949	0.000	332.611	3152.DSG_DECD_HMS_23_45_ 0__DMY_28_ 9_19.wav	0.2792	7.9341	25	1	2	2	
17	Spectrogram 1	1	761.069904862	761.349078062	0.000	355.817	3152.DSG_DECD_HMS_23_45_ 0__DMY_28_ 9_19.wav	0.2792	9.2901	25	1	2	2	
18	Spectrogram 1	1	762.884530660	763.054028674	0.000	332.611	3153.DSG_DECD_HMS_23_50_ 0__DMY_28_ 9_19.wav	0.1695	0.2093	25	1	2	2	
19	Spectrogram 1	1	763.592434131	763.761932145	0.000	375.155	3153.DSG_DECD_HMS_23_50_ 0__DMY_28_ 9_19.wav	0.1695	0.9172	25	1	2	2	
20	Spectrogram 1	1	768.129009505	768.438094119	0.000	444.771	3153.DSG_DECD_HMS_23_50_ 0__DMY_28_ 9_19.wav	0.3091	5.4538	25	1	2	2	
21	Spectrogram 1	1	900.896027814	901.035614414	0.000	280.399	3165.DSG_DECD_HMS_ 0_50_ 0__DMY_29_ 9_19.wav	0.1396	7.4765	25	1	2	2	
22	Spectrogram 1	1	963.251462853	963.371108510	0.000	365.486	3171.DSG_DECD_HMS_ 1_20_ 0__DMY_29_ 9_19.wav	0.1196	3.6406	25	1	2	2	
23	Spectrogram 1	1	990.331311419	990.500809433	0.000	299.737	3173.DSG_DECD_HMS_ 1_30_ 0__DMY_29_ 9_19.wav	0.1695	8.9297	25	1	2	2	
