Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.155125438	0.422285914	0.000	204.590	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.2672	0.1551	26	3	2	2	
2	Spectrogram 1	1	1.215149262	1.465073579	0.000	213.186	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.2499	1.2151	26	3	2	2	
3	Spectrogram 1	1	2.438916605	2.680222841	0.000	211.467	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.2413	2.4389	26	3	2	2	
4	Spectrogram 1	1	2.973237557	3.188689554	0.000	206.309	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.2155	2.9732	26	3	2	2	
5	Spectrogram 1	1	3.628211627	3.852281704	0.000	209.748	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.2241	3.6282	26	3	2	2	
6	Spectrogram 1	1	6.816901181	6.980644699	0.000	206.309	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.1637	6.8169	26	3	2	2	
7	Spectrogram 1	1	7.523555050	7.730388967	0.000	192.555	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.2068	7.5236	26	3	2	2	
8	Spectrogram 1	1	8.850739351	9.048955188	0.000	187.398	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.1982	8.8507	26	3	2	2	
9	Spectrogram 1	1	9.350587984	9.583276141	0.000	190.836	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.2327	9.3506	26	3	2	2	
10	Spectrogram 1	1	10.453702208	10.634681885	0.000	185.678	0251.DSG_RAWD_HMS_ 8_50_ 0__DMY_22_ 8_11.wav	0.1810	10.4537	26	3	2	2	
