Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	85.147723961	85.344288876	0.000	182.240	5209.DSG_RAWD_HMS_19_10_ 0__DMY_25_ 9_11.wav	0.1966	9.1652	25	1	2	2	
2	Spectrogram 1	1	85.519793264	85.751459055	0.000	268.202	5209.DSG_RAWD_HMS_19_10_ 0__DMY_25_ 9_11.wav	0.2317	9.5373	25	1	2	2	
3	Spectrogram 1	1	148.076583916	148.224007602	0.000	165.047	5215.DSG_RAWD_HMS_20_10_ 0__DMY_25_ 9_11.wav	0.1474	6.9662	25	3	2	2	
4	Spectrogram 1	1	151.488389214	151.684954128	0.000	177.082	5215.DSG_RAWD_HMS_20_10_ 0__DMY_25_ 9_11.wav	0.1966	10.3780	25	1	2	2	
5	Spectrogram 1	1	162.938292168	163.036574625	0.000	223.502	5217.DSG_RAWD_HMS_20_30_ 0__DMY_25_ 9_11.wav	0.0983	0.1187	25	1	2	2	
6	Spectrogram 1	1	252.831645136	252.993109172	0.000	233.817	5225.DSG_RAWD_HMS_21_50_ 0__DMY_25_ 9_11.wav	0.1615	3.1748	25	1	2	2	
7	Spectrogram 1	1	253.133512682	253.287956544	0.000	278.518	5225.DSG_RAWD_HMS_21_50_ 0__DMY_25_ 9_11.wav	0.1544	3.4767	25	1	2	2	
8	Spectrogram 1	1	263.565493726	263.726957762	0.000	127.224	5226.DSG_RAWD_HMS_22_ 0_ 0__DMY_25_ 9_11.wav	0.1615	3.0541	25	3	2	2	
9	Spectrogram 1	1	327.757973354	327.954538269	0.000	211.467	5232.DSG_RAWD_HMS_23_ 0_ 0__DMY_25_ 9_11.wav	0.1966	2.1187	25	1	2	2	
10	Spectrogram 1	1	381.553573043	381.764178308	0.000	118.628	5237.DSG_RAWD_HMS_23_50_ 0__DMY_25_ 9_11.wav	0.2106	1.6410	25	3	2	2	
11	Spectrogram 1	1	433.004445269	433.151868954	0.000	190.836	5241.DSG_RAWD_HMS_ 0_30_ 0__DMY_26_ 9_11.wav	0.1474	9.6733	25	1	2	2	
12	Spectrogram 1	1	433.250151412	433.369494395	0.000	146.136	5241.DSG_RAWD_HMS_ 0_30_ 0__DMY_26_ 9_11.wav	0.1193	9.9190	25	3	2	2	
13	Spectrogram 1	1	435.131558448	435.314083012	0.000	144.417	5242.DSG_RAWD_HMS_ 0_40_ 0__DMY_26_ 9_11.wav	0.1825	0.9458	25	3	2	2	
14	Spectrogram 1	1	516.993836010	517.190400924	0.000	190.836	5249.DSG_RAWD_HMS_ 1_50_ 0__DMY_26_ 9_11.wav	0.1966	6.8256	25	1	2	2	
15	Spectrogram 1	1	539.732173800	539.963839592	0.000	156.451	5251.DSG_RAWD_HMS_ 2_10_ 0__DMY_26_ 9_11.wav	0.2317	7.8546	25	1	2	2	
16	Spectrogram 1	1	633.837591966	633.992035827	0.000	247.571	5260.DSG_RAWD_HMS_ 3_40_ 0__DMY_26_ 9_11.wav	0.1544	4.2683	25	1	2	2	
17	Spectrogram 1	1	687.822723574	688.019288489	0.000	204.590	5265.DSG_RAWD_HMS_ 4_30_ 0__DMY_26_ 9_11.wav	0.1966	3.9801	25	1	2	2	
18	Spectrogram 1	1	691.241549048	691.353871856	0.000	149.574	5265.DSG_RAWD_HMS_ 4_30_ 0__DMY_26_ 9_11.wav	0.1123	7.3990	25	3	2	2	
19	Spectrogram 1	1	731.403954996	731.593499735	0.000	199.432	5269.DSG_RAWD_HMS_ 5_10_ 0__DMY_26_ 9_11.wav	0.1895	4.1428	25	1	2	2	
20	Spectrogram 1	1	735.840705918	736.135553290	0.000	997.636	5269.DSG_RAWD_HMS_ 5_10_ 0__DMY_26_ 9_11.wav	0.2948	8.5796	25	1	2	2	
21	Spectrogram 1	1	740.537199760	740.733764674	0.000	183.959	5270.DSG_RAWD_HMS_ 5_20_ 0__DMY_26_ 9_11.wav	0.1966	2.4214	25	1	2	2	
22	Spectrogram 1	1	749.143931409	749.298375270	0.000	216.625	5271.DSG_RAWD_HMS_ 5_30_ 0__DMY_26_ 9_11.wav	0.1544	0.1735	25	1	2	2	
