Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	10.249547482	10.361948292	0.000	223.502	5346.DSG_RAWD_HMS_18_ 0_ 0__DMY_26_ 9_11.wav	0.1124	10.2496	25	1	2	2	
2	Spectrogram 1	1	35.764528534	35.876929344	0.000	213.186	5349.DSG_RAWD_HMS_18_30_ 0__DMY_26_ 9_11.wav	0.1124	3.2006	25	1	2	2	
3	Spectrogram 1	1	257.432980859	257.594557024	0.000	230.379	5369.DSG_RAWD_HMS_21_50_ 0__DMY_26_ 9_11.wav	0.1616	7.7761	25	1	2	2	
4	Spectrogram 1	1	257.910684302	258.072260467	0.000	177.082	5369.DSG_RAWD_HMS_21_50_ 0__DMY_26_ 9_11.wav	0.1616	8.2539	25	1	2	2	
5	Spectrogram 1	1	258.297062087	258.430538049	0.000	128.943	5369.DSG_RAWD_HMS_21_50_ 0__DMY_26_ 9_11.wav	0.1335	8.6403	25	3	2	2	
6	Spectrogram 1	1	258.753690378	258.852041087	0.000	159.890	5369.DSG_RAWD_HMS_21_50_ 0__DMY_26_ 9_11.wav	0.0984	9.0969	25	1	2	2	
7	Spectrogram 1	1	259.048742505	259.196268568	0.000	151.294	5369.DSG_RAWD_HMS_21_50_ 0__DMY_26_ 9_11.wav	0.1475	9.3919	25	1	2	2	
8	Spectrogram 1	1	292.579294486	292.698720347	0.000	209.748	5372.DSG_RAWD_HMS_22_20_ 0__DMY_26_ 9_11.wav	0.1194	10.3586	25	1	2	2	
9	Spectrogram 1	1	397.744239883	397.863665744	0.000	139.259	5382.DSG_RAWD_HMS_ 0_ 0_ 0__DMY_27_ 9_11.wav	0.1194	6.7057	25	3	2	2	
10	Spectrogram 1	1	452.588823368	452.757424583	0.000	214.906	5387.DSG_RAWD_HMS_ 0_50_ 0__DMY_27_ 9_11.wav	0.1686	7.2771	25	1	2	2	
11	Spectrogram 1	1	491.739440725	491.872916687	0.000	178.801	5391.DSG_RAWD_HMS_ 1_30_ 0__DMY_27_ 9_11.wav	0.1335	3.0091	25	1	2	2	
12	Spectrogram 1	1	542.312789423	542.446266026	0.000	147.855	5395.DSG_RAWD_HMS_ 2_10_ 0__DMY_27_ 9_11.wav	0.1335	10.1638	25	3	2	2	
13	Spectrogram 1	1	542.446266026	542.558666836	0.000	137.540	5395.DSG_RAWD_HMS_ 2_10_ 0__DMY_27_ 9_11.wav	0.1124	10.2973	25	3	2	2	
14	Spectrogram 1	1	648.067917834	648.180318644	0.000	163.328	5405.DSG_RAWD_HMS_ 3_50_ 0__DMY_27_ 9_11.wav	0.1124	7.1012	25	1	2	2	
15	Spectrogram 1	1	648.180318644	648.264619252	0.000	120.347	5405.DSG_RAWD_HMS_ 3_50_ 0__DMY_27_ 9_11.wav	0.0843	7.2136	25	3	2	2	
16	Spectrogram 1	1	665.068542986	665.180943796	0.000	147.855	5407.DSG_RAWD_HMS_ 4_10_ 0__DMY_27_ 9_11.wav	0.1124	2.3925	25	3	2	2	
17	Spectrogram 1	1	665.180943796	665.307394708	0.000	130.663	5407.DSG_RAWD_HMS_ 4_10_ 0__DMY_27_ 9_11.wav	0.1265	2.5049	25	3	2	2	
18	Spectrogram 1	1	678.626893079	678.781444193	0.000	139.259	5408.DSG_RAWD_HMS_ 4_20_ 0__DMY_27_ 9_11.wav	0.1546	5.0962	25	3	2	2	
19	Spectrogram 1	1	687.928061113	688.054512024	0.000	144.417	5409.DSG_RAWD_HMS_ 4_30_ 0__DMY_27_ 9_11.wav	0.1265	3.5427	25	3	2	2	
20	Spectrogram 1	1	694.932037649	695.051463510	0.000	149.574	5409.DSG_RAWD_HMS_ 4_30_ 0__DMY_27_ 9_11.wav	0.1194	10.5467	25	3	2	2	
21	Spectrogram 1	1	725.420761783	725.624488251	0.000	213.186	5412.DSG_RAWD_HMS_ 5_ 0_ 0__DMY_27_ 9_11.wav	0.2037	8.4715	25	1	2	2	
22	Spectrogram 1	1	759.991041413	760.215843033	0.000	139.259	5415.DSG_RAWD_HMS_ 5_30_ 0__DMY_27_ 9_11.wav	0.2248	10.4779	25	3	2	2	
23	Spectrogram 1	1	762.878337223	763.025863286	0.000	146.136	5416.DSG_RAWD_HMS_ 5_40_ 0__DMY_27_ 9_11.wav	0.1475	2.5105	25	3	2	2	
24	Spectrogram 1	1	771.526175962	771.708827279	0.000	201.152	5417.DSG_RAWD_HMS_ 5_50_ 0__DMY_27_ 9_11.wav	0.1827	0.3037	25	1	2	2	
25	Spectrogram 1	1	773.717991760	773.872542874	0.000	252.729	5417.DSG_RAWD_HMS_ 5_50_ 0__DMY_27_ 9_11.wav	0.1546	2.4955	25	1	2	2	
26	Spectrogram 1	1	773.879567924	773.970893583	0.000	125.505	5417.DSG_RAWD_HMS_ 5_50_ 0__DMY_27_ 9_11.wav	0.0913	2.6571	25	3	2	2	
27	Spectrogram 1	1	775.741206912	775.888732975	0.000	202.871	5417.DSG_RAWD_HMS_ 5_50_ 0__DMY_27_ 9_11.wav	0.1475	4.5187	25	1	2	2	
28	Spectrogram 1	1	775.888732975	775.994108734	0.000	130.663	5417.DSG_RAWD_HMS_ 5_50_ 0__DMY_27_ 9_11.wav	0.1054	4.6663	25	3	2	2	
