Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.749772949	1.008315345	0.000	190.836	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2585	0.7498	26	3	2	2	
2	Spectrogram 1	1	1.680525576	1.930449892	0.000	199.432	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2499	1.6805	26	3	2	2	
3	Spectrogram 1	1	2.301027327	2.533715483	0.000	187.398	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2327	2.3010	26	3	2	2	
4	Spectrogram 1	1	2.637132442	2.904292918	0.000	192.555	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2672	2.6371	26	3	2	2	
5	Spectrogram 1	1	3.076654515	3.283488432	0.000	197.713	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2068	3.0767	26	3	2	2	
6	Spectrogram 1	1	3.697156266	3.903990183	0.000	190.836	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2068	3.6972	26	3	2	2	
7	Spectrogram 1	1	4.110824100	4.377984577	0.000	192.555	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2672	4.1108	26	3	2	2	
8	Spectrogram 1	1	4.524491935	4.765798171	0.000	187.398	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2413	4.5245	26	3	2	2	
9	Spectrogram 1	1	5.041576727	5.231174484	0.000	180.521	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.1896	5.0416	26	3	2	2	
10	Spectrogram 1	1	5.334591443	5.550043440	0.000	190.836	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2155	5.3346	26	3	2	2	
11	Spectrogram 1	1	5.722399592	5.972323908	0.000	183.959	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2499	5.7224	26	3	2	2	
12	Spectrogram 1	1	6.110213186	6.342901343	0.000	195.994	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2327	6.1102	26	3	2	2	
13	Spectrogram 1	1	6.532499100	6.765187257	0.000	195.994	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2327	6.5325	26	3	2	2	
14	Spectrogram 1	1	6.989257334	7.221945490	0.000	199.432	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2327	6.9893	26	3	2	2	
15	Spectrogram 1	1	7.695939883	7.911391880	0.000	195.994	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2155	7.6960	26	3	2	2	
16	Spectrogram 1	1	8.385386273	8.626692510	0.000	202.871	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2413	8.3854	26	3	2	2	
17	Spectrogram 1	1	8.764581788	8.988651865	0.000	197.713	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2241	8.7646	26	3	2	2	
18	Spectrogram 1	1	9.117923063	9.341993140	0.000	206.309	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2241	9.1179	26	3	2	2	
19	Spectrogram 1	1	9.497118577	9.729806734	0.000	195.994	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2327	9.4972	26	3	2	2	
20	Spectrogram 1	1	9.936640651	10.177946888	0.000	209.748	0251.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_14_ 9_11.wav	0.2413	9.9367	26	3	2	2	
21	Spectrogram 1	1	553.717686524	553.894409703	0.000	206.309	0302.DSG_RAWD_HMS_17_30_ 0__DMY_14_ 9_11.wav	0.1767	0.1308	26	3	2	2	
22	Spectrogram 1	1	554.016287758	554.211292645	0.000	213.186	0302.DSG_RAWD_HMS_17_30_ 0__DMY_14_ 9_11.wav	0.1950	0.4294	26	3	2	2	
23	Spectrogram 1	1	554.333170699	554.534269489	0.000	206.309	0302.DSG_RAWD_HMS_17_30_ 0__DMY_14_ 9_11.wav	0.2011	0.7463	26	3	2	2	
