Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	11.688594560	11.772836667	0.000	185.678	0450.DSG_RAWD_HMS_18_10_ 0__DMY_15_ 9_11.wav	0.0842	0.8340	25	1	2	2	
2	Spectrogram 1	1	96.295763358	96.527429150	0.000	725.238	0457.DSG_RAWD_HMS_19_20_ 0__DMY_15_ 9_11.wav	0.2317	9.4586	25	1	2	2	
3	Spectrogram 1	1	97.011821260	97.201365999	0.000	543.281	0457.DSG_RAWD_HMS_19_20_ 0__DMY_15_ 9_11.wav	0.1895	10.1746	25	1	2	2	
4	Spectrogram 1	1	97.706818636	97.896363374	0.000	314.622	0458.DSG_RAWD_HMS_19_30_ 0__DMY_15_ 9_11.wav	0.1895	0.0150	25	1	2	2	
5	Spectrogram 1	1	228.612033981	228.794558544	0.000	508.896	0470.DSG_RAWD_HMS_21_30_ 0__DMY_15_ 9_11.wav	0.1825	0.6645	25	1	2	2	
6	Spectrogram 1	1	283.278144703	283.439608739	0.000	302.587	0475.DSG_RAWD_HMS_22_20_ 0__DMY_15_ 9_11.wav	0.1615	1.0574	25	1	2	2	
7	Spectrogram 1	1	434.668226900	434.836711112	0.000	168.486	0489.DSG_RAWD_HMS_ 0_40_ 0__DMY_16_ 9_11.wav	0.1685	0.4824	25	1	2	2	
8	Spectrogram 1	1	435.208780415	435.363224276	0.000	116.909	0489.DSG_RAWD_HMS_ 0_40_ 0__DMY_16_ 9_11.wav	0.1544	1.0230	25	3	2	2	
9	Spectrogram 1	1	512.683451417	512.830875103	0.000	137.540	0496.DSG_RAWD_HMS_ 1_50_ 0__DMY_16_ 9_11.wav	0.1474	2.5152	25	3	2	2	
10	Spectrogram 1	1	531.504532223	531.792359419	0.000	440.127	0497.DSG_RAWD_HMS_ 2_ 0_ 0__DMY_16_ 9_11.wav	0.2878	10.4816	25	1	2	2	
11	Spectrogram 1	1	581.354781679	581.558366769	0.000	259.606	0502.DSG_RAWD_HMS_ 2_50_ 0__DMY_16_ 9_11.wav	0.2036	6.0586	25	1	2	2	
12	Spectrogram 1	1	717.167046673	717.349571236	0.000	287.114	0515.DSG_RAWD_HMS_ 5_ 0_ 0__DMY_16_ 9_11.wav	0.1825	0.7605	25	1	2	2	
13	Spectrogram 1	1	717.581237028	717.665479134	0.000	144.417	0515.DSG_RAWD_HMS_ 5_ 0_ 0__DMY_16_ 9_11.wav	0.0842	1.1747	25	3	2	2	
14	Spectrogram 1	1	721.505511624	721.695056362	0.000	357.603	0515.DSG_RAWD_HMS_ 5_ 0_ 0__DMY_16_ 9_11.wav	0.1895	5.0990	25	1	2	2	
