Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.152241946	0.372146978	0.000	199.742	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2199	0.1522	26	3	2	2	
2	Spectrogram 1	1	0.499015266	0.778125499	0.000	199.742	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2791	0.4990	26	3	2	2	
3	Spectrogram 1	1	0.888078015	1.150272477	0.000	194.910	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2622	0.8881	26	3	2	2	
4	Spectrogram 1	1	1.463214254	1.733866602	0.000	188.466	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2707	1.4632	26	3	2	2	
5	Spectrogram 1	1	1.869192775	2.139845123	0.000	193.299	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2707	1.8692	26	3	2	2	
6	Spectrogram 1	1	2.342834384	2.605028845	0.000	198.131	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2622	2.3428	26	3	2	2	
7	Spectrogram 1	1	2.740355019	2.985633709	0.000	194.910	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2453	2.7404	26	3	2	2	
8	Spectrogram 1	1	3.112501997	3.349322801	0.000	199.742	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2368	3.1125	26	3	2	2	
9	Spectrogram 1	1	3.501564747	3.755301322	0.000	198.131	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2537	3.5016	26	3	2	2	
10	Spectrogram 1	1	3.916001154	4.195111387	0.000	188.466	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2791	3.9160	26	3	2	2	
11	Spectrogram 1	1	4.321979675	4.609547794	0.000	199.742	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2876	4.3220	26	3	2	2	
12	Spectrogram 1	1	5.117020946	5.387673294	0.000	194.910	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2707	5.1170	26	3	2	2	
13	Spectrogram 1	1	5.632951984	5.954351646	0.000	199.742	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.3214	5.6330	26	3	2	2	
14	Spectrogram 1	1	6.199630336	6.461824798	0.000	202.964	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2622	6.1996	26	3	2	2	
15	Spectrogram 1	1	6.740935031	7.011587379	0.000	193.299	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2707	6.7409	26	3	2	2	
16	Spectrogram 1	1	8.567813904	8.787718936	0.000	188.466	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2199	8.5678	26	3	2	2	
17	Spectrogram 1	1	8.982250311	9.227529001	0.000	188.466	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2453	8.9823	26	3	2	2	
18	Spectrogram 1	1	9.379770947	9.625049637	0.000	185.245	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2453	9.3798	26	3	2	2	
19	Spectrogram 1	1	9.760375810	10.047943930	0.000	185.245	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2876	9.7604	26	3	2	2	
20	Spectrogram 1	1	10.225559533	10.513127652	0.000	193.299	0251.DSG_RAWD_HMS_ 8_ 5_ 0__DMY_ 2_ 8_15.wav	0.2876	10.2256	26	3	2	2	
21	Spectrogram 1	1	330.995269523	331.249006099	0.000	199.742	0282.DSG_RAWD_HMS_10_40_ 0__DMY_ 2_ 8_15.wav	0.2537	0.8577	26	3	2	2	
22	Spectrogram 1	1	331.688816164	332.001757941	0.000	202.964	0282.DSG_RAWD_HMS_10_40_ 0__DMY_ 2_ 8_15.wav	0.3129	1.5512	26	3	2	2	
23	Spectrogram 1	1	332.306241832	332.517688978	0.000	199.742	0282.DSG_RAWD_HMS_10_40_ 0__DMY_ 2_ 8_15.wav	0.2114	2.1686	26	3	2	2	
24	Spectrogram 1	1	332.669930924	332.872920185	0.000	198.131	0282.DSG_RAWD_HMS_10_40_ 0__DMY_ 2_ 8_15.wav	0.2030	2.5323	26	3	2	2	
25	Spectrogram 1	1	333.194319847	333.422682766	0.000	199.742	0282.DSG_RAWD_HMS_10_40_ 0__DMY_ 2_ 8_15.wav	0.2284	3.0567	26	3	2	2	
26	Spectrogram 1	1	333.693335113	333.896324374	0.000	199.742	0282.DSG_RAWD_HMS_10_40_ 0__DMY_ 2_ 8_15.wav	0.2030	3.5557	26	3	2	2	
