Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.073170729	0.300812996	0.000	185.185	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2276	0.0732	26	3	2	2	
2	Spectrogram 1	1	0.666666641	0.894308908	0.000	185.185	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2276	0.6666	26	3	2	2	
3	Spectrogram 1	1	1.081300771	1.333333281	0.000	179.012	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2520	1.0814	26	3	2	2	
4	Spectrogram 1	1	1.658536521	1.918699112	0.000	183.642	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2602	1.6586	26	3	2	2	
5	Spectrogram 1	1	2.894308830	3.146341341	0.000	186.728	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2520	2.8944	26	3	2	2	
6	Spectrogram 1	1	3.268292555	3.512194985	0.000	192.901	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2439	3.2682	26	3	2	2	
7	Spectrogram 1	1	3.861788467	4.105690897	0.000	197.531	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2439	3.8618	26	3	2	2	
8	Spectrogram 1	1	4.349593326	4.593495756	0.000	199.074	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2439	4.3496	26	3	2	2	
9	Spectrogram 1	1	4.837398185	5.162601424	0.000	199.074	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.3252	4.8374	26	3	2	2	
10	Spectrogram 1	1	5.853658308	6.154471304	0.000	199.074	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.3008	5.8536	26	3	2	2	
11	Spectrogram 1	1	6.398373734	6.699186730	0.000	202.160	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.3008	6.3984	26	3	2	2	
12	Spectrogram 1	1	6.934959079	7.170731427	0.000	199.074	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2358	6.9350	26	3	2	2	
13	Spectrogram 1	1	7.626008421	7.894301094	0.000	208.333	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2683	7.6260	26	3	2	2	
14	Spectrogram 1	1	8.089423037	8.373975872	0.000	214.506	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2846	8.0894	26	3	2	2	
15	Spectrogram 1	1	9.138203484	9.398366076	0.000	223.765	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2602	9.1382	26	3	2	2	
16	Spectrogram 1	1	9.601618100	9.878040854	0.000	217.593	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2764	9.6016	26	3	2	2	
17	Spectrogram 1	1	10.504057089	10.788609924	0.000	217.593	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2846	10.5040	26	3	2	2	
18	Spectrogram 1	1	11.772342182	12.048764935	0.000	217.593	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2764	11.7724	26	3	2	2	
19	Spectrogram 1	1	12.325187689	12.634130766	0.000	240.741	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.3089	12.3252	26	3	2	2	
20	Spectrogram 1	1	12.869903115	13.154455949	0.000	239.198	0251.DSG_RAWD_HMS_ 3_50_ 0__DMY_21_ 9_15.wav	0.2846	12.8700	26	3	2	2	
