Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	7.823679850	8.064280821	0.000	151.418	1001.DSG_DECD_HMS_ 7_25_ 0__DMY_21_ 8_18.wav	0.2406	7.8237	25	3	2	2	
2	Spectrogram 1	1	15.373543991	15.564365451	0.000	207.796	1001.DSG_DECD_HMS_ 7_25_ 0__DMY_21_ 8_18.wav	0.1908	15.3735	25	1	2	2	
3	Spectrogram 1	1	40.760901103	40.943425977	0.000	132.088	1002.DSG_DECD_HMS_ 7_30_ 0__DMY_21_ 8_18.wav	0.1825	19.8713	25	3	2	2	
4	Spectrogram 1	1	46.908630677	47.066265796	0.000	154.639	1003.DSG_DECD_HMS_ 7_35_ 0__DMY_21_ 8_18.wav	0.1576	5.1294	25	3	2	2	
5	Spectrogram 1	1	88.117612157	88.349916543	4.832	141.753	1005.DSG_DECD_HMS_ 7_45_ 0__DMY_21_ 8_18.wav	0.2323	4.5592	25	3	2	2	
6	Spectrogram 1	1	128.754162132	129.011356273	0.000	135.309	1007.DSG_DECD_HMS_ 7_55_ 0__DMY_21_ 8_18.wav	0.2572	3.4166	25	3	2	2	
7	Spectrogram 1	1	152.424176933	152.639888148	0.000	212.629	1008.DSG_DECD_HMS_ 8_ 0_ 0__DMY_21_ 8_18.wav	0.2157	6.1970	25	1	2	2	
8	Spectrogram 1	1	160.820321163	161.011142622	0.000	154.639	1008.DSG_DECD_HMS_ 8_ 0_ 0__DMY_21_ 8_18.wav	0.1908	14.5931	25	3	2	2	
9	Spectrogram 1	1	202.593421283	202.759352987	0.000	217.461	1010.DSG_DECD_HMS_ 8_10_ 0__DMY_21_ 8_18.wav	0.1659	13.3582	25	3	2	2	
10	Spectrogram 1	1	209.894416265	210.060347969	0.000	156.250	1010.DSG_DECD_HMS_ 8_10_ 0__DMY_21_ 8_18.wav	0.1659	20.6592	25	3	2	2	
11	Spectrogram 1	1	211.603494327	211.794315787	0.000	146.585	1011.DSG_DECD_HMS_ 8_15_ 0__DMY_21_ 8_18.wav	0.1908	1.4787	25	3	2	2	
