Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	0.655378849	1.086767459	0.000	219.072	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.4314	0.6554	25	1	2	2	
2	Spectrogram 1	1	3.393037333	3.749762530	0.000	220.683	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.3567	3.3930	26	3	2	2	
3	Spectrogram 1	1	4.073303987	4.413437314	0.000	223.905	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.3401	4.0733	26	3	2	2	
4	Spectrogram 1	1	5.608051925	5.964777122	0.000	220.683	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.3567	5.6081	26	3	2	2	
5	Spectrogram 1	1	6.487421014	6.802666536	3.222	219.072	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.3152	6.4874	26	3	2	2	
6	Spectrogram 1	1	8.536509511	8.743907881	0.000	196.521	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.2074	8.5365	26	3	2	2	
7	Spectrogram 1	1	9.963410297	10.087849319	0.000	196.521	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.1244	9.9634	26	3	2	2	
8	Spectrogram 1	1	10.444574515	10.643676950	0.000	202.964	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.1991	10.4446	26	3	2	2	
9	Spectrogram 1	1	11.124841169	11.315647669	0.000	212.629	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.1908	11.1248	26	3	2	2	
10	Spectrogram 1	1	11.987618388	12.219904562	0.000	212.629	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.2323	11.9876	26	3	2	2	
11	Spectrogram 1	1	13.256890493	13.447696994	0.000	270.619	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.1908	13.2569	26	3	2	2	
12	Spectrogram 1	1	13.962039920	14.127958616	0.000	262.564	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.1659	13.9620	26	3	2	2	
13	Spectrogram 1	1	14.260693573	14.434908204	0.000	265.786	0001.DSG_DECD_HMS_11_50_ 0__DMY_21_ 9_18.wav	0.1742	14.2607	26	3	2	2	
