Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	11.819665293	11.941421382	0.000	128.086	6469.DSG_RAWD_HMS_18_ 0_ 0__DMY_12_10_15.wav	0.1218	11.8196	25	3	2	2	
2	Spectrogram 1	1	27.282620008	27.516766333	0.000	115.741	6470.DSG_RAWD_HMS_18_ 5_ 0__DMY_12_10_15.wav	0.2341	6.8026	25	3	2	2	
3	Spectrogram 1	1	328.140750305	328.384262483	0.000	151.235	6485.DSG_RAWD_HMS_19_20_ 0__DMY_12_10_15.wav	0.2435	0.4608	25	1	2	2	
4	Spectrogram 1	1	428.626640835	429.441470048	0.000	74.074	6489.DSG_RAWD_HMS_19_40_ 0__DMY_12_10_15.wav	0.8148	19.0266	27	1	2	2	
5	Spectrogram 1	1	430.115811466	430.368689497	0.000	103.395	6490.DSG_RAWD_HMS_19_45_ 0__DMY_12_10_15.wav	0.2529	0.0358	25	3	2	2	
6	Spectrogram 1	1	1089.427348130	1089.605299337	0.000	172.840	6522.DSG_RAWD_HMS_22_25_ 0__DMY_12_10_15.wav	0.1780	3.9874	25	1	2	2	
7	Spectrogram 1	1	1089.783250545	1090.064226135	0.000	330.247	6522.DSG_RAWD_HMS_22_25_ 0__DMY_12_10_15.wav	0.2810	4.3432	25	1	2	2	
8	Spectrogram 1	1	1126.103886374	1126.384861965	0.000	698.739	6523.DSG_RAWD_HMS_22_30_ 0__DMY_12_10_15.wav	0.2810	20.1838	25	1	1	2	
9	Spectrogram 1	1	1297.498257817	1297.769867554	0.000	137.346	6532.DSG_RAWD_HMS_23_15_ 0__DMY_12_10_15.wav	0.2716	7.2582	25	3	2	2	
10	Spectrogram 1	1	1302.415330654	1302.771233069	0.000	439.815	6532.DSG_RAWD_HMS_23_15_ 0__DMY_12_10_15.wav	0.3559	12.1754	25	1	2	2	
11	Spectrogram 1	1	1332.798013010	1333.163281278	0.000	690.296	6534.DSG_RAWD_HMS_23_25_ 0__DMY_12_10_15.wav	0.3653	1.5980	25	1	2	2	
12	Spectrogram 1	1	1350.157541475	1350.316760976	0.000	162.037	6534.DSG_RAWD_HMS_23_25_ 0__DMY_12_10_15.wav	0.1592	18.9576	25	1	2	2	
13	Spectrogram 1	1	1382.750564606	1383.115832874	0.000	555.297	6536.DSG_RAWD_HMS_23_35_ 0__DMY_12_10_15.wav	0.3653	10.5906	25	1	2	2	
14	Spectrogram 1	1	1406.277480847	1406.595919850	0.000	316.358	6537.DSG_RAWD_HMS_23_40_ 0__DMY_12_10_15.wav	0.3184	13.6374	25	1	2	2	
15	Spectrogram 1	1	1406.914358853	1407.101675913	0.000	163.580	6537.DSG_RAWD_HMS_23_40_ 0__DMY_12_10_15.wav	0.1873	14.2744	25	1	2	2	
16	Spectrogram 1	1	1454.314734049	1454.511416962	0.000	183.642	6540.DSG_RAWD_HMS_23_55_ 0__DMY_12_10_15.wav	0.1967	0.2348	25	1	2	2	
17	Spectrogram 1	1	1474.170251035	1474.451226625	0.000	160.494	6540.DSG_RAWD_HMS_23_55_ 0__DMY_12_10_15.wav	0.2810	20.0902	25	1	2	2	
18	Spectrogram 1	1	1475.902933844	1476.212006994	0.000	169.753	6541.DSG_RAWD_HMS_ 0_ 0_ 0__DMY_13_10_15.wav	0.3091	1.3430	25	1	2	2	
19	Spectrogram 1	1	1482.009470015	1482.290445606	0.000	168.210	6541.DSG_RAWD_HMS_ 0_ 0_ 0__DMY_13_10_15.wav	0.2810	7.4494	25	1	2	2	
20	Spectrogram 1	1	1488.734099428	1489.015075018	0.000	192.901	6541.DSG_RAWD_HMS_ 0_ 0_ 0__DMY_13_10_15.wav	0.2810	14.1740	25	1	2	2	
21	Spectrogram 1	1	1493.051757671	1493.295269850	0.000	192.901	6541.DSG_RAWD_HMS_ 0_ 0_ 0__DMY_13_10_15.wav	0.2435	18.4918	25	1	2	2	
22	Spectrogram 1	1	1497.772122311	1498.043732048	0.000	168.210	6542.DSG_RAWD_HMS_ 0_ 5_ 0__DMY_13_10_15.wav	0.2716	2.7322	25	1	2	2	
23	Spectrogram 1	1	1501.780707405	1502.061682995	0.000	171.296	6542.DSG_RAWD_HMS_ 0_ 5_ 0__DMY_13_10_15.wav	0.2810	6.7408	25	1	2	2	
24	Spectrogram 1	1	1505.489585202	1505.733097381	0.000	168.210	6542.DSG_RAWD_HMS_ 0_ 5_ 0__DMY_13_10_15.wav	0.2435	10.4496	25	1	2	2	
25	Spectrogram 1	1	1510.088187296	1510.369162887	0.000	168.210	6542.DSG_RAWD_HMS_ 0_ 5_ 0__DMY_13_10_15.wav	0.2810	15.0482	25	1	2	2	
26	Spectrogram 1	1	1535.544500734	1535.825476324	0.000	445.988	6543.DSG_RAWD_HMS_ 0_10_ 0__DMY_13_10_15.wav	0.2810	20.0246	25	1	2	2	
27	Spectrogram 1	1	1537.211622572	1537.436403044	0.000	174.383	6544.DSG_RAWD_HMS_ 0_15_ 0__DMY_13_10_15.wav	0.2248	1.2116	25	1	2	2	
28	Spectrogram 1	1	1540.742549161	1540.995427193	0.000	149.691	6544.DSG_RAWD_HMS_ 0_15_ 0__DMY_13_10_15.wav	0.2529	4.7426	25	3	2	2	
29	Spectrogram 1	1	1545.097646071	1545.303694837	0.000	152.778	6544.DSG_RAWD_HMS_ 0_15_ 0__DMY_13_10_15.wav	0.2060	9.0976	25	1	2	2	
30	Spectrogram 1	1	1548.075987332	1548.310133658	0.000	157.407	6544.DSG_RAWD_HMS_ 0_15_ 0__DMY_13_10_15.wav	0.2341	12.0760	25	1	2	2	
31	Spectrogram 1	1	1551.616257718	1551.794208926	0.000	172.840	6544.DSG_RAWD_HMS_ 0_15_ 0__DMY_13_10_15.wav	0.1780	15.6162	25	1	2	2	
32	Spectrogram 1	1	1554.697623363	1554.969233101	0.000	151.235	6544.DSG_RAWD_HMS_ 0_15_ 0__DMY_13_10_15.wav	0.2716	18.6976	25	1	2	2	
33	Spectrogram 1	1	1559.146403549	1559.371184022	0.000	168.210	6545.DSG_RAWD_HMS_ 0_20_ 0__DMY_13_10_15.wav	0.2248	2.6664	25	1	2	2	
34	Spectrogram 1	1	1562.208997375	1562.433777848	0.000	188.272	6545.DSG_RAWD_HMS_ 0_20_ 0__DMY_13_10_15.wav	0.2248	5.7290	25	1	2	2	
35	Spectrogram 1	1	1566.152032258	1566.414276142	0.000	180.556	6545.DSG_RAWD_HMS_ 0_20_ 0__DMY_13_10_15.wav	0.2622	9.6720	25	1	2	2	
36	Spectrogram 1	1	1570.048203983	1570.254252749	0.000	169.753	6545.DSG_RAWD_HMS_ 0_20_ 0__DMY_13_10_15.wav	0.2060	13.5682	25	1	2	2	
37	Spectrogram 1	1	1573.991228106	1574.141081754	0.000	174.383	6545.DSG_RAWD_HMS_ 0_20_ 0__DMY_13_10_15.wav	0.1499	17.5112	25	1	2	2	
38	Spectrogram 1	1	1577.924862705	1578.149643177	0.000	168.210	6546.DSG_RAWD_HMS_ 0_25_ 0__DMY_13_10_15.wav	0.2248	0.9648	25	1	2	2	
