Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	24.653461609	24.789937698	0.000	131.173	2181.DSG_RAWD_HMS_18_10_ 0__DMY_12_ 9_15.wav	0.1365	3.3543	25	3	2	2	
2	Spectrogram 1	1	89.002013486	89.118992990	0.000	87.963	2187.DSG_RAWD_HMS_18_40_ 0__DMY_12_ 9_15.wav	0.1170	3.8052	25	3	2	2	
3	Spectrogram 1	1	91.058903108	91.156386028	0.000	84.877	2187.DSG_RAWD_HMS_18_40_ 0__DMY_12_ 9_15.wav	0.0975	5.8621	25	3	2	2	
4	Spectrogram 1	1	94.022383890	94.168608271	0.000	100.309	2187.DSG_RAWD_HMS_18_40_ 0__DMY_12_ 9_15.wav	0.1462	8.8256	25	3	2	2	
5	Spectrogram 1	1	269.179953733	269.306681529	0.000	111.111	2204.DSG_RAWD_HMS_20_ 5_ 0__DMY_12_ 9_15.wav	0.1267	2.9400	25	3	2	2	
6	Spectrogram 1	1	336.228788353	336.365264441	0.000	100.309	2210.DSG_RAWD_HMS_20_35_ 0__DMY_12_ 9_15.wav	0.1365	6.0912	25	3	2	2	
7	Spectrogram 1	1	340.800753384	340.927481181	0.000	160.494	2211.DSG_RAWD_HMS_20_40_ 0__DMY_12_ 9_15.wav	0.1267	0.0136	25	1	2	2	
8	Spectrogram 1	1	492.230965207	492.367441296	0.000	109.568	2225.DSG_RAWD_HMS_21_50_ 0__DMY_12_ 9_15.wav	0.1365	2.3494	25	3	2	2	
9	Spectrogram 1	1	498.372389197	498.469872118	0.000	117.284	2225.DSG_RAWD_HMS_21_50_ 0__DMY_12_ 9_15.wav	0.0975	8.4908	25	3	2	2	
10	Spectrogram 1	1	502.349692353	502.505665025	0.000	100.309	2226.DSG_RAWD_HMS_21_55_ 0__DMY_12_ 9_15.wav	0.1560	1.8185	25	3	2	2	
11	Spectrogram 1	1	504.562568886	504.708793266	0.000	108.025	2226.DSG_RAWD_HMS_21_55_ 0__DMY_12_ 9_15.wav	0.1462	4.0314	25	3	2	2	
12	Spectrogram 1	1	507.360328703	507.496804792	0.000	97.222	2226.DSG_RAWD_HMS_21_55_ 0__DMY_12_ 9_15.wav	0.1365	6.8291	25	3	2	2	
13	Spectrogram 1	1	510.859965548	511.045183097	0.000	111.111	2226.DSG_RAWD_HMS_21_55_ 0__DMY_12_ 9_15.wav	0.1852	10.3288	25	3	2	2	
14	Spectrogram 1	1	513.199563480	513.326291277	0.000	137.346	2227.DSG_RAWD_HMS_22_ 0_ 0__DMY_12_ 9_15.wav	0.1267	2.0188	25	3	2	2	
15	Spectrogram 1	1	513.394529321	513.599243454	0.000	134.259	2227.DSG_RAWD_HMS_22_ 0_ 0__DMY_12_ 9_15.wav	0.2047	2.2137	25	3	2	2	
16	Spectrogram 1	1	525.014512512	525.141240308	0.000	199.074	2228.DSG_RAWD_HMS_22_ 5_ 0__DMY_12_ 9_15.wav	0.1267	3.1841	25	1	2	2	
17	Spectrogram 1	1	525.141240308	525.248471521	0.000	211.420	2228.DSG_RAWD_HMS_22_ 5_ 0__DMY_12_ 9_15.wav	0.1072	3.3108	25	1	2	2	
18	Spectrogram 1	1	527.890258666	528.016986462	0.000	155.864	2228.DSG_RAWD_HMS_22_ 5_ 0__DMY_12_ 9_15.wav	0.1267	6.0599	25	1	2	2	
19	Spectrogram 1	1	529.995889748	530.151862421	0.000	137.346	2228.DSG_RAWD_HMS_22_ 5_ 0__DMY_12_ 9_15.wav	0.1560	8.1655	25	3	2	2	
20	Spectrogram 1	1	535.464696970	535.610921350	0.000	128.086	2229.DSG_RAWD_HMS_22_10_ 0__DMY_12_ 9_15.wav	0.1462	2.9847	25	3	2	2	
21	Spectrogram 1	1	541.040720021	541.186944402	0.000	137.346	2229.DSG_RAWD_HMS_22_10_ 0__DMY_12_ 9_15.wav	0.1462	8.5607	25	3	2	2	
22	Spectrogram 1	1	543.419303281	543.555779369	0.000	129.630	2230.DSG_RAWD_HMS_22_15_ 0__DMY_12_ 9_15.wav	0.1365	0.2897	25	3	2	2	
23	Spectrogram 1	1	545.407967190	545.554191571	0.000	229.938	2230.DSG_RAWD_HMS_22_15_ 0__DMY_12_ 9_15.wav	0.1462	2.2784	25	1	2	2	
24	Spectrogram 1	1	552.865415268	553.109122569	0.000	134.259	2230.DSG_RAWD_HMS_22_15_ 0__DMY_12_ 9_15.wav	0.2437	9.7358	25	3	2	2	
25	Spectrogram 1	1	569.983449200	570.119925289	0.000	134.259	2232.DSG_RAWD_HMS_22_25_ 0__DMY_12_ 9_15.wav	0.1365	5.5546	25	3	2	2	
26	Spectrogram 1	1	570.324639422	570.451367219	0.000	100.309	2232.DSG_RAWD_HMS_22_25_ 0__DMY_12_ 9_15.wav	0.1267	5.8958	25	3	2	2	
27	Spectrogram 1	1	578.288994025	578.435218406	0.000	168.210	2233.DSG_RAWD_HMS_22_30_ 0__DMY_12_ 9_15.wav	0.1462	3.2106	25	1	2	2	
28	Spectrogram 1	1	581.213496344	581.379217309	0.000	199.074	2233.DSG_RAWD_HMS_22_30_ 0__DMY_12_ 9_15.wav	0.1657	6.1351	25	1	2	2	
29	Spectrogram 1	1	584.713133189	584.849609278	0.000	146.605	2233.DSG_RAWD_HMS_22_30_ 0__DMY_12_ 9_15.wav	0.1365	9.6347	25	3	2	2	
