Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	8.110621619	8.273025516	0.000	104.704	6618.DSG_DECD_HMS_18_ 0_ 0__DMY_ 9_ 9_18.wav	0.1624	8.1106	25	3	2	2	
2	Spectrogram 1	1	8.597833310	8.884428422	0.000	167.526	6618.DSG_DECD_HMS_18_ 0_ 0__DMY_ 9_ 9_18.wav	0.2866	8.5978	25	1	2	2	
3	Spectrogram 1	1	36.922824862	37.085228759	0.000	93.428	6619.DSG_DECD_HMS_18_ 5_ 0__DMY_ 9_ 9_18.wav	0.1624	16.0332	25	3	2	2	
4	Spectrogram 1	1	153.201645400	153.392708809	0.000	225.515	6625.DSG_DECD_HMS_18_35_ 0__DMY_ 9_ 9_18.wav	0.1911	6.9744	25	1	2	2	
5	Spectrogram 1	1	220.255116319	220.484392409	0.000	122.423	6628.DSG_DECD_HMS_18_50_ 0__DMY_ 9_ 9_18.wav	0.2293	11.3591	25	3	2	2	
6	Spectrogram 1	1	220.522605091	220.876072396	0.000	323.776	6628.DSG_DECD_HMS_18_50_ 0__DMY_ 9_ 9_18.wav	0.3535	11.6266	25	1	2	2	
7	Spectrogram 1	1	220.895178737	221.086242145	0.000	133.698	6628.DSG_DECD_HMS_18_50_ 0__DMY_ 9_ 9_18.wav	0.1911	11.9992	25	3	2	2	
8	Spectrogram 1	1	222.318601129	222.528770878	0.000	96.649	6628.DSG_DECD_HMS_18_50_ 0__DMY_ 9_ 9_18.wav	0.2102	13.4226	25	3	2	2	
9	Spectrogram 1	1	272.109555769	272.348385029	0.000	78.930	6631.DSG_DECD_HMS_19_ 5_ 0__DMY_ 9_ 9_18.wav	0.2388	0.5448	25	3	2	2	
10	Spectrogram 1	1	299.507936368	299.851850503	0.000	180.412	6632.DSG_DECD_HMS_19_10_ 0__DMY_ 9_ 9_18.wav	0.3439	7.0535	25	1	2	2	
11	Spectrogram 1	1	767.401405502	767.640234763	0.000	219.072	6654.DSG_DECD_HMS_21_ 0_ 0__DMY_ 9_ 9_18.wav	0.2388	15.3758	25	1	2	2	
12	Spectrogram 1	1	961.444845000	961.760099624	0.000	399.485	6664.DSG_DECD_HMS_21_50_ 0__DMY_ 9_ 9_18.wav	0.3153	0.5232	25	1	2	2	
13	Spectrogram 1	1	966.355174593	966.670429217	0.000	446.198	6664.DSG_DECD_HMS_21_50_ 0__DMY_ 9_ 9_18.wav	0.3153	5.4336	25	1	2	2	
14	Spectrogram 1	1	972.942041116	973.285955251	0.000	420.425	6664.DSG_DECD_HMS_21_50_ 0__DMY_ 9_ 9_18.wav	0.3439	12.0204	25	1	2	2	
15	Spectrogram 1	1	976.400288806	976.725096600	0.000	257.732	6664.DSG_DECD_HMS_21_50_ 0__DMY_ 9_ 9_18.wav	0.3248	15.4787	25	1	2	2	
16	Spectrogram 1	1	979.247128102	979.466851022	0.000	109.536	6664.DSG_DECD_HMS_21_50_ 0__DMY_ 9_ 9_18.wav	0.2197	18.3255	25	3	2	2	
17	Spectrogram 1	1	985.542633933	985.829229045	0.000	299.613	6665.DSG_DECD_HMS_21_55_ 0__DMY_ 9_ 9_18.wav	0.2866	3.7314	25	1	2	2	
18	Spectrogram 1	1	1068.559360046	1068.693104432	0.000	146.585	6669.DSG_DECD_HMS_22_15_ 0__DMY_ 9_ 9_18.wav	0.1337	3.1898	25	3	2	2	
19	Spectrogram 1	1	1072.055820418	1072.246883826	0.000	148.196	6669.DSG_DECD_HMS_22_15_ 0__DMY_ 9_ 9_18.wav	0.1911	6.6862	25	3	2	2	
20	Spectrogram 1	1	1078.446824683	1078.647441262	0.000	148.196	6669.DSG_DECD_HMS_22_15_ 0__DMY_ 9_ 9_18.wav	0.2006	13.0772	25	3	2	2	
21	Spectrogram 1	1	1088.936163442	1089.184545872	0.000	222.294	6670.DSG_DECD_HMS_22_20_ 0__DMY_ 9_ 9_18.wav	0.2484	2.6770	25	1	2	2	
22	Spectrogram 1	1	1091.009201421	1091.257583852	0.000	188.466	6670.DSG_DECD_HMS_22_20_ 0__DMY_ 9_ 9_18.wav	0.2484	4.7500	25	1	2	2	
23	Spectrogram 1	1	1107.211289444	1107.450118704	0.000	281.894	6671.DSG_DECD_HMS_22_25_ 0__DMY_ 9_ 9_18.wav	0.2388	0.0625	25	1	2	2	
24	Spectrogram 1	1	1119.859624447	1120.002922003	0.000	85.374	6671.DSG_DECD_HMS_22_25_ 0__DMY_ 9_ 9_18.wav	0.1433	12.7108	25	3	2	2	
