Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	59.492524957	59.683666414	0.000	96.649	6602.DSG_DECD_HMS_18_10_ 0__DMY_ 9_ 9_18.wav	0.1911	17.7133	25	3	2	2	
2	Spectrogram 1	1	103.884954098	104.018753118	0.000	149.807	6604.DSG_DECD_HMS_18_20_ 0__DMY_ 9_ 9_18.wav	0.1338	20.3266	25	3	2	2	
3	Spectrogram 1	1	139.121775965	139.360702786	0.000	215.851	6606.DSG_DECD_HMS_18_30_ 0__DMY_ 9_ 9_18.wav	0.2389	13.7842	25	1	2	2	
4	Spectrogram 1	1	139.934127157	140.125268614	0.000	225.515	6606.DSG_DECD_HMS_18_30_ 0__DMY_ 9_ 9_18.wav	0.1911	14.5965	25	1	2	2	
5	Spectrogram 1	1	141.520601251	141.711742708	0.000	170.747	6606.DSG_DECD_HMS_18_30_ 0__DMY_ 9_ 9_18.wav	0.1911	16.1830	25	1	2	2	
6	Spectrogram 1	1	158.665900331	158.837927642	0.000	127.255	6607.DSG_DECD_HMS_18_35_ 0__DMY_ 9_ 9_18.wav	0.1720	12.4387	25	3	2	2	
7	Spectrogram 1	1	189.038155165	189.238853695	0.000	219.072	6609.DSG_DECD_HMS_18_45_ 0__DMY_ 9_ 9_18.wav	0.2007	1.0318	25	1	2	2	
8	Spectrogram 1	1	191.847934583	192.115532623	0.000	201.353	6609.DSG_DECD_HMS_18_45_ 0__DMY_ 9_ 9_18.wav	0.2676	3.8415	25	1	2	2	
9	Spectrogram 1	1	199.111281646	199.302423103	0.000	225.515	6609.DSG_DECD_HMS_18_45_ 0__DMY_ 9_ 9_18.wav	0.1911	11.1049	25	1	2	2	
10	Spectrogram 1	1	200.449271846	200.678641594	0.000	149.807	6609.DSG_DECD_HMS_18_45_ 0__DMY_ 9_ 9_18.wav	0.2294	12.4429	25	3	2	2	
11	Spectrogram 1	1	209.968090058	210.178345661	0.000	362.436	6610.DSG_DECD_HMS_18_50_ 0__DMY_ 9_ 9_18.wav	0.2103	1.0721	25	1	2	2	
12	Spectrogram 1	1	217.068976215	217.279231817	0.000	383.376	6610.DSG_DECD_HMS_18_50_ 0__DMY_ 9_ 9_18.wav	0.2103	8.1730	25	1	2	2	
13	Spectrogram 1	1	251.369198114	251.636796154	0.000	376.933	6612.DSG_DECD_HMS_19_ 0_ 0__DMY_ 9_ 9_18.wav	0.2676	0.6940	25	1	2	2	
14	Spectrogram 1	1	253.385740486	253.605553162	0.000	362.436	6612.DSG_DECD_HMS_19_ 0_ 0__DMY_ 9_ 9_18.wav	0.2198	2.7105	25	1	2	2	
15	Spectrogram 1	1	266.239953312	266.536222571	0.000	140.142	6612.DSG_DECD_HMS_19_ 0_ 0__DMY_ 9_ 9_18.wav	0.2963	15.5648	25	3	2	2	
16	Spectrogram 1	1	314.407424653	314.617680256	0.000	302.835	6615.DSG_DECD_HMS_19_15_ 0__DMY_ 9_ 9_18.wav	0.2103	1.0634	25	1	2	2	
