Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	440.384371689	451.249024098	153.768	888.440	1791.DSG_RAWD_HMS_ 0_20_ 0__DMY_12_ 9_11.wav	10.8647	0.0644	28	2	1	1	
2	Spectrogram 1	1	451.423995735	462.166180243	176.549	865.659	1792.DSG_RAWD_HMS_ 0_30_ 0__DMY_12_ 9_11.wav	10.7422	0.1267	28	2	1	1	
3	Spectrogram 1	1	462.358652846	473.153323597	148.073	871.354	1793.DSG_RAWD_HMS_ 0_40_ 0__DMY_12_ 9_11.wav	10.7947	0.0841	28	2	1	1	
4	Spectrogram 1	1	473.345791409	484.175452989	0.000	894.135	1794.DSG_RAWD_HMS_ 0_50_ 0__DMY_12_ 9_11.wav	10.8297	0.0940	28	2	1	1	
5	Spectrogram 1	1	484.402906763	495.092605027	0.000	1321.269	1795.DSG_RAWD_HMS_ 1_ 0_ 0__DMY_12_ 9_11.wav	10.6897	0.1738	28	2	1	1	
6	Spectrogram 1	1	495.250084443	506.132232267	0.000	1366.830	1796.DSG_RAWD_HMS_ 1_10_ 0__DMY_12_ 9_11.wav	10.8821	0.0437	28	2	1	1	
7	Spectrogram 1	1	506.289715334	517.224349401	0.000	1623.111	1797.DSG_RAWD_HMS_ 1_20_ 0__DMY_12_ 9_11.wav	10.9346	0.1060	28	1	1	1	
8	Spectrogram 1	1	517.460554725	528.255225476	0.000	1594.635	1798.DSG_RAWD_HMS_ 1_30_ 0__DMY_12_ 9_11.wav	10.7947	0.1358	28	1	1	1	
9	Spectrogram 1	1	528.342719585	539.224867409	0.000	1594.635	1799.DSG_RAWD_HMS_ 1_40_ 0__DMY_12_ 9_11.wav	10.8821	0.0406	28	1	1	1	
10	Spectrogram 1	1	539.329846818	550.299471714	0.000	1588.940	1800.DSG_RAWD_HMS_ 1_50_ 0__DMY_12_ 9_11.wav	10.9696	0.0505	28	1	1	1	
11	Spectrogram 1	1	550.491932378	561.339089372	0.000	1651.586	1801.DSG_RAWD_HMS_ 2_ 0_ 0__DMY_12_ 9_11.wav	10.8472	0.0715	28	1	1	1	
12	Spectrogram 1	1	561.514057513	572.273737434	0.000	1657.282	1802.DSG_RAWD_HMS_ 2_10_ 0__DMY_12_ 9_11.wav	10.7597	0.1163	28	1	1	1	
13	Spectrogram 1	1	572.431204836	583.260866416	0.000	1645.891	1803.DSG_RAWD_HMS_ 2_20_ 0__DMY_12_ 9_11.wav	10.8297	0.0562	28	1	1	1	
14	Spectrogram 1	1	583.453321985	594.947809317	0.000	1606.025	1804.DSG_RAWD_HMS_ 2_30_ 0__DMY_12_ 9_11.wav	11.4945	0.1010	28	1	1	1	
15	Spectrogram 1	1	595.140268004	605.987424998	0.000	1628.806	1805.DSG_RAWD_HMS_ 2_40_ 0__DMY_12_ 9_11.wav	10.8472	0.0734	28	1	1	1	
16	Spectrogram 1	1	606.127399952	616.939566117	0.000	1645.891	1806.DSG_RAWD_HMS_ 2_50_ 0__DMY_12_ 9_11.wav	10.8122	0.0832	28	1	1	1	
17	Spectrogram 1	1	617.114531140	627.961688134	0.000	1640.196	1807.DSG_RAWD_HMS_ 3_ 0_ 0__DMY_12_ 9_11.wav	10.8472	0.0931	28	1	1	1	
18	Spectrogram 1	1	628.049172280	638.931320103	0.000	1674.367	1808.DSG_RAWD_HMS_ 3_10_ 0__DMY_12_ 9_11.wav	10.8821	0.0505	28	1	1	1	
19	Spectrogram 1	1	639.123777346	649.953438926	0.000	1634.501	1809.DSG_RAWD_HMS_ 3_20_ 0__DMY_12_ 9_11.wav	10.8297	0.1478	28	1	1	1	
20	Spectrogram 1	1	650.075920215	660.993058867	0.000	1623.111	1810.DSG_RAWD_HMS_ 3_30_ 0__DMY_12_ 9_11.wav	10.9171	0.0407	28	1	1	1	
21	Spectrogram 1	1	661.168022824	672.015179819	11.390	1623.111	1811.DSG_RAWD_HMS_ 3_40_ 0__DMY_12_ 9_11.wav	10.8472	0.0736	28	1	1	1	
22	Spectrogram 1	1	672.085170072	683.089785797	0.000	1309.879	1812.DSG_RAWD_HMS_ 3_50_ 0__DMY_12_ 9_11.wav	11.0046	0.0135	28	2	1	1	
23	Spectrogram 1	1	683.247252895	694.234373206	0.000	1121.940	1813.DSG_RAWD_HMS_ 4_ 0_ 0__DMY_12_ 9_11.wav	10.9871	0.1164	28	2	1	1	
24	Spectrogram 1	1	694.286871238	705.221505305	0.000	1002.342	1814.DSG_RAWD_HMS_ 4_10_ 0__DMY_12_ 9_11.wav	10.9346	0.0149	28	2	1	1	
25	Spectrogram 1	1	705.308999870	716.191147693	0.000	956.781	1815.DSG_RAWD_HMS_ 4_20_ 0__DMY_12_ 9_11.wav	10.8821	0.0597	28	2	1	1	
26	Spectrogram 1	1	716.313615595	727.143277175	0.000	865.659	1816.DSG_RAWD_HMS_ 4_30_ 0__DMY_12_ 9_11.wav	10.8297	0.0871	28	2	1	1	
27	Spectrogram 1	1	727.300761232	738.095431983	176.549	842.879	1817.DSG_RAWD_HMS_ 4_40_ 0__DMY_12_ 9_11.wav	10.7947	0.0969	28	3	1	1	
28	Spectrogram 1	1	738.235415985	749.100068394	182.244	848.574	1818.DSG_RAWD_HMS_ 4_50_ 0__DMY_12_ 9_11.wav	10.8647	0.0543	28	3	1	1	
29	Spectrogram 1	1	749.275045050	760.104706630	176.549	871.354	1819.DSG_RAWD_HMS_ 5_ 0_ 0__DMY_12_ 9_11.wav	10.8297	0.1166	28	3	1	1	
30	Spectrogram 1	1	760.227174532	771.074331526	153.768	865.659	1820.DSG_RAWD_HMS_ 5_10_ 0__DMY_12_ 9_11.wav	10.8472	0.0915	28	3	1	1	
31	Spectrogram 1	1	771.214321188	782.008991939	170.854	637.854	1821.DSG_RAWD_HMS_ 5_20_ 0__DMY_12_ 9_11.wav	10.7947	0.1014	28	3	1	1	
32	Spectrogram 1	1	782.131459840	793.031103078	170.854	615.074	1822.DSG_RAWD_HMS_ 5_30_ 0__DMY_12_ 9_11.wav	10.8996	0.0412	28	3	1	1	
33	Spectrogram 1	1	793.118608048	803.965765042	170.854	592.293	1823.DSG_RAWD_HMS_ 5_40_ 0__DMY_12_ 9_11.wav	10.8472	0.0511	28	3	1	1	
34	Spectrogram 1	1	804.070756998	814.952904822	170.854	592.293	1824.DSG_RAWD_HMS_ 5_50_ 0__DMY_12_ 9_11.wav	10.8821	0.0260	28	3	1	1	
35	Spectrogram 1	1	815.127876611	825.905051947	148.073	569.513	1825.DSG_RAWD_HMS_ 6_ 0_ 0__DMY_12_ 9_11.wav	10.7772	0.1058	28	3	1	1	
36	Spectrogram 1	1	826.080023128	836.892189293	142.378	580.903	1826.DSG_RAWD_HMS_ 6_10_ 0__DMY_12_ 9_11.wav	10.8122	0.0807	28	3	1	1	
37	Spectrogram 1	1	2016.236183486	2027.083340481	170.854	569.513	1934.DSG_RAWD_HMS_ 0_10_ 0__DMY_13_ 9_11.wav	10.8472	0.1031	28	3	1	1	
38	Spectrogram 1	1	2027.188326961	2038.017988541	153.768	626.464	1935.DSG_RAWD_HMS_ 0_20_ 0__DMY_13_ 9_11.wav	10.8297	0.0779	28	3	1	1	
39	Spectrogram 1	1	2038.140477737	2049.005130146	176.549	654.939	1936.DSG_RAWD_HMS_ 0_30_ 0__DMY_13_ 9_11.wav	10.8647	0.0528	28	3	1	1	
40	Spectrogram 1	1	2049.110119060	2060.079743956	165.159	916.915	1937.DSG_RAWD_HMS_ 0_40_ 0__DMY_13_ 9_11.wav	10.9696	0.0452	28	3	1	1	
41	Spectrogram 1	1	2060.219720659	2070.996895995	182.244	934.001	1938.DSG_RAWD_HMS_ 0_50_ 0__DMY_13_ 9_11.wav	10.7772	0.0956	28	2	1	1	
42	Spectrogram 1	1	2071.171857443	2082.001519023	0.000	939.696	1939.DSG_RAWD_HMS_ 1_ 0_ 0__DMY_13_ 9_11.wav	10.8297	0.0704	28	2	1	1	
