Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	881.765287593	892.755675546	0.000	1150.415	1080.DSG_RAWD_HMS_ 2_40_ 0__DMY_14_ 7_11.wav	10.9904	11.0376	28	1	1	1	
2	Spectrogram 1	1	892.948182341	903.868567823	0.000	1139.025	1082.DSG_RAWD_HMS_ 3_ 0_ 0__DMY_14_ 7_11.wav	10.9204	0.1021	28	1	1	1	
3	Spectrogram 1	1	903.989704842	914.787585999	0.000	1195.976	1083.DSG_RAWD_HMS_ 3_10_ 0__DMY_14_ 7_11.wav	10.7979	0.0844	28	1	1	1	
4	Spectrogram 1	1	914.997593412	925.865477041	0.000	1150.415	1084.DSG_RAWD_HMS_ 3_20_ 0__DMY_14_ 7_11.wav	10.8679	0.1150	28	1	1	1	
5	Spectrogram 1	1	925.970505093	936.733385015	0.000	1184.586	1085.DSG_RAWD_HMS_ 3_30_ 0__DMY_14_ 7_11.wav	10.7629	0.1107	28	1	1	1	
6	Spectrogram 1	1	936.908391192	947.723772967	0.000	1161.806	1086.DSG_RAWD_HMS_ 3_40_ 0__DMY_14_ 7_11.wav	10.8154	0.0713	28	1	1	1	
7	Spectrogram 1	1	947.898808846	958.731691239	0.000	1184.586	1087.DSG_RAWD_HMS_ 3_50_ 0__DMY_14_ 7_11.wav	10.8329	0.0844	28	1	1	1	
8	Spectrogram 1	1	958.836713204	969.844601774	0.000	1195.976	1088.DSG_RAWD_HMS_ 4_ 0_ 0__DMY_14_ 7_11.wav	11.0079	0.0450	28	1	1	1	
9	Spectrogram 1	1	969.914604245	980.869990963	0.000	1184.586	1089.DSG_RAWD_HMS_ 4_10_ 0__DMY_14_ 7_11.wav	10.9554	0.0637	28	1	1	1	
10	Spectrogram 1	1	981.010017931	991.930403412	0.000	1161.806	1090.DSG_RAWD_HMS_ 4_20_ 0__DMY_14_ 7_11.wav	10.9204	0.0999	28	1	1	1	
11	Spectrogram 1	1	992.105409590	1002.973293218	0.000	1161.806	1091.DSG_RAWD_HMS_ 4_30_ 0__DMY_14_ 7_11.wav	10.8679	0.0542	28	1	1	1	
12	Spectrogram 1	1	1003.183322581	1013.998704356	0.000	1139.025	1092.DSG_RAWD_HMS_ 4_40_ 0__DMY_14_ 7_11.wav	10.8154	0.0729	28	1	1	1	
13	Spectrogram 1	1	1014.191235268	1025.076619514	0.000	1127.635	1093.DSG_RAWD_HMS_ 4_50_ 0__DMY_14_ 7_11.wav	10.8854	0.1036	28	1	1	1	
14	Spectrogram 1	1	1025.251625691	1036.049506849	0.000	1139.025	1094.DSG_RAWD_HMS_ 5_ 0_ 0__DMY_14_ 7_11.wav	10.7979	0.1047	28	1	1	1	
15	Spectrogram 1	1	1036.207031894	1047.057414904	0.000	1139.025	1095.DSG_RAWD_HMS_ 5_10_ 0__DMY_14_ 7_11.wav	10.8504	0.0829	28	1	1	1	
16	Spectrogram 1	1	1047.179919229	1058.205319376	0.000	1116.245	1096.DSG_RAWD_HMS_ 5_20_ 0__DMY_14_ 7_11.wav	11.0254	0.0785	28	1	1	1	
17	Spectrogram 1	1	1058.345324318	1069.370713506	0.000	1207.367	1097.DSG_RAWD_HMS_ 5_30_ 0__DMY_14_ 7_11.wav	11.0254	0.1028	28	1	1	1	
18	Spectrogram 1	1	1069.563220302	1080.571108872	0.000	1139.025	1098.DSG_RAWD_HMS_ 5_40_ 0__DMY_14_ 7_11.wav	11.0079	0.0976	28	1	1	1	
19	Spectrogram 1	1	1080.658626153	1091.579011634	0.000	1104.854	1099.DSG_RAWD_HMS_ 5_50_ 0__DMY_14_ 7_11.wav	10.9204	0.0519	28	1	1	1	
20	Spectrogram 1	1	1091.754017812	1102.726905147	0.000	1104.854	1100.DSG_RAWD_HMS_ 6_ 0_ 0__DMY_14_ 7_11.wav	10.9729	0.0881	28	1	1	1	
21	Spectrogram 1	1	1102.796928601	1113.594809759	0.000	1070.684	1101.DSG_RAWD_HMS_ 6_10_ 0__DMY_14_ 7_11.wav	10.7979	0.0718	28	1	1	1	
