Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	673.059621781	683.774776435	153.768	888.440	0312.DSG_RAWD_HMS_ 0_50_ 0__DMY_23_ 7_12.wav	10.7152	0.1687	28	3	1	1	
2	Spectrogram 1	1	684.002393924	694.787582268	199.329	990.952	0313.DSG_RAWD_HMS_ 1_ 0_ 0__DMY_23_ 7_12.wav	10.7852	0.1342	28	3	1	1	
3	Spectrogram 1	1	694.927649649	705.765363262	170.854	973.866	0314.DSG_RAWD_HMS_ 1_10_ 0__DMY_23_ 7_12.wav	10.8377	0.0822	28	3	1	1	
4	Spectrogram 1	1	705.905454643	716.743168256	153.768	916.915	0315.DSG_RAWD_HMS_ 1_20_ 0__DMY_23_ 7_12.wav	10.8377	0.0827	28	3	1	1	
5	Spectrogram 1	1	716.900744059	727.738457672	130.988	922.610	0316.DSG_RAWD_HMS_ 1_30_ 0__DMY_23_ 7_12.wav	10.8377	0.1007	28	3	1	1	
6	Spectrogram 1	1	727.878551136	739.381584809	165.159	956.781	0317.DSG_RAWD_HMS_ 1_40_ 0__DMY_23_ 7_12.wav	11.5030	0.1013	28	2	1	1	
7	Spectrogram 1	1	739.539181314	750.376894927	153.768	871.354	0318.DSG_RAWD_HMS_ 1_50_ 0__DMY_23_ 7_12.wav	10.8377	0.0473	28	2	1	1	
8	Spectrogram 1	1	750.551979153	761.372184343	165.159	842.879	0319.DSG_RAWD_HMS_ 2_ 0_ 0__DMY_23_ 7_12.wav	10.8202	0.0829	28	2	1	1	
9	Spectrogram 1	1	761.669849213	772.385003867	136.683	842.879	0320.DSG_RAWD_HMS_ 2_10_ 0__DMY_23_ 7_12.wav	10.7152	0.2234	28	2	1	1	
10	Spectrogram 1	1	772.527664307	783.382886342	91.122	797.318	0321.DSG_RAWD_HMS_ 2_20_ 0__DMY_23_ 7_12.wav	10.8552	0.1040	28	2	1	1	
11	Spectrogram 1	1	783.487936878	794.273125222	91.122	797.318	0322.DSG_RAWD_HMS_ 2_30_ 0__DMY_23_ 7_12.wav	10.7852	0.0870	28	2	1	1	
12	Spectrogram 1	1	794.465742851	805.285948041	119.598	774.537	0323.DSG_RAWD_HMS_ 2_40_ 0__DMY_23_ 7_12.wav	10.8202	0.0875	28	2	1	1	
13	Spectrogram 1	1	805.426037950	816.263751562	85.427	797.318	0324.DSG_RAWD_HMS_ 2_50_ 0__DMY_23_ 7_12.wav	10.8377	0.0705	28	2	1	1	
14	Spectrogram 1	1	816.508885310	827.259056809	0.000	780.232	0325.DSG_RAWD_HMS_ 3_ 0_ 0__DMY_23_ 7_12.wav	10.7502	0.1761	28	2	1	1	
15	Spectrogram 1	1	827.381615768	838.306871493	62.646	803.013	0326.DSG_RAWD_HMS_ 3_10_ 0__DMY_23_ 7_12.wav	10.9253	0.0715	28	2	1	1	
16	Spectrogram 1	1	838.516990026	849.267161526	68.342	820.098	0327.DSG_RAWD_HMS_ 3_20_ 0__DMY_23_ 7_12.wav	10.7502	0.1477	28	2	1	1	
17	Spectrogram 1	1	849.407228907	860.262450942	56.951	797.318	0328.DSG_RAWD_HMS_ 3_30_ 0__DMY_23_ 7_12.wav	10.8552	0.0607	28	2	1	1	
18	Spectrogram 1	1	860.420044551	871.257758163	51.256	814.403	0329.DSG_RAWD_HMS_ 3_40_ 0__DMY_23_ 7_12.wav	10.8377	0.0962	28	2	1	1	
19	Spectrogram 1	1	871.432867353	882.183038852	56.951	803.013	0330.DSG_RAWD_HMS_ 3_50_ 0__DMY_23_ 7_12.wav	10.7502	0.1317	28	2	1	1	
