Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	882.280471386	893.104535308	0.000	814.403	0331.DSG_RAWD_HMS_ 0_50_ 0__DMY_11_ 6_11.wav	10.8241	0.0840	28	1	1	1	
2	Spectrogram 1	1	893.244668476	904.121276397	0.000	854.269	0332.DSG_RAWD_HMS_ 1_ 0_ 0__DMY_11_ 6_11.wav	10.8766	0.0709	28	1	1	1	
3	Spectrogram 1	1	904.313937729	915.173030984	5.695	865.659	0333.DSG_RAWD_HMS_ 1_10_ 0__DMY_11_ 6_11.wav	10.8591	0.0810	28	1	1	1	
4	Spectrogram 1	1	915.348200979	926.154750234	0.000	934.001	0334.DSG_RAWD_HMS_ 1_20_ 0__DMY_11_ 6_11.wav	10.8065	0.1380	28	1	1	1	
5	Spectrogram 1	1	926.242344276	937.224040196	0.000	1275.708	0335.DSG_RAWD_HMS_ 1_30_ 0__DMY_11_ 6_11.wav	10.9817	0.0548	28	1	1	1	
6	Spectrogram 1	1	937.311613529	948.293309449	0.000	1275.708	0336.DSG_RAWD_HMS_ 1_40_ 0__DMY_11_ 6_11.wav	10.9817	0.0649	28	1	1	1	
7	Spectrogram 1	1	948.450970328	959.310063582	0.000	1440.867	0337.DSG_RAWD_HMS_ 1_50_ 0__DMY_11_ 6_11.wav	10.8591	0.1451	28	1	1	1	
8	Spectrogram 1	1	959.450180915	970.361818169	0.000	1440.867	0338.DSG_RAWD_HMS_ 2_ 0_ 0__DMY_11_ 6_11.wav	10.9116	0.0851	28	1	1	1	
9	Spectrogram 1	1	970.484444911	981.413596831	0.000	1446.562	0339.DSG_RAWD_HMS_ 2_10_ 0__DMY_11_ 6_11.wav	10.9292	0.0601	28	1	1	1	
10	Spectrogram 1	1	981.536220206	992.377798794	0.000	1475.038	0340.DSG_RAWD_HMS_ 2_20_ 0__DMY_11_ 6_11.wav	10.8416	0.0527	28	1	1	1	
11	Spectrogram 1	1	992.552966168	1003.429574089	0.000	1531.989	0341.DSG_RAWD_HMS_ 2_30_ 0__DMY_11_ 6_11.wav	10.8766	0.0922	28	1	1	1	
12	Spectrogram 1	1	1003.569691422	1014.446299343	0.000	1543.379	0342.DSG_RAWD_HMS_ 2_40_ 0__DMY_11_ 6_11.wav	10.8766	0.0497	28	1	1	1	
13	Spectrogram 1	1	1014.568925140	1025.498077061	0.000	1549.074	0343.DSG_RAWD_HMS_ 2_50_ 0__DMY_11_ 6_11.wav	10.9292	0.0716	28	1	1	1	
14	Spectrogram 1	1	1025.655730987	1036.479794908	0.000	1549.074	0344.DSG_RAWD_HMS_ 3_ 0_ 0__DMY_11_ 6_11.wav	10.8241	0.0993	28	1	1	1	
