Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	831.910150318	842.748526824	0.000	950.387	0327.DSG_RAWD_HMS_ 0_25_ 0__DMY_15_ 5_11.wav	10.8384	0.0945	28	1	1	1	
2	Spectrogram 1	1	842.887703408	853.673888696	0.000	954.414	0328.DSG_RAWD_HMS_ 0_30_ 0__DMY_15_ 5_11.wav	10.7862	0.0947	28	1	1	1	
3	Spectrogram 1	1	853.760874061	864.634044713	0.000	958.441	0329.DSG_RAWD_HMS_ 0_35_ 0__DMY_15_ 5_11.wav	10.8732	0.0726	28	1	1	1	
4	Spectrogram 1	1	864.877603736	875.524612438	0.000	962.468	0330.DSG_RAWD_HMS_ 0_40_ 0__DMY_15_ 5_11.wav	10.6470	0.2120	28	1	1	1	
5	Spectrogram 1	1	875.663817964	886.536988616	0.000	1038.982	0331.DSG_RAWD_HMS_ 0_45_ 0__DMY_15_ 5_11.wav	10.8732	0.1029	28	1	1	1	
6	Spectrogram 1	1	886.641371055	897.479747561	0.000	1030.928	0332.DSG_RAWD_HMS_ 0_50_ 0__DMY_15_ 5_11.wav	10.8384	0.1031	28	1	1	1	
7	Spectrogram 1	1	897.636348528	908.387739669	0.000	1030.928	0333.DSG_RAWD_HMS_ 0_55_ 0__DMY_15_ 5_11.wav	10.7514	0.1208	28	1	1	1	
8	Spectrogram 1	1	908.526916253	919.260919306	0.000	1018.847	0334.DSG_RAWD_HMS_ 1_ 0_ 0__DMY_15_ 5_11.wav	10.7340	0.1160	28	1	1	1	
9	Spectrogram 1	1	919.382720597	930.255891249	0.000	1022.874	0335.DSG_RAWD_HMS_ 1_ 5_ 0__DMY_15_ 5_11.wav	10.8732	0.0765	28	1	1	1	
10	Spectrogram 1	1	930.412464907	941.233444340	0.000	1018.847	0336.DSG_RAWD_HMS_ 1_10_ 0__DMY_15_ 5_11.wav	10.8210	0.1289	28	1	1	1	
11	Spectrogram 1	1	941.337851003	952.071845071	0.000	1026.901	0337.DSG_RAWD_HMS_ 1_15_ 0__DMY_15_ 5_11.wav	10.7340	0.0771	28	1	1	1	
12	Spectrogram 1	1	952.280630517	962.997227512	0.000	1047.036	0338.DSG_RAWD_HMS_ 1_20_ 0__DMY_15_ 5_11.wav	10.7166	0.1245	28	1	1	1	
13	Spectrogram 1	1	963.119023963	973.940003396	0.000	1043.009	0339.DSG_RAWD_HMS_ 1_25_ 0__DMY_15_ 5_11.wav	10.8210	0.0675	28	1	1	1	
14	Spectrogram 1	1	974.061782907	984.865365268	0.000	1030.928	0340.DSG_RAWD_HMS_ 1_30_ 0__DMY_15_ 5_11.wav	10.8036	0.1149	28	1	1	1	
15	Spectrogram 1	1	984.995860035	995.816839468	0.000	1047.546	0341.DSG_RAWD_HMS_ 1_35_ 0__DMY_15_ 5_11.wav	10.8210	0.0717	28	1	1	1	
16	Spectrogram 1	1	995.973435510	1006.968385674	0.000	1043.009	0342.DSG_RAWD_HMS_ 1_40_ 0__DMY_15_ 5_11.wav	10.9950	0.0720	28	1	1	1	
17	Spectrogram 1	1	1007.194547623	1017.945938764	0.000	1051.063	0343.DSG_RAWD_HMS_ 1_45_ 0__DMY_15_ 5_11.wav	10.7514	0.1520	28	1	1	1	
18	Spectrogram 1	1	1018.067730054	1028.958297779	0.000	1051.063	0344.DSG_RAWD_HMS_ 1_50_ 0__DMY_15_ 5_11.wav	10.8906	0.0479	28	1	1	1	
19	Spectrogram 1	1	1029.097488960	1039.918468394	0.000	1059.117	0345.DSG_RAWD_HMS_ 1_55_ 0__DMY_15_ 5_11.wav	10.8210	0.1004	28	1	1	1	
20	Spectrogram 1	1	1040.075054152	1050.913430659	0.000	1059.117	0346.DSG_RAWD_HMS_ 2_ 0_ 0__DMY_15_ 5_11.wav	10.8384	0.1007	28	1	1	1	
