Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	73.201395283	73.318529843	0.000	194.275	0326.DSG_RAWD_HMS_18_40_ 0__DMY_19_ 7_11.wav	0.1171	7.8022	3	2	2	2	
2	Spectrogram 1	1	354.040167731	355.104139983	49.858	316.341	1641.DSG_RAWD_HMS_21_50_ 0__DMY_28_ 7_11.wav	1.0640	6.4202	9	2	2	2	
3	Spectrogram 1	1	420.091681469	421.507057400	53.297	261.325	1924.DSG_RAWD_HMS_21_ 0_ 0__DMY_30_ 7_11.wav	1.4154	7.3438	9	3	2	2	
4	Spectrogram 1	1	824.268245102	824.404902089	1.719	226.940	3786.DSG_RAWD_HMS_19_20_ 0__DMY_12_ 8_11.wav	0.1367	9.8986	3	3	2	2	
5	Spectrogram 1	1	1146.687770649	1148.034818087	58.454	137.540	5098.DSG_RAWD_HMS_22_ 0_ 0__DMY_21_ 8_11.wav	1.3470	6.6787	1	3	2	2	
6	Spectrogram 1	1	1268.547010356	1269.620743822	48.139	343.849	5608.DSG_RAWD_HMS_11_ 0_ 0__DMY_25_ 8_11.wav	1.0737	9.1369	9	1	2	2	
7	Spectrogram 1	1	1321.123677024	1322.275500195	36.104	285.395	6065.DSG_RAWD_HMS_15_10_ 0__DMY_28_ 8_11.wav	1.1518	7.1690	9	3	2	2	
8	Spectrogram 1	1	1330.967474598	1333.612763407	75.647	441.846	6072.DSG_RAWD_HMS_16_20_ 0__DMY_28_ 8_11.wav	2.6453	6.1581	19	3	2	2	
9	Spectrogram 1	1	1438.868666693	1440.157146851	63.612	268.202	6660.DSG_RAWD_HMS_18_20_ 0__DMY_ 1_ 9_11.wav	1.2885	5.5129	9	3	2	2	
10	Spectrogram 1	1	1480.152113308	1482.358147518	63.612	361.041	6803.DSG_RAWD_HMS_18_10_ 0__DMY_ 2_ 9_11.wav	2.2060	3.1064	17	3	2	2	
11	Spectrogram 1	1	1501.269584344	1502.606870568	55.016	295.710	6951.DSG_RAWD_HMS_18_50_ 0__DMY_ 3_ 9_11.wav	1.3373	2.5146	9	3	2	2	
12	Spectrogram 1	1	1502.928990608	1503.992962860	48.139	297.429	6951.DSG_RAWD_HMS_18_50_ 0__DMY_ 3_ 9_11.wav	1.0640	4.1740	9	3	2	2	
13	Spectrogram 1	1	1577.034927892	1579.524037288	60.174	302.587	7267.DSG_RAWD_HMS_23_30_ 0__DMY_ 5_ 9_11.wav	2.4891	2.0260	17	3	2	2	
14	Spectrogram 1	1	1811.639652081	1813.455237758	68.770	340.410	8191.DSG_RAWD_HMS_ 9_30_ 0__DMY_12_ 9_11.wav	1.8156	7.5978	17	3	2	2	
15	Spectrogram 1	1	1815.134166449	1816.939990913	41.262	340.410	8195.DSG_RAWD_HMS_10_10_ 0__DMY_12_ 9_11.wav	1.8058	0.2376	9	1	2	2	
16	Spectrogram 1	1	1834.963067557	1836.563906541	51.577	295.710	8222.DSG_RAWD_HMS_14_40_ 0__DMY_12_ 9_11.wav	1.6008	9.2119	17	3	1	2	
17	Spectrogram 1	1	1906.734595570	1912.542517495	49.858	287.114	8436.DSG_RAWD_HMS_ 2_20_ 0__DMY_14_ 9_11.wav	5.8079	5.0009	10	2	1	2	
18	Spectrogram 1	1	1977.812792757	1979.003660782	36.104	321.499	8762.DSG_RAWD_HMS_ 8_40_ 0__DMY_16_ 9_11.wav	1.1909	0.0966	17	3	1	2	
19	Spectrogram 1	1	2010.843633502	2012.054023954	48.139	336.972	8844.DSG_RAWD_HMS_22_20_ 0__DMY_16_ 9_11.wav	1.2104	0.5635	9	3	2	2	
20	Spectrogram 1	1	2044.562408153	2045.753276177	53.297	323.218	9093.DSG_RAWD_HMS_15_50_ 0__DMY_18_ 9_11.wav	1.1909	1.7184	9	2	2	2	
