Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	7.957921616	9.505538301	41.050	259.985	8751.DSG_RAWD_HMS_15_20_ 0__DMY_12_ 4_12.wav	1.5476	7.9579	19	3	2	2	
2	Spectrogram 1	1	62.318790892	63.502759941	32.498	316.429	8756.DSG_RAWD_HMS_16_10_ 0__DMY_12_ 4_12.wav	1.1840	8.0456	9	3	2	2	
3	Spectrogram 1	1	174.846180165	175.776441560	61.575	290.773	8768.DSG_RAWD_HMS_18_10_ 0__DMY_12_ 4_12.wav	0.9303	1.1719	19	3	2	2	
4	Spectrogram 1	1	182.178314344	183.387654158	64.996	294.194	8768.DSG_RAWD_HMS_18_10_ 0__DMY_12_ 4_12.wav	1.2093	8.5040	19	3	2	2	
5	Spectrogram 1	1	183.463766454	184.512424755	46.182	148.807	8768.DSG_RAWD_HMS_18_10_ 0__DMY_12_ 4_12.wav	1.0487	9.7895	1	3	1	2	
6	Spectrogram 1	1	222.331652828	224.259830993	56.444	141.966	8773.DSG_RAWD_HMS_19_ 0_ 0__DMY_12_ 4_12.wav	1.9282	4.9674	1	3	2	2	
7	Spectrogram 1	1	239.101670027	244.125081563	37.629	321.560	8775.DSG_RAWD_HMS_19_20_ 0__DMY_12_ 4_12.wav	5.0234	0.0282	10	3	1	2	
8	Spectrogram 1	1	246.518368991	248.319693330	42.761	253.143	8775.DSG_RAWD_HMS_19_20_ 0__DMY_12_ 4_12.wav	1.8013	7.4448	19	3	2	2	
9	Spectrogram 1	1	324.719138143	326.156814845	59.865	280.510	8782.DSG_RAWD_HMS_20_30_ 0__DMY_12_ 4_12.wav	1.4377	9.3917	17	3	1	2	
10	Spectrogram 1	1	444.933902348	446.109414475	49.602	318.140	8793.DSG_RAWD_HMS_22_20_ 0__DMY_12_ 4_12.wav	1.1755	9.6626	9	2	1	2	
11	Spectrogram 1	1	715.139558234	717.025451791	49.602	147.097	8818.DSG_RAWD_HMS_ 2_30_ 0__DMY_13_ 4_12.wav	1.8859	8.5022	1	3	2	2	
12	Spectrogram 1	1	798.313148263	801.611347756	75.259	294.194	8827.DSG_RAWD_HMS_ 4_ 0_ 0__DMY_13_ 4_12.wav	3.2982	4.5673	17	3	2	2	
13	Spectrogram 1	1	844.606198873	845.900107905	42.761	306.167	8831.DSG_RAWD_HMS_ 4_40_ 0__DMY_13_ 4_12.wav	1.2939	7.4418	19	3	2	2	
14	Spectrogram 1	1	908.765331115	909.813989415	18.815	256.564	8837.DSG_RAWD_HMS_ 5_40_ 0__DMY_13_ 4_12.wav	1.0487	6.4730	19	3	2	2	
15	Spectrogram 1	1	909.915472476	911.733710659	44.471	277.089	8837.DSG_RAWD_HMS_ 5_40_ 0__DMY_13_ 4_12.wav	1.8182	7.6232	17	3	2	2	
16	Spectrogram 1	1	1007.964742463	1008.311476256	99.205	261.695	8846.DSG_RAWD_HMS_ 7_10_ 0__DMY_13_ 4_12.wav	0.3467	7.9807	18	3	2	2	
17	Spectrogram 1	1	1008.708951580	1008.928831546	97.494	253.143	8846.DSG_RAWD_HMS_ 7_10_ 0__DMY_13_ 4_12.wav	0.2199	8.7249	18	3	2	2	
18	Spectrogram 1	1	1009.131797668	1009.368591478	94.074	230.908	8846.DSG_RAWD_HMS_ 7_10_ 0__DMY_13_ 4_12.wav	0.2368	9.1477	18	3	2	2	
19	Spectrogram 1	1	1028.565736059	1029.901929699	49.602	290.773	8848.DSG_RAWD_HMS_ 7_30_ 0__DMY_13_ 4_12.wav	1.3362	6.8723	19	3	2	2	
20	Spectrogram 1	1	1071.298383796	1073.285760413	51.313	345.506	8852.DSG_RAWD_HMS_ 8_10_ 0__DMY_13_ 4_12.wav	1.9874	6.1864	19	3	2	2	
21	Spectrogram 1	1	1083.856866184	1085.015464467	70.128	297.614	8853.DSG_RAWD_HMS_ 8_20_ 0__DMY_13_ 4_12.wav	1.1586	7.8903	19	3	2	2	
22	Spectrogram 1	1	1104.846845815	1105.996987176	64.996	311.298	8855.DSG_RAWD_HMS_ 8_40_ 0__DMY_13_ 4_12.wav	1.1501	7.1709	19	3	2	2	
23	Spectrogram 1	1	1155.748854881	1157.076591600	58.155	357.479	8860.DSG_RAWD_HMS_ 9_30_ 0__DMY_13_ 4_12.wav	1.3277	3.5284	19	3	2	2	
24	Spectrogram 1	1	1194.878873281	1195.606168554	49.602	336.954	8863.DSG_RAWD_HMS_10_ 0_ 0__DMY_13_ 4_12.wav	0.7273	10.0945	19	3	1	2	
25	Spectrogram 1	1	1224.021293172	1227.074241933	42.761	376.294	8866.DSG_RAWD_HMS_10_30_ 0__DMY_13_ 4_12.wav	3.0529	6.6729	17	3	2	2	
26	Spectrogram 1	1	1310.425298159	1312.065940984	44.471	335.244	8874.DSG_RAWD_HMS_11_50_ 0__DMY_13_ 4_12.wav	1.6406	6.2398	9	2	2	2	
27	Spectrogram 1	1	1420.145042322	1421.438951354	47.892	330.113	8884.DSG_RAWD_HMS_13_30_ 0__DMY_13_ 4_12.wav	1.2939	7.4131	9	2	2	2	
28	Spectrogram 1	1	1428.115660923	1429.663277608	42.761	345.506	8885.DSG_RAWD_HMS_13_40_ 0__DMY_13_ 4_12.wav	1.5476	4.5291	19	3	2	2	
