Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	102.751579825	104.190746352	48.139	306.026	0740.DSG_RAWD_HMS_19_30_ 0__DMY_23_ 1_11.wav	1.4392	4.7884	9	2	2	2	
2	Spectrogram 1	1	147.359115478	151.609003208	51.577	142.697	0986.DSG_RAWD_HMS_12_30_ 0__DMY_25_ 1_11.wav	4.2499	5.9773	2	3	2	2	
3	Spectrogram 1	1	336.814791032	347.574734058	39.543	189.117	1612.DSG_RAWD_HMS_20_50_ 0__DMY_29_ 1_11.wav	10.7599	0.0494	6	3	1	1	
4	Spectrogram 1	1	358.864907873	359.164331782	0.000	247.571	1636.DSG_RAWD_HMS_ 0_50_ 0__DMY_30_ 1_11.wav	0.2994	0.3903	3	1	2	2	
5	Spectrogram 1	1	470.289663792	470.434546329	0.000	216.625	1933.DSG_RAWD_HMS_ 2_20_ 0__DMY_ 1_ 2_11.wav	0.1449	3.2686	3	2	2	2	
6	Spectrogram 1	1	496.502738842	498.222011606	49.858	273.360	2121.DSG_RAWD_HMS_ 9_40_ 0__DMY_ 2_ 2_11.wav	1.7193	7.7724	9	3	2	2	
7	Spectrogram 1	1	644.624886233	647.706054837	53.297	146.136	2902.DSG_RAWD_HMS_19_50_ 0__DMY_ 7_ 2_11.wav	3.0812	3.9295	2	3	2	2	
8	Spectrogram 1	1	850.552946299	850.794417193	0.000	185.678	3833.DSG_RAWD_HMS_ 7_ 0_ 0__DMY_14_ 2_11.wav	0.2415	3.3480	3	1	2	2	
9	Spectrogram 1	1	851.586441724	853.527867710	42.981	185.678	3833.DSG_RAWD_HMS_ 7_ 0_ 0__DMY_14_ 2_11.wav	1.9414	4.3815	1	2	2	2	
10	Spectrogram 1	1	860.375523847	862.616373741	53.297	269.921	3873.DSG_RAWD_HMS_13_40_ 0__DMY_14_ 2_11.wav	2.2408	2.3159	9	2	2	2	
11	Spectrogram 1	1	1017.185508656	1018.672969362	55.016	146.136	4326.DSG_RAWD_HMS_17_10_ 0__DMY_17_ 2_11.wav	1.4875	7.1609	1	3	2	2	
12	Spectrogram 1	1	1023.893188077	1025.622119676	48.139	223.502	4400.DSG_RAWD_HMS_ 5_30_ 0__DMY_18_ 2_11.wav	1.7289	3.0139	9	3	2	2	
13	Spectrogram 1	1	1137.655317801	1140.253544618	41.262	147.855	5038.DSG_RAWD_HMS_15_50_ 0__DMY_22_ 2_11.wav	2.5982	8.2296	1	3	2	2	
14	Spectrogram 1	1	1321.402766431	1323.614639818	56.735	134.101	6195.DSG_RAWD_HMS_16_40_ 0__DMY_ 2_ 3_11.wav	2.2119	7.4481	1	3	2	2	
15	Spectrogram 1	1	1730.037483457	1731.447673476	32.666	220.063	7669.DSG_RAWD_HMS_22_20_ 0__DMY_12_ 3_11.wav	1.4102	3.6063	9	2	2	2	
16	Spectrogram 1	1	1815.567970352	1816.775324821	34.385	151.294	7946.DSG_RAWD_HMS_21_30_ 0__DMY_14_ 3_11.wav	1.2074	2.2997	1	2	2	2	
17	Spectrogram 1	1	1813.906650603	1814.756628149	34.385	137.540	7946.DSG_RAWD_HMS_21_30_ 0__DMY_14_ 3_11.wav	0.8500	0.6383	1	2	2	2	
18	Spectrogram 1	1	2038.702494246	2040.692214411	20.631	132.382	9455.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_25_ 3_11.wav	1.9897	8.3413	1	2	2	2	
19	Spectrogram 1	1	2056.628505472	2060.057392163	24.069	144.417	9534.DSG_RAWD_HMS_22_10_ 0__DMY_25_ 3_11.wav	3.4289	4.5580	2	2	2	2	
20	Spectrogram 1	1	2065.654458276	2065.847634991	0.000	178.801	9541.DSG_RAWD_HMS_23_20_ 0__DMY_25_ 3_11.wav	0.1932	2.7293	3	1	2	2	
21	Spectrogram 1	1	2118.828938941	2123.996416067	34.385	127.224	9891.DSG_RAWD_HMS_ 9_40_ 0__DMY_28_ 3_11.wav	5.1675	0.8165	2	2	2	2	
22	Spectrogram 1	1	2130.095717728	2130.279235607	0.000	226.940	9970.DSG_RAWD_HMS_22_50_ 0__DMY_28_ 3_11.wav	0.1835	1.2286	3	2	2	2	
23	Spectrogram 1	1	2134.171736935	2136.219410114	29.227	147.855	9970.DSG_RAWD_HMS_22_50_ 0__DMY_28_ 3_11.wav	2.0477	5.3046	2	3	2	2	
24	Spectrogram 1	1	2137.648917805	2139.677273313	34.385	256.167	9970.DSG_RAWD_HMS_22_50_ 0__DMY_28_ 3_11.wav	2.0284	8.7818	9	2	1	2	
