Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	236.365465954	238.123219275	63.612	183.959	1409.DSG_RAWD_HMS_10_50_ 0__DMY_28_ 1_11.wav	1.7578	8.1465	1	3	2	2	
2	Spectrogram 1	1	359.840329482	365.699507219	22.350	139.259	1901.DSG_RAWD_HMS_20_50_ 0__DMY_31_ 1_11.wav	5.8592	1.3657	1	2	2	2	
3	Spectrogram 1	1	380.231461318	390.998901062	25.789	159.890	2045.DSG_RAWD_HMS_20_50_ 0__DMY_ 1_ 2_11.wav	10.7674	0.0476	6	2	1	1	
4	Spectrogram 1	1	837.724076349	840.711296474	51.577	151.294	4204.DSG_RAWD_HMS_20_40_ 0__DMY_16_ 2_11.wav	2.9872	1.6451	1	3	2	2	
5	Spectrogram 1	1	868.675548262	879.462198424	32.666	158.170	4511.DSG_RAWD_HMS_23_50_ 0__DMY_18_ 2_11.wav	10.7867	0.0327	6	3	1	1	
6	Spectrogram 1	1	952.189693297	952.333771438	5.158	178.801	4794.DSG_RAWD_HMS_23_ 0_ 0__DMY_20_ 2_11.wav	0.1441	7.5643	3	1	2	2	
7	Spectrogram 1	1	1098.567239010	1100.142493353	65.331	140.978	5480.DSG_RAWD_HMS_17_20_ 0__DMY_25_ 2_11.wav	1.5753	1.9768	1	3	2	2	
8	Spectrogram 1	1	1103.504316644	1106.280222162	56.735	166.767	5480.DSG_RAWD_HMS_17_20_ 0__DMY_25_ 2_11.wav	2.7759	6.9139	1	3	2	2	
9	Spectrogram 1	1	1205.147370813	1206.828282459	67.051	158.170	5932.DSG_RAWD_HMS_20_40_ 0__DMY_28_ 2_11.wav	1.6809	0.0105	1	3	1	2	
10	Spectrogram 1	1	1389.747380004	1391.332239556	51.577	135.820	6803.DSG_RAWD_HMS_21_50_ 0__DMY_ 6_ 3_11.wav	1.5849	0.0816	1	2	1	2	
11	Spectrogram 1	1	1474.899073177	1476.464722310	30.946	237.256	7087.DSG_RAWD_HMS_21_10_ 0__DMY_ 8_ 3_11.wav	1.5656	9.2508	9	2	1	2	
12	Spectrogram 1	1	1539.909378223	1541.378975262	29.227	252.729	7345.DSG_RAWD_HMS_16_10_ 0__DMY_10_ 3_11.wav	1.4696	9.1332	9	2	2	2	
13	Spectrogram 1	1	1653.318510003	1654.788107042	41.262	288.833	7946.DSG_RAWD_HMS_21_20_ 0__DMY_14_ 3_11.wav	1.4696	3.1412	9	2	2	2	
14	Spectrogram 1	1	1823.904998315	1834.682043267	51.577	151.294	8735.DSG_RAWD_HMS_ 8_50_ 0__DMY_20_ 3_11.wav	10.7770	0.0534	6	3	1	1	
15	Spectrogram 1	1	1889.045201621	1893.040968733	32.666	146.136	9108.DSG_RAWD_HMS_23_ 0_ 0__DMY_22_ 3_11.wav	3.9958	0.0657	2	1	1	2	
16	Spectrogram 1	1	2012.364972854	2014.305225153	24.069	135.820	9819.DSG_RAWD_HMS_21_30_ 0__DMY_27_ 3_11.wav	1.9403	3.9844	1	2	2	2	
17	Spectrogram 1	1	2016.427976432	2019.309539253	32.666	153.013	9819.DSG_RAWD_HMS_21_30_ 0__DMY_27_ 3_11.wav	2.8816	8.0474	1	2	2	2	
18	Spectrogram 1	1	2110.681506906	2116.290949198	34.385	226.940	9975.DSG_RAWD_HMS_23_30_ 0__DMY_28_ 3_11.wav	5.6094	4.6092	2	2	2	2	
