Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	282.276994520	293.050558643	84.243	233.817	1271.DSG_RAWD_HMS_12_10_ 0__DMY_24_ 7_11.wav	10.7736	0.0562	6	3	1	1	
2	Spectrogram 1	1	329.769263129	330.869207688	39.543	280.237	1308.DSG_RAWD_HMS_18_20_ 0__DMY_24_ 7_11.wav	1.0999	4.1299	9	2	2	2	
3	Spectrogram 1	1	470.237397911	471.514119275	24.069	242.413	2064.DSG_RAWD_HMS_ 0_20_ 0__DMY_30_ 7_11.wav	1.2767	2.9449	9	2	2	2	
4	Spectrogram 1	1	707.668787736	711.331995956	55.016	189.117	3139.DSG_RAWD_HMS_11_30_ 0__DMY_ 6_ 8_11.wav	3.6632	1.0315	2	2	2	2	
5	Spectrogram 1	1	1006.812536502	1010.132012048	36.104	156.451	4217.DSG_RAWD_HMS_23_10_ 0__DMY_13_ 8_11.wav	3.3195	6.0143	2	3	2	2	
6	Spectrogram 1	1	1072.610346732	1075.782508274	25.789	407.461	4433.DSG_RAWD_HMS_11_10_ 0__DMY_15_ 8_11.wav	3.1722	6.6843	2	1	1	2	
7	Spectrogram 1	1	1273.371826004	1274.393203095	27.508	300.868	5759.DSG_RAWD_HMS_16_10_ 0__DMY_24_ 8_11.wav	1.0214	1.2075	9	2	2	2	
8	Spectrogram 1	1	1637.193643206	1637.350778143	1.719	223.502	7307.DSG_RAWD_HMS_10_10_ 0__DMY_ 4_ 9_11.wav	0.1571	6.2834	3	2	2	2	
9	Spectrogram 1	1	1696.401696852	1697.462357677	53.297	287.114	7485.DSG_RAWD_HMS_15_50_ 0__DMY_ 5_ 9_11.wav	1.0607	0.0922	9	3	2	2	
10	Spectrogram 1	1	1774.612766535	1775.683248294	55.016	367.918	7813.DSG_RAWD_HMS_22_30_ 0__DMY_ 7_ 9_11.wav	1.0705	0.9639	9	2	2	2	
