Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	125.384845119	126.738788417	60.174	264.764	0551.DSG_RAWD_HMS_22_10_ 0__DMY_13_ 2_12.wav	1.3539	5.9838	9	3	2	2	
2	Spectrogram 1	1	137.951828942	139.402482476	60.174	302.587	0558.DSG_RAWD_HMS_23_20_ 0__DMY_13_ 2_12.wav	1.4507	7.6961	9	2	2	2	
3	Spectrogram 1	1	619.714441368	621.116739783	51.577	261.325	2852.DSG_RAWD_HMS_21_40_ 0__DMY_29_ 2_12.wav	1.4023	0.7284	9	3	2	2	
4	Spectrogram 1	1	632.914776538	634.375101095	41.262	283.675	2860.DSG_RAWD_HMS_23_ 0_ 0__DMY_29_ 2_12.wav	1.4603	3.0741	9	3	2	2	
5	Spectrogram 1	1	798.162034919	800.918276633	65.331	388.549	3724.DSG_RAWD_HMS_23_ 0_ 0__DMY_ 7_ 3_12.wav	2.7562	5.2303	17	2	2	2	
6	Spectrogram 1	1	1036.040508354	1037.887673854	42.981	247.571	4813.DSG_RAWD_HMS_13_30_ 0__DMY_15_ 3_12.wav	1.8472	2.9497	17	3	2	2	
7	Spectrogram 1	1	1040.387403949	1043.250026921	46.420	242.413	4813.DSG_RAWD_HMS_13_30_ 0__DMY_15_ 3_12.wav	2.8626	7.2966	17	3	2	2	
8	Spectrogram 1	1	1065.705201701	1067.562038224	70.489	235.536	5068.DSG_RAWD_HMS_ 8_ 0_ 0__DMY_17_ 3_12.wav	1.8568	0.0505	17	3	1	2	
9	Spectrogram 1	1	1221.238146415	1222.795181207	48.139	287.114	5988.DSG_RAWD_HMS_17_20_ 0__DMY_23_ 3_12.wav	1.5570	3.0757	9	2	2	2	
10	Spectrogram 1	1	1399.608613243	1401.136634964	53.297	275.079	6707.DSG_RAWD_HMS_17_10_ 0__DMY_28_ 3_12.wav	1.5280	7.7718	17	3	2	2	
11	Spectrogram 1	1	1592.460419430	1595.245674214	22.350	245.852	7771.DSG_RAWD_HMS_ 2_30_ 0__DMY_ 5_ 4_12.wav	2.7853	5.2401	17	3	2	2	
12	Spectrogram 1	1	1697.976778674	1699.630523702	51.577	271.641	8166.DSG_RAWD_HMS_20_20_ 0__DMY_ 7_ 4_12.wav	1.6537	2.2100	9	3	2	2	
13	Spectrogram 1	1	1915.788731679	1919.299313230	51.577	151.294	8759.DSG_RAWD_HMS_23_10_ 0__DMY_11_ 4_12.wav	3.5106	2.9290	1	3	2	2	
14	Spectrogram 1	1	1939.815524285	1943.645249613	51.577	163.328	8821.DSG_RAWD_HMS_ 9_30_ 0__DMY_12_ 4_12.wav	3.8297	5.2466	2	3	2	2	
15	Spectrogram 1	1	2062.105585405	2064.977879401	46.420	355.884	9592.DSG_RAWD_HMS_18_ 0_ 0__DMY_17_ 4_12.wav	2.8723	6.7787	17	3	2	2	
