Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	325.149397147	326.974401384	30.788	429.317	0030.DSG_RAWD_HMS_ 9_ 0_ 0__DMY_29_ 3_11.wav	1.8250	8.1938	19	3	2	2	
2	Spectrogram 1	1	599.550223009	600.869709640	46.182	222.356	0056.DSG_RAWD_HMS_13_20_ 0__DMY_29_ 3_11.wav	1.3195	0.3739	9	3	2	2	
3	Spectrogram 1	1	966.828967205	968.131317647	51.313	263.406	0089.DSG_RAWD_HMS_18_50_ 0__DMY_29_ 3_11.wav	1.3024	9.4493	9	3	2	2	
4	Spectrogram 1	1	1088.469693307	1090.260425164	46.182	304.456	0102.DSG_RAWD_HMS_21_ 0_ 0__DMY_29_ 3_11.wav	1.7907	0.8344	17	3	2	2	
5	Spectrogram 1	1	1124.721115506	1126.186259753	49.602	285.641	0105.DSG_RAWD_HMS_21_30_ 0__DMY_29_ 3_11.wav	1.4651	4.5219	9	2	2	2	
6	Spectrogram 1	1	1140.486323366	1142.242782844	34.209	280.510	0106.DSG_RAWD_HMS_21_40_ 0__DMY_29_ 3_11.wav	1.7565	9.1611	9	3	2	2	
7	Spectrogram 1	1	1144.204876601	1145.370137523	39.340	307.877	0107.DSG_RAWD_HMS_21_50_ 0__DMY_29_ 3_11.wav	1.1653	1.4822	19	3	2	2	
8	Spectrogram 1	1	1152.841453252	1153.569741328	42.761	271.958	0107.DSG_RAWD_HMS_21_50_ 0__DMY_29_ 3_11.wav	0.7283	10.1188	19	3	1	2	
9	Spectrogram 1	1	1154.550788207	1155.467574373	51.313	307.877	0108.DSG_RAWD_HMS_22_ 0_ 0__DMY_29_ 3_11.wav	0.9168	0.9735	19	3	2	2	
10	Spectrogram 1	1	1156.949854810	1157.952321926	49.602	311.298	0108.DSG_RAWD_HMS_22_ 0_ 0__DMY_29_ 3_11.wav	1.0025	3.3725	19	3	2	2	
11	Spectrogram 1	1	1177.487441033	1179.072538610	44.471	350.638	0110.DSG_RAWD_HMS_22_20_ 0__DMY_29_ 3_11.wav	1.5851	2.2008	19	3	2	2	
12	Spectrogram 1	1	1184.144824310	1185.035906191	58.155	253.143	0110.DSG_RAWD_HMS_22_20_ 0__DMY_29_ 3_11.wav	0.8911	8.8582	19	3	2	2	
13	Spectrogram 1	1	1192.867095538	1193.852426464	46.182	278.800	0111.DSG_RAWD_HMS_22_30_ 0__DMY_29_ 3_11.wav	0.9853	6.7259	19	3	2	2	
14	Spectrogram 1	1	1210.568694379	1211.862476726	39.340	355.769	0113.DSG_RAWD_HMS_22_50_ 0__DMY_29_ 3_11.wav	1.2938	2.7182	19	3	2	2	
15	Spectrogram 1	1	1215.975162331	1217.183263727	35.919	359.190	0113.DSG_RAWD_HMS_22_50_ 0__DMY_29_ 3_11.wav	1.2081	8.1246	19	2	2	2	
16	Spectrogram 1	1	1248.842180141	1250.075985823	44.471	263.406	0116.DSG_RAWD_HMS_23_20_ 0__DMY_29_ 3_11.wav	1.2338	8.4277	19	3	2	2	
17	Spectrogram 1	1	1274.400672614	1275.240345925	41.050	330.113	0119.DSG_RAWD_HMS_23_50_ 0__DMY_29_ 3_11.wav	0.8397	1.4223	19	3	2	2	
18	Spectrogram 1	1	1279.909957706	1280.192704841	78.680	218.935	0119.DSG_RAWD_HMS_23_50_ 0__DMY_29_ 3_11.wav	0.2827	6.9316	18	2	2	2	
19	Spectrogram 1	1	1280.818175777	1281.075218627	56.444	218.935	0119.DSG_RAWD_HMS_23_50_ 0__DMY_29_ 3_11.wav	0.2570	7.8398	18	2	2	2	
20	Spectrogram 1	1	1281.503623378	1281.743530038	70.128	213.803	0119.DSG_RAWD_HMS_23_50_ 0__DMY_29_ 3_11.wav	0.2399	8.5252	18	2	2	2	
21	Spectrogram 1	1	1282.249047644	1282.506090494	78.680	201.830	0119.DSG_RAWD_HMS_23_50_ 0__DMY_29_ 3_11.wav	0.2570	9.2706	18	2	2	2	
22	Spectrogram 1	1	1282.745997154	1283.054448575	63.286	206.962	0119.DSG_RAWD_HMS_23_50_ 0__DMY_29_ 3_11.wav	0.3085	9.7676	18	2	2	2	
23	Spectrogram 1	1	1840.250338270	1843.369124853	35.919	323.271	0171.DSG_RAWD_HMS_ 8_30_ 0__DMY_30_ 3_11.wav	3.1188	1.7450	17	3	2	2	
24	Spectrogram 1	1	1862.561587301	1864.069572023	42.761	289.062	0173.DSG_RAWD_HMS_ 8_50_ 0__DMY_30_ 3_11.wav	1.5080	2.3470	19	3	2	2	
25	Spectrogram 1	1	1980.663860213	1982.034755415	37.629	331.823	0184.DSG_RAWD_HMS_10_40_ 0__DMY_30_ 3_11.wav	1.3709	1.0481	17	3	2	2	
26	Spectrogram 1	1	2324.860040319	2326.368025041	32.498	268.537	0216.DSG_RAWD_HMS_16_ 0_ 0__DMY_30_ 3_11.wav	1.5080	6.8507	9	3	2	2	
27	Spectrogram 1	1	2635.187858244	2636.952885816	53.023	282.221	0245.DSG_RAWD_HMS_20_50_ 0__DMY_30_ 3_11.wav	1.7650	2.3939	9	3	2	2	
