Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	435.052470665	436.332202417	42.981	319.779	1931.DSG_RAWD_HMS_23_30_ 0__DMY_16_12_11.wav	1.2797	9.8218	9	1	1	2	
2	Spectrogram 1	1	552.167926119	553.772512854	49.858	319.779	2411.DSG_RAWD_HMS_ 7_30_ 0__DMY_20_12_11.wav	1.6046	7.2648	9	2	2	2	
3	Spectrogram 1	1	665.867637940	667.226122414	60.174	287.114	2934.DSG_RAWD_HMS_22_40_ 0__DMY_23_12_11.wav	1.3585	0.2066	9	3	2	2	
4	Spectrogram 1	1	1244.520085474	1245.888414039	42.981	330.095	5816.DSG_RAWD_HMS_23_ 0_ 0__DMY_12_ 1_12.wav	1.3683	1.9347	9	3	2	2	
5	Spectrogram 1	1	1251.981594527	1253.418831726	51.577	292.272	5816.DSG_RAWD_HMS_23_ 0_ 0__DMY_12_ 1_12.wav	1.4372	9.3962	9	3	1	2	
6	Spectrogram 1	1	1510.713446349	1512.544447163	58.454	336.972	7252.DSG_RAWD_HMS_22_20_ 0__DMY_22_ 1_12.wav	1.8310	6.8025	9	2	2	2	
7	Spectrogram 1	1	1542.489052434	1544.329897338	51.577	266.483	7288.DSG_RAWD_HMS_ 4_20_ 0__DMY_23_ 1_12.wav	1.8408	6.0142	9	3	2	2	
8	Spectrogram 1	1	2076.091551687	2077.873332049	37.823	297.429	9329.DSG_RAWD_HMS_ 8_30_ 0__DMY_ 6_ 2_12.wav	1.7818	4.4827	9	2	2	2	
9	Spectrogram 1	1	2104.560629800	2106.371942433	58.454	302.587	9507.DSG_RAWD_HMS_14_10_ 0__DMY_ 7_ 2_12.wav	1.8113	0.3878	9	1	2	2	
10	Spectrogram 1	1	2119.110175082	2125.843532914	25.789	383.392	9541.DSG_RAWD_HMS_19_50_ 0__DMY_ 7_ 2_12.wav	6.7334	4.0827	19	3	1	2	
