Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	79.089799320	80.859103025	46.420	276.798	0343.DSG_RAWD_HMS_10_20_ 0__DMY_31_ 3_11.wav	1.7693	3.1073	9	2	2	2	
2	Spectrogram 1	1	110.646057009	112.090988369	53.297	293.991	0544.DSG_RAWD_HMS_19_50_ 0__DMY_ 1_ 4_11.wav	1.4449	2.0996	9	3	2	2	
3	Spectrogram 1	1	238.871306150	241.741509939	49.858	147.855	0961.DSG_RAWD_HMS_17_20_ 0__DMY_ 4_ 4_11.wav	2.8702	0.0691	1	3	1	2	
4	Spectrogram 1	1	438.966829402	440.470737552	55.016	347.287	1576.DSG_RAWD_HMS_23_50_ 0__DMY_ 8_ 4_11.wav	1.5039	4.7810	9	1	2	2	
5	Spectrogram 1	1	463.903159251	465.397237936	56.735	295.710	1651.DSG_RAWD_HMS_12_20_ 0__DMY_ 9_ 4_11.wav	1.4941	8.0081	9	2	2	2	
6	Spectrogram 1	1	468.970048013	475.270735098	42.981	319.779	1694.DSG_RAWD_HMS_19_30_ 0__DMY_ 9_ 4_11.wav	6.3007	1.6776	10	2	2	2	
7	Spectrogram 1	1	551.873679765	553.357928984	30.946	354.164	2287.DSG_RAWD_HMS_22_20_ 0__DMY_13_ 4_11.wav	1.4842	8.5987	9	1	2	2	
8	Spectrogram 1	1	546.575598113	548.295754493	29.227	307.745	2287.DSG_RAWD_HMS_22_20_ 0__DMY_13_ 4_11.wav	1.7202	3.3006	9	2	2	2	
9	Spectrogram 1	1	1146.360815966	1149.014771524	53.297	285.395	4959.DSG_RAWD_HMS_11_40_ 0__DMY_ 2_ 5_11.wav	2.6540	2.5527	10	2	2	2	
10	Spectrogram 1	1	1198.115740466	1200.897479070	34.385	135.820	5287.DSG_RAWD_HMS_18_20_ 0__DMY_ 4_ 5_11.wav	2.7817	0.0344	1	2	1	2	
11	Spectrogram 1	1	1279.544862545	1281.579561807	48.139	134.101	5741.DSG_RAWD_HMS_22_ 0_ 0__DMY_ 7_ 5_11.wav	2.0347	5.4810	1	3	2	2	
12	Spectrogram 1	1	1303.979955263	1305.837724153	29.227	220.063	5857.DSG_RAWD_HMS_17_20_ 0__DMY_ 8_ 5_11.wav	1.8578	8.2068	9	3	2	2	
13	Spectrogram 1	1	1808.899892728	1811.126057636	39.543	361.041	8589.DSG_RAWD_HMS_16_40_ 0__DMY_27_ 5_11.wav	2.2262	1.6016	19	3	2	2	
14	Spectrogram 1	1	1830.784185851	1837.134020261	48.139	144.417	8764.DSG_RAWD_HMS_21_50_ 0__DMY_28_ 5_11.wav	6.3498	0.6912	1	3	2	2	
15	Spectrogram 1	1	1846.436909151	1848.048941416	30.946	347.287	8773.DSG_RAWD_HMS_23_20_ 0__DMY_28_ 5_11.wav	1.6120	5.4893	9	1	2	2	
16	Spectrogram 1	1	2130.949572745	2134.036024765	48.139	281.956	9705.DSG_RAWD_HMS_10_40_ 0__DMY_ 4_ 6_11.wav	3.0865	7.7812	10	1	2	2	
17	Spectrogram 1	1	2135.451467729	2137.122476785	42.981	151.294	9739.DSG_RAWD_HMS_16_20_ 0__DMY_ 4_ 6_11.wav	1.6710	1.4284	1	2	2	2	
18	Spectrogram 1	1	2141.850138459	2143.776713605	60.174	137.540	9739.DSG_RAWD_HMS_16_20_ 0__DMY_ 4_ 6_11.wav	1.9266	7.8271	1	3	2	2	
