Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Delta Time (s)	File Offset (s)	call variant	level	call cutoff @ end	calls overlap	Notes
1	Spectrogram 1	1	330.560106927	331.893990235	0.000	395.811	0056.DSG_DECD_HMS_19_ 0_ 0__DMY_22_10_19.wav	1.3339	26.2273	9	2	2	2	
2	Spectrogram 1	1	365.308581839	366.690794253	0.000	350.250	0057.DSG_DECD_HMS_19_ 5_ 0__DMY_22_10_19.wav	1.3822	0.1092	9	2	2	2	
3	Spectrogram 1	1	404.271352451	405.634233223	0.000	398.659	0057.DSG_DECD_HMS_19_ 5_ 0__DMY_22_10_19.wav	1.3629	39.0720	9	2	2	2	
4	Spectrogram 1	1	413.250874690	414.275451724	0.000	341.708	0057.DSG_DECD_HMS_19_ 5_ 0__DMY_22_10_19.wav	1.0246	48.0515	9	3	2	2	
5	Spectrogram 1	1	416.256945045	417.368514468	0.000	412.897	0057.DSG_DECD_HMS_19_ 5_ 0__DMY_22_10_19.wav	1.1116	51.0576	9	2	2	2	
6	Spectrogram 1	1	442.982855614	444.432728775	0.000	380.150	0058.DSG_DECD_HMS_19_10_ 0__DMY_22_10_19.wav	1.4499	16.9169	9	2	2	2	
7	Spectrogram 1	1	456.959590380	458.129154730	0.000	373.031	0058.DSG_DECD_HMS_19_10_ 0__DMY_22_10_19.wav	1.1696	30.8937	9	2	2	2	
8	Spectrogram 1	1	473.391439015	474.532005902	0.000	358.793	0058.DSG_DECD_HMS_19_10_ 0__DMY_22_10_19.wav	1.1406	47.3255	9	3	2	2	
9	Spectrogram 1	1	476.387843548	477.422086403	0.000	363.064	0058.DSG_DECD_HMS_19_10_ 0__DMY_22_10_19.wav	1.0342	50.3219	9	2	2	2	
10	Spectrogram 1	1	815.057638421	816.420519192	0.000	432.830	0064.DSG_DECD_HMS_19_40_ 0__DMY_22_10_19.wav	1.3629	23.7924	9	1	2	2	
11	Spectrogram 1	1	832.823371475	834.012267467	0.000	435.677	0064.DSG_DECD_HMS_19_40_ 0__DMY_22_10_19.wav	1.1889	41.5581	9	2	2	2	
12	Spectrogram 1	1	936.257015076	937.571566742	0.000	388.692	0066.DSG_DECD_HMS_19_50_ 0__DMY_22_10_19.wav	1.3146	23.2586	9	2	2	2	
13	Spectrogram 1	1	1079.388056571	1080.480294353	0.000	303.265	0068.DSG_DECD_HMS_20_ 0_ 0__DMY_22_10_19.wav	1.0922	44.6565	9	2	2	2	
14	Spectrogram 1	1	1159.483593536	1160.885137592	0.000	400.083	0070.DSG_DECD_HMS_20_10_ 0__DMY_22_10_19.wav	1.4015	3.0190	9	3	2	2	
15	Spectrogram 1	1	1726.924577345	1728.103807516	0.000	478.391	0079.DSG_DECD_HMS_20_55_ 0__DMY_22_10_19.wav	1.1792	22.5790	9	2	2	2	
16	Spectrogram 1	1	1733.014044622	1734.231938078	0.000	529.647	0079.DSG_DECD_HMS_20_55_ 0__DMY_22_10_19.wav	1.2179	28.6684	9	2	2	2	
17	Spectrogram 1	1	1770.072676523	1771.358230726	0.000	482.662	0080.DSG_DECD_HMS_21_ 0_ 0__DMY_22_10_19.wav	1.2856	4.8605	9	1	2	2	
