file,call_length,start_time,call_variant,signal_level,call_overlap,call_cutoff,call_cutoff,high_freq
bermuda_2015-08-12T000000.wav,8.1023,2.9424,2,1,False,True,True,333.0
bermuda_2015-08-12T000500.wav,9.978,0.6689,2,2,False,True,True,186.736
bermuda_2015-08-12T000000.wav,2.8258,0.0012,1,1,False,False,False,194.517
bermuda_2015-08-12T001500.wav,5.9488,2.1847,5,2,True,False,False,180.511
bermuda_2015-08-12T001500.wav,0.1331,9.1552,8,1,False,False,False,1518.786
bermuda_2015-08-12T001500.wav,0.1029,9.2944,8,1,False,False,False,1518.786
bermuda_2015-08-12T001500.wav,0.1089,10.0629,8,2,False,False,False,1257.355
bermuda_2015-08-12T010500.wav,3.4254,7.2288,1,2,False,True,True,217.859
bermuda_2015-08-12T010500.wav,0.1331,4.0318,3,2,True,False,False,197.629
bermuda_2015-08-12T010500.wav,4.1208,2.9003,2,3,True,False,False,191.404
bermuda_2015-08-11T213500.wav,10.6619,10.6358,6,1,True,True,True,330.613
bermuda_2015-08-12T011000.wav,2.0281,2.6644,1,3,False,False,False,173.74
bermuda_2015-08-11T212000.wav,10.6284,0.016,6,1,True,True,True,296.877
bermuda_2015-08-11T212000.wav,10.6112,10.6407,6,1,True,True,True,305.311
bermuda_2015-08-11T213000.wav,10.6112,0.0051,6,1,True,True,True,306.998
bermuda_2015-08-11T213000.wav,10.6797,10.6215,6,1,True,True,True,306.998
bermuda_2015-08-11T214500.wav,10.5941,0.0082,6,1,True,True,True,337.36
bermuda_2015-08-11T215000.wav,10.5085,0.0565,6,1,True,True,True,340.734
bermuda_2015-08-11T215500.wav,10.6284,0.0106,6,1,True,True,True,344.951
bermuda_2015-08-11T220000.wav,10.5941,0.0117,6,1,True,True,True,352.541
bermuda_2015-08-11T220500.wav,10.5428,0.0769,6,1,True,True,True,352.541
bermuda_2015-08-11T221000.wav,10.5941,0.0523,6,1,True,True,True,359.289
bermuda_2015-08-11T221500.wav,10.4743,0.0789,6,1,True,True,True,366.036
bermuda_2015-08-11T221500.wav,10.5941,10.6444,6,1,True,True,True,367.723
bermuda_2015-08-11T222500.wav,10.6112,0.0173,6,1,True,True,True,369.409
bermuda_2015-08-11T223000.wav,10.5428,0.0525,6,1,True,True,True,371.096
bermuda_2015-08-11T223500.wav,10.5085,0.0323,6,1,True,True,True,374.47
bermuda_2015-08-11T224000.wav,10.5428,0.016,6,1,True,True,True,380.374
bermuda_2015-08-11T224000.wav,10.6455,10.6454,6,1,True,True,True,386.277
bermuda_2015-08-11T225000.wav,10.5257,0.0826,6,1,True,True,True,387.964
bermuda_2015-08-11T225500.wav,10.5599,0.0409,6,1,True,True,True,391.338
bermuda_2015-08-11T230000.wav,10.5428,0.0463,6,1,True,True,True,389.651
bermuda_2015-08-11T230500.wav,10.5778,0.0343,6,1,True,True,True,389.651
bermuda_2015-08-11T231000.wav,10.5085,0.0824,6,1,True,True,True,389.651
bermuda_2015-08-11T231500.wav,10.5428,0.0578,6,1,True,True,True,301.937
bermuda_2015-08-11T232000.wav,10.5257,0.0463,6,1,True,True,True,394.711
bermuda_2015-08-11T232500.wav,10.5257,0.0217,6,1,True,True,True,403.145
bermuda_2015-08-11T233000.wav,0.8215,0.1081,8,1,True,False,False,563.391
bermuda_2015-08-11T233000.wav,0.6161,1.7169,8,1,True,False,False,556.644
bermuda_2015-08-11T233000.wav,10.6027,0.0066,6,1,True,True,True,286.756
bermuda_2015-08-11T233000.wav,10.6626,10.6428,6,1,True,True,True,264.828
bermuda_2015-08-11T234000.wav,10.4743,0.1102,6,1,True,True,True,237.839
bermuda_2015-08-11T234500.wav,1.0611,4.3943,8,1,True,False,False,539.122
bermuda_2015-08-11T234500.wav,0.6846,6.1229,8,1,True,False,False,520.038
bermuda_2015-08-11T234500.wav,10.5941,0.03,6,1,True,True,True,219.284
bermuda_2015-08-11T235000.wav,10.6112,0.0442,6,2,True,True,True,220.971
bermuda_2015-08-11T235500.wav,10.4962,0.105,6,2,True,True,True,219.284
bermuda_2015-08-12T001000.wav,10.5599,0.0837,5,2,True,True,True,183.861
bermuda_2015-08-12T001500.wav,1.5128,8.6643,1,2,True,False,False,166.993
bermuda_2015-08-12T002000.wav,2.493,0.2899,8,2,True,False,False,372.783
